delta_x	delta_ca	gamma_category_id	gamma_encoding	gamma_scs	status
-1.159319	-39.989980	1361	44958875	14,0,0,0,1	ok
-1.157315	-39.989980	1361	44958875	14,0,0,0,1	ok
-1.155311	-39.989980	1361	44958875	14,0,0,0,1	ok
-1.153307	-39.989980	330	107852	14,0,0,0,-1	ok
-1.151303	-39.989980	330	107852	14,0,0,0,-1	ok
-1.149299	-39.989980	330	107852	14,0,0,0,-1	ok
-1.147295	-39.989980	42	4532	14,0,0,0,0	ok
-1.145291	-39.989980	42	4532	14,0,0,0,0	ok
-1.143287	-39.989980	42	4532	14,0,0,0,0	ok
-1.141283	-39.989980	42	4532	14,0,0,0,0	ok
-1.139279	-39.989980	42	4532	14,0,0,0,0	ok
-1.137275	-39.989980	42	4532	14,0,0,0,0	ok
-1.135271	-39.989980	42	4532	14,0,0,0,0	ok
-1.133267	-39.989980	42	4532	14,0,0,0,0	ok
-1.131263	-39.989980	873	2659944	-14,0,0,0,0,0	ok
-1.129259	-39.989980	873	2659944	-14,0,0,0,0,0	ok
-1.127255	-39.989980	873	2659944	-14,0,0,0,0,0	ok
-1.125251	-39.989980	873	2659944	-14,0,0,0,0,0	ok
-1.123246	-39.989980	41	4438	-14,0,0,0,0	ok
-1.121242	-39.989980	41	4438	-14,0,0,0,0	ok
-1.119238	-39.989980	41	4438	-14,0,0,0,0	ok
-1.117234	-39.989980	329	107389	-14,0,0,0,-1	ok
-1.115230	-39.989980	1743	525317464	-14,0,0,0,-1,0	ok
-1.113226	-39.989980	1360	44949394	-14,0,0,0,1	ok
-1.111222	-39.989980	3214	12487850453638	-14,0,0,0,2	ok
-1.109218	-39.989980	4634	20590132362758658580813152317839	-14,0,0,0,9	ok
-1.107214	-39.989980	4572	575184122318886381347194	-14,0,0,-1,5	ok
-1.105210	-39.989980	3138	2995388789394	-14,0,0,-1,-1,-1	ok
-1.103206	-39.989980	1271	27450318	-14,0,0,-1,0,0	ok
-1.101202	-39.989980	627	615468	-14,0,0,1,0	ok
-1.099198	-39.989980	3002	610368305988	-14,0,0,1,-2	ok
-1.097194	-39.989980	1075	9272944	-14,0,0,-2,0	ok
-1.095190	-39.989980	4578	1629960963815781483278358	-14,0,0,-3,5	ok
-1.093186	-39.989980	3265	16792974164764	-14,0,0,5,-1	ok
-1.091182	-39.989980	4097	1034010674014193589	-14,0,0,-13	ok
-1.089178	-39.989980	4380	1948634226737776684	-14,0,-1,13	ok
-1.087174	-39.989980	1550	165138024	-14,0,-1,2,0	ok
-1.085170	-39.989980	1349	43659813	-14,0,-1,-1,0,0	ok
-1.083166	-39.989980	4568	440782137358127049685474	-14,0,-1,0,5	ok
-1.081162	-39.989980	87	10999	-14,0,-1,0,0	ok
-1.079158	-39.989980	87	10999	-14,0,-1,0,0	ok
-1.077154	-39.989980	1481	106047739	-14,0,1,0,1	ok
-1.075150	-39.989980	456	216784	-14,0,1,-1,0	ok
-1.073146	-39.989980	2950	281046411829	-14,0,1,-5	ok
-1.071142	-39.989980	3600	31271368276577584	-14,0,-2,-2,-3	ok
-1.069138	-39.989980	263	71983	-14,0,-2,0,0	ok
-1.067134	-39.989980	3211	12424771029819	-14,0,2,2,-2	ok
-1.065130	-39.989980	554	395578	-14,0,-3,0,0	ok
-1.063126	-39.989980	1460	91916434	-14,0,4,-1,-1	ok
-1.061122	-39.989980	2475	6778147069	-14,0,-8,0,1	ok
-1.059118	-39.989980	2800	61800556638	-14,0,12,-3	ok
-1.057114	-39.989980	2251	2649883573	-14,0,13,0	ok
-1.055110	-39.989980	2594	13245978439	-14,0,13,-2	ok
-1.053106	-39.989980	4450	3356526842860634884	-14,0,13,13	ok
-1.051102	-39.989980	2942	260518191679	-14,-1,13,3	ok
-1.049098	-39.989980	2164	2066505589	-14,-1,11,1	ok
-1.047094	-39.989980	3096	1589978690119	-14,-1,-3,0,-1,-1	ok
-1.045090	-39.989980	2446	5822014251	-14,-1,-2,1,1	ok
-1.043086	-39.989980	32	3376	-14,-1,1,0	ok
-1.041082	-39.989980	4715	534668747556666669080884981746546214	-14,-1,-1,0,-13	ok
-1.039078	-39.989980	4382	1948758274430821144	-14,-1,-1,13	ok
-1.037074	-39.989980	3065	1077612560319	-14,-1,0,-5,0	ok
-1.035070	-39.989980	1179	16851888	-14,-1,0,1,-1	ok
-1.033066	-39.989980	4736	1814918866924840400859511161197635626	-14,-1,0,0,13	ok
-1.031062	-39.989980	1366	46257744	-14,-1,0,0,1	ok
-1.029058	-39.989980	4614	1235239565041838528997074688	-14,-1,0,-1,-7	ok
-1.027054	-39.989980	2795	57495252726	-14,1,0,3,-1	ok
-1.025050	-39.989980	2022	1439402658	-14,1,-1,-3,0	ok
-1.023046	-39.989980	38	4251	-14,1,1,0	ok
-1.021042	-39.989980	150	27939	-14,1,2,0	ok
-1.019038	-39.989980	1718	418949904	-14,1,8,-1,0	ok
-1.017034	-39.989980	2459	6286288101	-14,1,13,1	ok
-1.015030	-39.989980	2461	6339436273	-14,-2,13,1	ok
-1.013026	-39.989980	4420	2038468022805878379	-14,-2,-2,13	ok
-1.011022	-39.989980	4366	1905579278690336613	-14,-2,0,13	ok
-1.009018	-39.989980	10	1404	-14,-2,0,0	ok
-1.007014	-39.989980	4390	1949130453045786283	-14,2,-1,13	ok
-1.005010	-39.989980	2648	24524369688	-14,2,3,-4	ok
-1.003006	-39.989980	2160	2066248443	-14,-3,13	ok
-1.001002	-39.989980	4368	1905823257244926999	-14,-3,0,13	ok
-0.998998	-39.989980	564	428248	-14,3,-1,0,-1	ok
-0.996994	-39.989980	2585	12340440624	-14,-4,-5,-3,0	ok
-0.994990	-39.989980	679	839133	-14,4,2,1	ok
-0.992986	-39.989980	828	2069568	-14,5,-2,0,-1	ok
-0.990982	-39.989980	447	208308	-14,-7,0,-1,0	ok
-0.988978	-39.989980	4375	1907531763184578153	-14,-10,0,13	ok
-0.986974	-39.989980	2222	2538886884	-14,-12,-13,0	ok
-0.984970	-39.989980	463	224758	-14,12,2	ok
-0.982966	-39.989980	2309	3413403973	-14,-13,13,0	ok
-0.980962	-39.989980	3309	42874350971743	-14,-13,-1,-1,2	ok
-0.978958	-39.989980	1148	14924889	-14,-13,0,2	ok
-0.976954	-39.989980	543	373653	-14,-13,0,1	ok
-0.974950	-39.989980	4119	1036017280981738626	-14,13,0,-13	ok
-0.972946	-39.989980	1237	23842938	-14,13,-1,2	ok
-0.970942	-39.989980	375	140688	-14,13,-1,0	ok
-0.968938	-39.989980	354	124224	-14,13,1	ok
-0.966934	-39.989980	516	306126	-14,13,-2,0	ok
-0.964930	-39.989980	771	1468014	-14,13,-3,-1	ok
-0.962926	-39.989980	2739	41813259126	-14,13,4,-4	ok
-0.960922	-39.989980	1599	202055226	-14,13,-9,0	ok
-0.958918	-39.989980	2026	1455759834	-14,13,12	ok
-0.956914	-39.989980	2452	5971113813	-14,13,-13,1	ok
-0.954910	-39.989980	2244	2620337001	-14,13,-13,0	ok
-0.952906	-39.989980	2233	2592900051	-14,13,13	ok
-0.950902	-39.989980	2233	2592900051	-14,13,13	ok
-0.948898	-39.989980	2231	2592828040	13,13,13	ok
-0.946894	-39.989980	2231	2592828040	13,13,13	ok
-0.944890	-39.989980	2231	2592828040	13,13,13	ok
-0.942886	-39.989980	2231	2592828040	13,13,13	ok
-0.940882	-39.989980	2231	2592828040	13,13,13	ok
-0.938878	-39.989980	2124	1952031377	13,13,-13	ok
-0.936874	-39.989980	2243	2620264610	13,13,-13,0	ok
-0.934870	-39.989980	2243	2620264610	13,13,-13,0	ok
-0.932866	-39.989980	2243	2620264610	13,13,-13,0	ok
-0.930862	-39.989980	2326	3480908177	13,13,-13,-1	ok
-0.928858	-39.989980	2124	1952031377	13,13,-13	ok
-0.926854	-39.989980	2124	1952031377	13,13,-13	ok
-0.924850	-39.989980	2124	1952031377	13,13,-13	ok
-0.922846	-39.989980	2024	1455705877	13,13,12	ok
-0.920842	-39.989980	2024	1455705877	13,13,12	ok
-0.918838	-39.989980	1910	1074694315	13,13,-12	ok
-0.916834	-39.989980	1910	1074694315	13,13,-12	ok
-0.914830	-39.989980	1851	796184534	13,13,-11,0	ok
-0.912826	-39.989980	1595	198034825	13,13,9	ok
-0.910822	-39.989980	1407	60802852	13,13,-8	ok
-0.908818	-39.989980	1336	42149945	13,13,6,-1	ok
-0.906814	-39.989980	1180	17331302	13,13,5,-1	ok
-0.904810	-39.989980	834	2166295	13,13,4	ok
-0.902806	-39.989980	845	2303705	13,13,-4,0	ok
-0.900802	-39.989980	663	752125	13,13,3	ok
-0.898798	-39.989980	1871	979230359	13,13,3,-3	ok
-0.896794	-39.989980	770	1466302	13,13,-3,-1	ok
-0.894790	-39.989980	569	448852	13,13,-3	ok
-0.892786	-39.989980	499	275627	13,13,2	ok
-0.890782	-39.989980	499	275627	13,13,2	ok
-0.888778	-39.989980	1122	13274102	13,13,2,-2	ok
-0.886774	-39.989980	599	537140	13,13,-2,-1	ok
-0.884770	-39.989980	599	537140	13,13,-2,-1	ok
-0.882766	-39.989980	1393	54512435	13,13,-2,2	ok
-0.880762	-39.989980	4200	1114132594337481395	13,13,-2,-13	ok
-0.878758	-39.989980	420	177880	13,13,-2	ok
-0.876754	-39.989980	353	123727	13,13,1	ok
-0.874749	-39.989980	353	123727	13,13,1	ok
-0.872745	-39.989980	353	123727	13,13,1	ok
-0.870741	-39.989980	353	123727	13,13,1	ok
-0.868737	-39.989980	2805	63880425740	13,13,1,4	ok
-0.866733	-39.989980	981	5253635	13,13,1,-2	ok
-0.864729	-39.989980	457	222752	13,13,-1,-1	ok
-0.862725	-39.989980	443	200002	13,-13,-1,-1	ok
-0.860721	-39.989980	443	200002	13,-13,-1,-1	ok
-0.858717	-39.989980	443	200002	13,-13,-1,-1	ok
-0.856713	-39.989980	443	200002	13,-13,-1,-1	ok
-0.854709	-39.989980	443	200002	13,-13,-1,-1	ok
-0.852705	-39.989980	611	586960	13,-13,-1,1	ok
-0.850701	-39.989980	611	586960	13,-13,-1,1	ok
-0.848697	-39.989980	897	3093802	13,-13,-1,-2	ok
-0.846693	-39.989980	897	3093802	13,-13,-1,-2	ok
-0.844689	-39.989980	897	3093802	13,-13,-1,-2	ok
-0.842685	-39.989980	897	3093802	13,-13,-1,-2	ok
-0.840681	-39.989980	897	3093802	13,-13,-1,-2	ok
-0.838677	-39.989980	897	3093802	13,-13,-1,-2	ok
-0.836673	-39.989980	611	586960	13,-13,-1,1	ok
-0.834669	-39.989980	611	586960	13,-13,-1,1	ok
-0.832665	-39.989980	1061	8771740	13,-13,-1,-1,-1	ok
-0.830661	-39.989980	1061	8771740	13,-13,-1,-1,-1	ok
-0.828657	-39.989980	443	200002	13,-13,-1,-1	ok
-0.826653	-39.989980	967	5000677	13,-13,1,-2	ok
-0.824649	-39.989980	333	109252	13,-13,1	ok
-0.822645	-39.989980	4176	1087459852397502727	13,-13,1,-13	ok
-0.820641	-39.989980	4176	1087459852397502727	13,-13,1,-13	ok
-0.818637	-39.989980	4416	1996074942651398752	13,-13,1,13	ok
-0.816633	-39.989980	4199	1114051035639622720	13,-13,-2,-13	ok
-0.814629	-39.989980	3813	308774761599296002	13,-13,-2,-12	ok
-0.812625	-39.989980	780	1570852	13,-13,-2,1	ok
-0.810621	-39.989980	4221	1141209972645847975	13,-13,2,-13	ok
-0.808617	-39.989980	4236	1168947032123054602	13,-13,-3,-13	ok
-0.806613	-39.989980	649	694405	13,-13,3	ok
-0.804609	-39.989980	1367	47360752	13,-13,-4,-2	ok
-0.802605	-39.989980	1411	65877955	13,-13,-6,1	ok
-0.800601	-39.989980	1709	397775089	13,-13,10	ok
-0.798597	-39.989980	2332	3515201602	13,-13,-12,1	ok
-0.796593	-39.989980	2017	1438115239	13,-13,12	ok
-0.794589	-39.989980	2120	1930099489	13,-13,-13	ok
-0.792585	-39.989980	2120	1930099489	13,-13,-13	ok
-0.790581	-39.989980	2120	1930099489	13,-13,-13	ok
-0.788577	-39.989980	2120	1930099489	13,-13,-13	ok
-0.786573	-39.989980	2120	1930099489	13,-13,-13	ok
-0.784569	-39.989980	2120	1930099489	13,-13,-13	ok
-0.782565	-39.989980	2931	240301594114	13,-13,-13,3	ok
-0.780561	-39.989980	2841	83666064427	13,-13,-13,-3	ok
-0.778557	-39.989980	2687	30792313177	13,-13,-13,2	ok
-0.776553	-39.989980	2687	30792313177	13,-13,-13,2	ok
-0.774549	-39.989980	2687	30792313177	13,-13,-13,2	ok
-0.772545	-39.989980	2687	30792313177	13,-13,-13,2	ok
-0.770541	-39.989980	2687	30792313177	13,-13,-13,2	ok
-0.768537	-39.989980	2687	30792313177	13,-13,-13,2	ok
-0.766533	-39.989980	2120	1930099489	13,-13,-13	ok
-0.764529	-39.989980	2841	83666064427	13,-13,-13,-3	ok
-0.762525	-39.989980	2120	1930099489	13,-13,-13	ok
-0.760521	-39.989980	2120	1930099489	13,-13,-13	ok
-0.758517	-39.989980	2114	1908353284	13,12,-13	ok
-0.756513	-39.989980	2114	1908353284	13,12,-13	ok
-0.754509	-39.989980	2114	1908353284	13,12,-13	ok
-0.752505	-39.989980	2114	1908353284	13,12,-13	ok
-0.750501	-39.989980	2114	1908353284	13,12,-13	ok
-0.748497	-39.989980	2114	1908353284	13,12,-13	ok
-0.746493	-39.989980	2113	1908291506	-13,12,-13	ok
-0.744489	-39.989980	2113	1908291506	-13,12,-13	ok
-0.742485	-39.989980	2113	1908291506	-13,12,-13	ok
-0.740481	-39.989980	2113	1908291506	-13,12,-13	ok
-0.738477	-39.989980	2113	1908291506	-13,12,-13	ok
-0.736473	-39.989980	2113	1908291506	-13,12,-13	ok
-0.734469	-39.989980	2113	1908291506	-13,12,-13	ok
-0.732465	-39.989980	2113	1908291506	-13,12,-13	ok
-0.730461	-39.989980	2113	1908291506	-13,12,-13	ok
-0.728457	-39.989980	2113	1908291506	-13,12,-13	ok
-0.726453	-39.989980	2113	1908291506	-13,12,-13	ok
-0.724449	-39.989980	2113	1908291506	-13,12,-13	ok
-0.722445	-39.989980	2113	1908291506	-13,12,-13	ok
-0.720441	-39.989980	2113	1908291506	-13,12,-13	ok
-0.718437	-39.989980	2113	1908291506	-13,12,-13	ok
-0.716433	-39.989980	2113	1908291506	-13,12,-13	ok
-0.714429	-39.989980	2113	1908291506	-13,12,-13	ok
-0.712425	-39.989980	2113	1908291506	-13,12,-13	ok
-0.710421	-39.989980	2113	1908291506	-13,12,-13	ok
-0.708417	-39.989980	2113	1908291506	-13,12,-13	ok
-0.706413	-39.989980	2113	1908291506	-13,12,-13	ok
-0.704409	-39.989980	2113	1908291506	-13,12,-13	ok
-0.702405	-39.989980	2113	1908291506	-13,12,-13	ok
-0.700401	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.698397	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.696393	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.694389	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.692385	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.690381	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.688377	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.686373	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.684369	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.682365	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.680361	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.678357	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.676353	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.674349	-39.989980	2118	1930037360	-13,-13,-13	ok
-0.672345	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.670341	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.668337	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.666333	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.664329	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.662325	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.660321	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.658317	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.656313	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.654309	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.652305	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.650301	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.648297	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.646293	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.644289	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.642285	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
-0.640281	-39.989980	4359	1862522156643875166	-13,-13,-13,-13	ok
