delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_scs	gamma_scs	T_signs	gamma_signs	T_event_times	gamma_event_times	T_tangent_V	gamma_tangent_V	status
-0.82663317	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.82160804	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.81658291	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.81155779	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.80653266	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.80150754	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.79648241	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.79145729	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.78643216	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.78140704	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.77638191	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.77135678	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.76633166	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.76130653	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.75628141	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.75125628	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.74623116	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -2, -2, -2, -2]
-0.74120603	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -2, -2, -2, -2]
-0.73618090	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -2, -2, -2, -2]
-0.73115578	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -2, -2, -1, -1]
-0.72613065	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -2, -2]
-0.72110553	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1, -2]
-0.71608040	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -2, -1, -1]
-0.71105528	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -2, -2, -1, -2, -2]
-0.70603015	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -2, -2, -2, -2, -2]
-0.70100503	-45.00000000												error: T SSCS does not start with ±1: [-2, -2, -1, -2, -1, -1, -2, -2]
-0.69597990	-45.00000000												error: T SSCS does not start with ±1: [-2, -3, -2, -1, -2, -2, -3, -2]
-0.69095477	-45.00000000												error: T SSCS does not start with ±1: [-2, -3, -3, -3, -3, -3, -3, -2]
-0.68592965	-45.00000000												error: T SSCS does not start with ±1: [-2, -3, -3, -3, -3, -3, -3, -3]
-0.68090452	-45.00000000												error: T SSCS does not start with ±1: [-2, -3, -3, -3, -3, -3, -3, -3]
-0.67587940	-45.00000000												error: T SSCS does not start with ±1: [-2, -3, -2, -1, -2, -2, -2, -2]
-0.67085427	-45.00000000												error: T SSCS does not start with ±1: [-2, -3, -2, -2, -3, -2, -1, -1]
-0.66582915	-45.00000000												error: T SSCS does not start with ±1: [-2, -3, -2, -3, -3, -2, -3, -3]
-0.66080402	-45.00000000												error: T SSCS does not start with ±1: [-2, -3, -1, -1, -3, -3, -2, -1]
-0.65577889	-45.00000000												error: T SSCS does not start with ±1: [-2, -3, -1, -1, -1, -2, -2, -2]
-0.65075377	-45.00000000												error: T SSCS does not start with ±1: [-2, -3, -1, -2, -1, -1, -1, -2]
-0.64572864	-45.00000000												error: T SSCS does not start with ±1: [-2, -4, -3, -1, -2, -2, -1, -2]
-0.64070352	-45.00000000												error: T SSCS does not start with ±1: [-2, -4, -3, -1, -3, -1, -2, -4]
-0.63567839	-45.00000000												error: T SSCS does not start with ±1: [-2, -4, -3, -4, -3, -4, -4, -3]
-0.63065327	-45.00000000												error: T SSCS does not start with ±1: [-2, -4, -2, -4, -4, -2, -2, -1]
-0.62562814	-45.00000000												error: T SSCS does not start with ±1: [-2, -4, -1, -2, -3, -4, -3, -4]
-0.62060302	-45.00000000												error: T SSCS does not start with ±1: [-2, -5, -5, -5, -5, -5, -5, -5]
-0.61557789	-45.00000000												error: T SSCS does not start with ±1: [-2, -5, -3, -4, -1, -3, -1, -4]
-0.61055276	-45.00000000												error: T SSCS does not start with ±1: [-2, -5, -1, -2, -1, -1, -4, -5]
-0.60552764	-45.00000000												error: T SSCS does not start with ±1: [-2, -6, -3, -2, -6, -4, -2, -1]
-0.60050251	-45.00000000												error: T SSCS does not start with ±1: [-2, -7, -6, -1, -3, -2, -2, -2]
-0.59547739	-45.00000000												error: T SSCS does not start with ±1: [-2, -8, -8, -8, -8, -8, -8]
-0.59045226	-45.00000000												error: T SSCS does not start with ±1: [-2, -9, -1, -2, -1, -2, -3, -5]
-0.58542714	-45.00000000												error: T SSCS does not start with ±1: [-2, -12, -1, -3, -1, -2, -1, -2]
-0.58040201	-45.00000000												error: T SSCS does not start with ±1: [-2, -15, -4, -1, -3, -5, -1, -5]
-0.57537688	-45.00000000												error: T SSCS does not start with ±1: [-2, -16, -11, -3, -2, -14, -1, -1]
-0.57035176	-45.00000000												error: T SSCS does not start with ±1: [-2, -16, -2, -2, -1, -3, -16, -10]
-0.56532663	-45.00000000												error: T SSCS does not start with ±1: [-2, -16, -1, -2, -16, -2, -5, -16]
-0.56030151	-45.00000000												error: T SSCS does not start with ±1: [-2, -16, -1, -4, -1, -14, -16, -2]
-0.55527638	-45.00000000												error: T SSCS does not start with ±1: [-2, -16, -1, -16, -4, -2, -16, -1]
-0.55025126	-45.00000000												error: T SSCS does not start with ±1: [-2, -17, -16, -1, -16, -1, -1, -16]
-0.54522613	-45.00000000												error: T SSCS does not start with ±1: [-2, -17, -17, -17, -17, -17]
-0.54020101	-45.00000000												error: T SSCS does not start with ±1: [-2, -17, -17, -17, -17, -17]
-0.53517588	-45.00000000												error: T SSCS does not start with ±1: [-2, -17, -17, -17, -17, -17]
-0.53015075	-45.00000000												error: T SSCS does not start with ±1: [-2, -17, -17, -17, -17, -17]
-0.52512563	-45.00000000												error: T SSCS does not start with ±1: [-2, -17, -17, -17, -17, -17]
-0.52010050	-45.00000000												error: T SSCS does not start with ±1: [-2, -17, -17, -17, -17, -17]
-0.51507538	-45.00000000												error: T SSCS does not start with ±1: [-2, -17, -17, -17, -17, -17]
-0.51005025	-45.00000000												error: T SSCS does not start with ±1: [-2, -17, -17, -17, -17, -17]
-0.50502513	-45.00000000												error: T SSCS does not start with ±1: [-2, -17, -17, -17, -17, -17]
-0.50000000	-45.00000000												error: T SSCS does not start with ±1: [-2, -17, -17, -17, -17, -17]
-1.50000000	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.49497487	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.48994975	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.48492462	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.47989950	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.47487437	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.46984925	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.46482412	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.45979899	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.45477387	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.44974874	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.44472362	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.43969849	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.43467337	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.42964824	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.42462312	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.41959799	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.41457286	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.40954774	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.40452261	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.39949749	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.39447236	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.38944724	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.38442211	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.37939698	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.37437186	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.36934673	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.36432161	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.35929648	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.35427136	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.34924623	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.34422111	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.33919598	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.33417085	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.32914573	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.32412060	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.31909548	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.31407035	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.30904523	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.30402010	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.29899497	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.29396985	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.28894472	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.28391960	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.27889447	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.27386935	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.26884422	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.26381910	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.25879397	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.25376884	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.24874372	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.24371859	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.23869347	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.23366834	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.22864322	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.22361809	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.21859296	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.21356784	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.20854271	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.20351759	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.19849246	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.19346734	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.18844221	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.18341709	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.17839196	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.17336683	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.16834171	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.16331658	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.15829146	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.15326633	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.14824121	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.14321608	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.13819095	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.13316583	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.12814070	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.12311558	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.11809045	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.11306533	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.10804020	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.10301508	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.09798995	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.09296482	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.08793970	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.08291457	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.07788945	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.07286432	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.06783920	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.06281407	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.05778894	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.05276382	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.04773869	-44.87437186												error: T SSCS does not start with ±1: Int64[]
-1.04271357	-44.87437186												error: T SSCS does not start with ±1: [-2]
-1.03768844	-44.87437186												error: T SSCS does not start with ±1: [-2]
-1.03266332	-44.87437186												error: T SSCS does not start with ±1: [-2]
-1.02763819	-44.87437186												error: T SSCS does not start with ±1: [-2, -2, -2, -2, -1, -1, -1, -1]
-1.02261307	-44.87437186												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1, -1]
-1.01758794	-44.87437186												error: T SSCS does not start with ±1: [-2, -2, -1, -1, -1, -1, -1, -1]
-1.01256281	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-1.00753769	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-1.00251256	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.99748744	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.99246231	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.98743719	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.98241206	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.97738693	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.97236181	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.96733668	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.96231156	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.95728643	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.95226131	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.94723618	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.94221106	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.93718593	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.93216080	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.92713568	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.92211055	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.91708543	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.91206030	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.90703518	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
-0.90201005	-44.87437186												error: T SSCS does not start with ±1: [-2, -1, -1, -1, -1, -1, -1, -1]
