delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.39949749	-32.56281407	-43.39410067	0.8605570887	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	8053.015015,15688.1996,23323.51839,30959.09999,38594.91947,46230.91858,53867.04296,61503.25144	5285.767934,18308.53085,25954.51045,33592.71591,41228.4131,48863.59924,56498.91092,64134.48462	0.9445148825,0.9441248625,0.9438745183,0.9437140895,0.943612315,0.9435470029,0.9435058108,0.9434799809	-0.9630421929,-0.947195954,-0.9460144177,-0.9451315956,-0.9445292857,-0.9441345624,-0.9438803778,-0.9437179623	ok
-1.39447236	-32.56281407	-43.92930405	0.8577637398	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	8195.674752,15833.05482,23470.66489,31108.49393,38746.49372,46384.61616,54022.82273,61661.08599	5284.032703,18304.80515,25953.74435,33594.62239,41232.66024,48869.97759,56507.31528,64144.87146	0.9441807111,0.9439408946,0.9437845129,0.9436829957,0.9436174936,0.9435745719,0.9435477081,0.9435298153	-0.9630126455,-0.9472443478,-0.946115847,-0.945254365,-0.9446533045,-0.9442509285,-0.9439865292,-0.94381426	ok
-1.38944724	-32.56281407	-44.43093112	0.8549703910	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	8275.26628,15915.10182,23555.11472,31195.26213,38835.50583,46475.81613,54116.17191,61756.55808	5282.339305,18301.05638,25953.05114,33596.7318,41237.23543,48876.7907,56516.24387,64155.86004	0.9439052736,0.9437878316,0.9437100642,0.943658982,0.9436249495,0.9436033091,0.9435881163,0.9435789777	-0.9629830898,-0.9472916068,-0.9462169666,-0.9453787317,-0.9447804719,-0.9443712241,-0.9440967498,-0.9439143608	ok
-1.38442211	-32.56281407	-44.91444577	0.8521770421	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7957.524753,15599.88239,23242.31262,30884.79383,38527.30984,46169.84987,53812.40603,61454.97316	5280.687074,18297.27092,25952.41706,33599.03503,41242.13747,48884.0453,56525.70983,64167.46796	0.9437394585,0.9437006267,0.9436755293,0.9436573418,0.9436466144,0.9436383709,0.9436333725,0.9436296593	-0.9629535258,-0.947337695,-0.9463177175,-0.9455047164,-0.9449109689,-0.9444957867,-0.9442114894,-0.9440187737	ok
-1.37939698	-32.56281407	-45.38723976	0.8493836932	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	6821.330473,14465.96979,22110.65857,29755.38199,37400.12961,45044.89397,52689.66991,60334.45379	5279.075363,18293.43422,25951.82735,33601.52213,41247.36516,48891.74954,56535.72908,64179.71683	-0.9437669614,-0.9437410084,-0.943722659,-0.9437107258,-0.9437024862,-0.9436971493,-0.9436933594,-0.9436906026	-0.9629239529,-0.9473825758,-0.946418035,-0.9456323355,-0.9450449847,-0.9446249848,-0.9443312499,-0.9441280792	ok
-1.37437186	-32.56281407	-45.85224460	0.8467180618	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7377.699802,15024.57474,22671.50886,30318.48614,37965.49418,45612.52407,53259.56933,60906.62554	5277.503537,18289.53079,25951.26607,33604.18213,41252.91729,48899.91311,56546.32089,64192.63319	0.9438557424,0.9438223694,0.943800108,0.9437835316,0.9437724197,0.9437644725,0.943759557,0.9437548479	-0.962894371,-0.9474262108,-0.9465178507,-0.9457615997,-0.9451827185,-0.9447592204,-0.9444565956,-0.9442429419	ok
-1.36934673	-32.56281407	-46.30842296	0.8448001011	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7216.020596,14865.22164,22514.48472,30163.79417,37813.13745,45462.50552,53111.89133,60761.28997	5275.970975,18285.54404,25950.716,33607.00292,41258.79262,48908.5476,56557.50855,64206.24961	0.9439351611,0.9438990486,0.9438728848,0.9438534019,0.9438405757,0.9438309133,0.9438246779,0.9438198807	-0.9628647798,-0.9474685609,-0.9466170898,-0.9458925136,-0.9453243781,-0.9448989357,-0.9445881601,-0.9443641253	ok
-1.36432161	-32.56281407	-46.74747867	0.8434231601	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	7258.595117,14910.18825,22561.84566,30213.55273,37865.29729,45517.06974,53168.86294,60820.6713	5274.477071,18281.45619,25950.15853,33609.97107,41264.98983,48917.66676,56569.32027,64220.60623	-0.9440202792,-0.943978855,-0.9439486643,-0.9439266505,-0.9439104936,-0.9438997547,-0.9438914824,-0.943885936	-0.9628351791,-0.9475095861,-0.946715673,-0.9460250744,-0.945470182,-0.9450446152,-0.944726661,-0.9444925113	ok
-1.35929648	-32.56281407	-47.16331214	0.8425083050	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	17.92384657,7609.420818,15263.47709,22917.59802,30571.77077,38225.98422,45880.22876,53534.49697	5273.021231,18277.2481,25949.57347,33613.07167,41271.50745,48927.28691,56581.79023,64235.75267	0.9640580115,0.9441080996,0.9440610753,0.9440267365,0.944002313,0.9439834558,0.9439700347,0.9439594319	-0.9628055685,-0.9475492448,-0.9468135148,-0.9461592719,-0.9456203586,-0.9451967939,-0.9448729127,-0.9446291239	ok
-1.35427136	-32.56281407	-47.55095881	0.8420067522	full	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	32.81833109,7407.559584,15064.16297,22720.82747,30377.54289,38034.29972,45691.08897,53347.90377	5271.602874,18272.89919,25948.93891,33616.28812,41278.34385,48937.42743,56594.95998,64251.75047	0.9983501975,-0.9441901852,-0.9441407556,-0.9441035378,-0.944076504,-0.9440550429,-0.9440400182,-0.9440273536	-0.9627759481,-0.9475874946,-0.9469105244,-0.9462950864,-0.9457751465,-0.9453560633,-0.9450278462,-0.9447751606	ok
-1.34924623	-32.56281407	-40.67893987	0.8612434347	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7452.237521,15125.88041,22793.19808,30456.64322,38117.86836,45777.89822,53437.33233,61096.50527	5270.221431,18268.38718,25948.23103,33619.60189,41285.49712,48948.11135,56608.88025,64268.67648	0.9471954227,0.9466029886,0.9460796521,0.9456414085,0.9452868614,0.9450060686,0.9447866444,0.9446163091	-0.9627463173,-0.9476242926,-0.947006605,-0.9464324874,-0.9459347944,-0.9455230804,-0.9451925314,-0.9449320337	ok
-1.34422111	-32.56281407	-42.07367811	0.8584500858	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7630.414419,15300.05455,22966.25045,30630.37746,38293.32502,45955.63885,53617.64082,61279.5131	5268.876346,18263.68798,25947.42389,33622.99225,41292.96503,48959.36606,56623.61317,64286.62723	0.9465335586,0.9460667395,0.9456710053,0.9453460339,0.9450833196,0.9448746468,0.9447094793,0.944579433	-0.9627166762,-0.9476595944,-0.947101653,-0.9465714328,-0.9460995623,-0.9456985777,-0.9453682076,-0.9451014248	ok
-1.33919598	-32.56281407	-42.86150748	0.8556567369	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7744.392014,15413.31481,23080.35885,30746.27282,38411.53801,46076.45279,53741.19665,61405.87336	5267.567074,18258.77544,25946.48923,33626.436,41300.74489,48971.22426,56639.23542,64305.72507	0.9460404665,0.9456883377,0.9453938471,0.9451523291,0.9449561401,0.9447985179,0.9446713173,0.9445698408	-0.9626870246,-0.9476933553,-0.9471955597,-0.9467118679,-0.9462697204,-0.9458833766,-0.945556324,-0.9452853598	ok
-1.33417085	-32.56281407	-43.48722521	0.8528633881	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7820.426823,15489.90695,23158.52529,30826.62661,38494.43309,46162.08384,53829.66396,61497.22352	5266.293082,18253.62112,25945.39616,33629.90709,41308.83345,48983.72512,56655.8422,64326.12661	0.9455801243,0.9453364116,0.9451337947,0.9449668071,0.9448293669,0.9447175446,0.9446266503,0.9445525523	-0.962657362,-0.9477255301,-0.9472882091,-0.946853722,-0.9464455492,-0.9460784025,-0.94575859,-0.9454863119	ok
-1.32914573	-32.56281407	-44.04059459	0.8500700392	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7809.68276,15480.8146,23151.65195,30822.31797,38492.89215,46163.4247,53833.94629,61504.47467	5265.053846,18248.19403,25944.11095,33633.37628,41317.22672,48996.91576,56673.55283,64348.03485	0.9451739719,0.9450237206,0.944898721,0.944794472,0.9447080282,0.9446361913,0.9445764874,0.9445279535	-0.9626276886,-0.9477560727,-0.9473794792,-0.946996909,-0.9466273392,-0.9462847056,-0.9459770485,-0.9457073516	ok
-1.32412060	-32.56281407	-44.55619700	0.8472766903	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7565.291031,15238.95603,22912.55401,30586.11883,38259.67228,45933.22783,53606.79351,61280.37354	5263.848857,18242.46028,25942.59664,33636.81068,41325.9198,49010.85323,56692.51839,64371.71698	0.9448834757,0.9448004116,0.9447301776,0.9446707787,0.9446205486,0.9445784298,0.9445427051,0.9445128348	-0.962598004,-0.9477849371,-0.9474692416,-0.9471413237,-0.9468153902,-0.9465034851,-0.9462141712,-0.9459523661	ok
-1.31909548	-32.56281407	-45.04998505	0.8444833414	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7006.163742,14682.85414,22359.51963,30036.17472,37712.82915,45389.48881,53066.15748,60742.83708	5262.677612,18236.38278,25940.81273,33640.17331,41334.90665,49025.60703,56712.9327,64397.53136	0.9448052268,0.9447498051,0.9447021072,0.9446615423,0.9446261784,0.9445961211,0.9445702464,0.9445476621	-0.9625683082,-0.9478120769,-0.9475573616,-0.9472868417,-0.9470100106,-0.9467361223,-0.9464729987,-0.9462263925	ok
-1.31407035	-32.56281407	-45.52944185	0.8416899925	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	6773.156534,14453.05833,22132.92263,29812.76437,37492.5938,45172.4186,52852.24378,60532.07276	5261.539621,18229.9208,25938.71473,33643.4225,41344.1798,49041.26258,56735.04828,64425.97022	-0.9448816406,-0.9448307469,-0.9447863932,-0.9447466048,-0.9447128523,-0.9446826568,-0.9446563336,-0.9446332823	-0.9625386008,-0.9478374465,-0.9476436985,-0.9474333157,-0.9472115163,-0.9469842215,-0.9467573401,-0.9465361484	ok
-1.30904523	-32.56281407	-45.99748468	0.8390243611	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	7033.496989,14716.70975,22399.87097,30082.99572,37766.0951,45449.1779,53132.25038,60815.31752	5260.434403,18223.02954,25936.25375,33646.51129,41353.73001,49057.9258,56759.2005,64457.7304	0.9449693269,0.944921683,0.9448801395,0.9448421739,0.9448088703,0.9447784368,0.9447518627,0.9447279251	-0.9625088818,-0.9478610003,-0.9477281058,-0.947580575,-0.9474202277,-0.9472496675,-0.947072073,-0.9468909123	ok
