delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	spectrum_delta_last	dimension_delta_last	runtime_seconds	status	error
-1.339195980	-28.165829146	3.01735568251	0.000191354226136	1.84397845017e-05	-5.00000084441e-05	-0.00920701344487	-0.0144984410192	-0.0295072698477	50027.916874	5000.000000	true	10	0.000140567967062	0.00113102734873	0.250359	ok	none
-1.334170854	-28.165829146	3.01369358586	0.000156879657106	1.94580128759e-05	-5.00000045213e-05	-0.00922604690932	-0.0145273973288	-0.0289540379782	100025.619961	5000.000000	false	20	9.2918556153e-05	0.000414665301452	0.430610	ok	none
-1.329145729	-28.165829146	3.00500870088	8.70972780602e-05	9.14354881647e-06	-5.00000024223e-05	-0.00923209941743	-0.014422828488	-0.0261830280309	65066.997746	5000.000000	true	13	0.000113696010315	0.000552025182791	0.222024	ok	none
-1.324120603	-28.165829146	3.00554300998	9.5922343812e-05	5.48309763244e-06	-4.99999997969e-05	-0.00927392190526	-0.0145108116454	-0.0279301852445	95030.491048	5000.000000	true	19	0.000177028460441	5.02560406548e-05	0.451028	ok	none
-1.319095477	-28.165829146	3.00877803371	9.7424569035e-05	3.36622833502e-05	-5.00000180795e-05	-0.00923747128467	-0.0144409591486	-0.0266596815575	60007.361338	5000.000000	true	12	3.12807398898e-05	0.00252919882763	0.217683	ok	none
-1.314070352	-28.165829146	3.01412862931	0.000165375804745	1.48246218813e-05	-5.00000080115e-05	-0.00921536093758	-0.0145087659222	-0.0283222137778	95033.545846	5000.000000	true	19	9.69067603037e-05	0.000777674070406	0.417363	ok	none
-1.309045226	-28.165829146	3.01842157551	0.000208172966842	1.20315913352e-05	-5.00000011223e-05	-0.00923941369554	-0.0145809788682	-0.0299617715192	100043.776742	5000.000000	false	20	0.000374596998517	0.000856794962304	0.588406	ok	none
-1.304020101	-28.165829146	3.01633213285	0.000224732005133	-2.52820120301e-05	-5.00000018326e-05	-0.00915067203171	-0.0145797078865	-0.0299715862231	100007.908723	5000.000000	false	20	0.000328350947708	0.000671492469623	0.615601	ok	none
-1.298994975	-28.165829146	3.0239331538	0.000233901697506	3.54850746527e-05	-5.00000633466e-05	-0.00916664433891	-0.014522876246	-0.028928975639	45033.144242	5000.000000	true	9	6.34155768225e-05	0.000922600598618	0.236099	ok	none
-1.293969849	-28.165829146	3.0131902186	0.000180622832155	-8.43043639668e-06	-4.99999998233e-05	-0.00926386435906	-0.0146525777581	-0.0311883509198	100034.463697	5000.000000	false	20	1.8896513587e-05	0.000892447733761	0.634702	ok	none
-1.288944724	-28.165829146	3.01793924316	0.000180557816053	3.61793598081e-05	-5.00000313938e-05	-0.00929454732398	-0.0146450293695	-0.0318479064943	65008.271926	5000.000000	true	13	4.31673958366e-05	0.00194546389102	0.410832	ok	none
-1.283919598	-28.165829146	3.01956511031	0.00022317358388	1.04852099345e-05	-5.00000001272e-05	-0.00938705638435	-0.0147824324104	-0.0342172889143	100011.672565	5000.000000	false	20	0.000549993178431	0.000820384563326	0.796899	ok	none
-1.278894472	-28.165829146	3.01709899416	0.000194321441501	1.49141085258e-05	-5.00000063031e-05	-0.00931256787387	-0.0147381226054	-0.0331651333567	100022.765667	5000.000000	false	20	0.000394608968293	0.0108380770343	0.739316	ok	none
-1.273869347	-28.165829146	3.01389220442	0.000153563260594	2.73330651095e-05	-5.0004624324e-05	-0.00942195330382	-0.0147364834104	-0.0328613425181	100053.053243	5000.000000	false	20	4.09251899377e-05	0.00267668254176	0.747059	ok	none
-1.268844221	-28.165829146	3.0243317993	0.000249473262021	2.31517764514e-05	-5.00000147094e-05	-0.0091495503907	-0.0146285194348	-0.0313826265491	90006.778485	5000.000000	true	18	6.99651043275e-05	0.00213262284245	0.563677	ok	none
-1.263819095	-28.165829146	3.02334622811	0.000233320114688	2.98778283468e-05	-5.00000905221e-05	-0.00913200417307	-0.0146045243401	-0.0312239645287	55008.779649	5000.000000	true	11	0.000180787068377	0.00435524375494	0.331012	ok	none
-1.258793970	-28.165829146	3.01655788671	0.000202253456188	-3.91112017123e-07	-5.0000000406e-05	-0.00917160181498	-0.0146085984096	-0.0303527029914	100006.449421	5000.000000	false	20	0.000427579123842	0.000345541579969	0.573015	ok	none
