curve	part	source_handles	x	y
homSF	1	62,63,64,67,66	-53.421113992759189	0.57113638471747563
homSF	1	62,63,64,67,66	-53.420816769249186	0.57110520119426744
homSF	1	62,63,64,67,66	-53.420716949420815	0.57109472851490473
homSF	1	62,63,64,67,66	-53.420391342952342	0.57106056799930749
homSF	1	62,63,64,67,66	-53.420211037057157	0.57104165116372951
homSF	1	62,63,64,67,66	-53.419941833701742	0.57101340770621722
homSF	1	62,63,64,67,66	-53.419949418016529	0.57101420376463208
homSF	1	62,63,64,67,66	-53.419605600395244	0.5709781322842058
homSF	1	62,63,64,67,66	-53.419542047752635	0.57097146470189464
homSF	1	62,63,64,67,66	-53.419487388717947	0.57096573037682052
homSF	1	62,63,64,67,66	-53.419036436307941	0.57091841918785935
homSF	1	62,63,64,67,66	-53.419031800683442	0.57091793284762693
homSF	1	62,63,64,67,66	-53.418883636907751	0.57090238859874409
homSF	1	62,63,64,67,66	-53.418711136284607	0.57088429098148452
homSF	1	62,63,64,67,66	-53.418623253852068	0.57087507095599377
homSF	1	62,63,64,67,66	-53.418464712509824	0.57085843796131708
homSF	1	62,63,64,67,66	-53.418160607299157	0.57082653345221401
homSF	1	62,63,64,67,66	-53.418106972520796	0.57082090649302852
homSF	1	62,63,64,67,66	-53.417684726652674	0.57077660778691175
homSF	1	62,63,64,67,66	-53.417680910362698	0.57077620741253587
homSF	1	62,63,64,67,66	-53.417522012005392	0.57075953709361438
homSF	1	62,63,64,67,66	-53.417165950363966	0.57072218222072846
homSF	1	62,63,64,67,66	-53.417435822641018	0.57075049491561747
homSF	1	62,63,64,67,66	-53.417157229638427	0.57072126731818873
homSF	1	62,63,64,67,66	-53.417163184682003	0.57072189222320124
homSF	1	62,63,64,67,66	-53.4168241876759	0.57068632768299021
homSF	1	62,63,64,67,66	-53.416724576407987	0.57067587738531045
homSF	1	62,63,64,67,66	-53.416683692429409	0.57067158819037478
homSF	1	62,63,64,67,66	-53.416261257337908	0.57062727034801353
homSF	1	62,63,64,67,66	-53.416388877289833	0.5706406589869496
homSF	1	62,63,64,67,66	-53.416170871594787	0.5706177878759876
homSF	1	62,63,64,67,66	-53.416041732094762	0.57060423985645981
homSF	1	62,63,64,67,66	-53.415844211702137	0.57058351804094176
homSF	1	62,63,64,67,66	-53.415649280064081	0.57056306775964161
homSF	1	62,63,64,67,66	-53.415391433617451	0.57053601728983117
homSF	1	62,63,64,67,66	-53.415351007372344	0.57053177621154261
homSF	1	62,63,64,67,66	-53.415092016512027	0.57050460566781047
homSF	1	62,63,64,67,66	-53.414851256144189	0.57047934785142984
homSF	1	62,63,64,67,66	-53.414658563523837	0.57045913280436245
homSF	1	62,63,64,67,66	-53.414605174854984	0.57045353170368407
homSF	1	62,63,64,67,66	-53.414324455688174	0.57042408204744122
homSF	1	62,63,64,67,66	-53.414292748591002	0.57042075572888995
homSF	1	62,63,64,67,66	-53.414196205031942	0.57041062729788716
homSF	1	62,63,64,67,66	-53.414059799142713	0.57039631730125928
homSF	1	62,63,64,67,66	-53.413811604813276	0.57037027992238865
homSF	1	62,63,64,67,66	-53.413668489430954	0.57035526580931295
homSF	1	62,63,64,67,66	-53.413564341819701	0.57034434001402823
homSF	1	62,63,64,67,66	-53.413222384147588	0.57030846641612254
homSF	1	62,63,64,67,66	-53.413192508004592	0.57030533198904743
homSF	1	62,63,64,67,66	-53.413049709743333	0.57029035156574814
homSF	1	62,63,64,67,66	-53.412620699744231	0.57024534591021014
homSF	1	62,63,64,67,66	-53.41272853295078	0.57025665831096339
homSF	1	62,63,64,67,66	-53.41249100987082	0.57023174081944472
homSF	1	62,63,64,67,66	-53.41225899939235	0.57020740169897344
homSF	1	62,63,64,67,66	-53.411986314176715	0.57017879579196584
homSF	1	62,63,64,67,66	-53.411741873437542	0.5701531528288285
homSF	1	62,63,64,67,66	-53.411512278383128	0.57012906731507973
homSF	1	62,63,64,67,66	-53.411499306665753	0.57012770633234144
homSF	1	62,63,64,67,66	-53.411151235351348	0.57009119227892202
homSF	1	62,63,64,67,66	-53.411125414428369	0.57008848356837816
homSF	1	62,63,64,67,66	-53.410982338556039	0.57007347397095776
homSF	1	62,63,64,67,66	-53.410838920892282	0.57005842896727754
homSF	1	62,63,64,67,66	-53.41068274245022	0.57004204534372949
homSF	1	62,63,64,67,66	-53.410556368778934	0.57002878841031379
homSF	1	62,63,64,67,66	-53.410431769679363	0.57001571760370906
homSF	1	62,63,64,67,66	-53.410163683579285	0.56998759466117921
homSF	1	62,63,64,67,66	-53.409675903120593	0.56993642530997657
homSF	1	62,63,64,67,66	-53.409861955002867	0.56995594252181925
homSF	1	62,63,64,67,66	-53.40953808301024	0.56992196773481052
homSF	1	62,63,64,67,66	-53.409635333020702	0.56993216935793589
homSF	1	62,63,64,67,66	-53.409432328586327	0.56991087384971517
homSF	1	62,63,64,67,66	-53.409087333796521	0.56987468343215142
homSF	1	62,63,64,67,66	-53.408890129930484	0.56985399675898141
homSF	1	62,63,64,67,66	-53.40857675005774	0.56982112299628651
homSF	1	62,63,64,67,66	-53.408295688881125	0.56979163959192547
homSF	1	62,63,64,67,66	-53.408290912245434	0.56979113879819887
homSF	1	62,63,64,67,66	-53.407986187097912	0.56975917315008884
homSF	1	62,63,64,67,66	-53.407855279796436	0.56974544101856672
homSF	1	62,63,64,67,66	-53.407788926689328	0.56973848107613523
homSF	1	62,63,64,67,66	-53.407481821061893	0.56970626591020146
homSF	1	62,63,64,67,66	-53.407515831814415	0.56970983360856697
homSF	1	62,63,64,67,66	-53.407284171340876	0.56968553296088598
homSF	1	62,63,64,67,66	-53.40697489137316	0.56965308990493224
homSF	1	62,63,64,67,66	-53.407062543796457	0.56966228451496526
homSF	1	62,63,64,67,66	-53.406755648147069	0.56963009180918311
homSF	1	62,63,64,67,66	-53.406386112626144	0.56959132828571835
homSF	1	62,63,64,67,66	-53.406482661199817	0.56960145601785583
homSF	1	62,63,64,67,66	-53.406071549566526	0.56955833150129098
homSF	1	62,63,64,67,66	-53.405994506173855	0.56955024985843239
