direction	alpha	step_index	iter	s	map_value	first_derivative	second_derivative	raw_step	damping	accepted	sciml_first_derivative	first_derivative_mismatch
decreasing	0.399199599800	3	3	4.492605140331	1.171712224831	-3.919956218400e-15	9.234057369662e-01	0.000000000000e+00	1.000000	true	3.084031811052e-15	7.003988029452e-15
decreasing	0.398849424712	4	1	4.492605140331	1.170604564739	9.658432368810e-05	9.238255278218e-01	-1.045482299194e-04	1.000000	true	9.658432368965e-05	1.549338457009e-15
decreasing	0.398849424712	4	2	4.492500592101	1.170604559691	-1.799934680206e-08	9.241698789429e-01	1.947623181860e-08	1.000000	true	-1.799934169710e-08	5.104958762455e-15
decreasing	0.398849424712	4	3	4.492500611577	1.170604559691	-1.779657705176e-15	9.241698147800e-01	0.000000000000e+00	1.000000	true	1.276638757687e-15	3.056296462863e-15
decreasing	0.398499249625	5	1	4.492500611577	1.169497164605	9.908826155073e-05	9.205537255436e-01	-1.076398463243e-04	1.000000	true	9.908826154785e-05	2.881687401722e-15
decreasing	0.398499249625	5	2	4.492392971731	1.169497159273	-2.246884990026e-08	9.209712797151e-01	2.439690617411e-08	1.000000	true	-2.246885213146e-08	2.231194781546e-15
decreasing	0.398499249625	5	3	4.492392996128	1.169497159273	-5.534954112574e-15	9.209711850261e-01	0.000000000000e+00	1.000000	true	-3.065052494636e-15	2.469901617938e-15
decreasing	0.398149074537	6	1	4.492392996128	1.168388946696	1.916169412619e-04	9.048912432111e-01	-2.117568743200e-04	1.000000	true	1.916169412746e-04	1.271419493125e-14
decreasing	0.398149074537	6	2	4.492181239254	1.168388926421	-1.783317691989e-07	9.065769953346e-01	1.967089062668e-07	1.000000	true	-1.783317642131e-07	4.985750647564e-15
decreasing	0.398149074537	6	3	4.492181435963	1.168388926421	-1.439866154032e-13	9.065754253509e-01	0.000000000000e+00	1.000000	true	-1.556711242597e-13	1.168450885650e-14
decreasing	0.397798899450	7	1	4.492181435963	1.167280644641	-1.455224529707e-05	9.271890066726e-01	1.569501492398e-05	1.000000	true	-1.455224529574e-05	1.329397881925e-15
decreasing	0.397798899450	7	2	4.492197130978	1.167280644527	-4.001604699474e-10	9.271380158924e-01	4.316083075962e-10	1.000000	true	-4.001606376395e-10	1.676920996915e-16
decreasing	0.397798899450	7	3	4.492197131409	1.167280644527	3.626378073252e-15	9.271380144902e-01	0.000000000000e+00	1.000000	true	-2.734803998601e-15	6.361182071853e-15
decreasing	0.397448724362	8	1	4.492197131409	1.166171910157	8.097479569161e-05	9.298054386121e-01	-8.708789207823e-05	1.000000	true	8.097479569256e-05	9.577164365379e-16
decreasing	0.397448724362	8	2	4.492110043517	1.166171906632	-1.245943819604e-08	9.300915872733e-01	1.339592612870e-08	1.000000	true	-1.245944455039e-08	6.354352139198e-15
decreasing	0.397448724362	8	3	4.492110056913	1.166171906632	-4.355556246298e-16	9.300915432513e-01	0.000000000000e+00	1.000000	true	-3.077608264126e-15	2.642052639496e-15
decreasing	0.397098549275	9	1	4.492110056913	1.165063255378	9.257143251908e-05	9.310365739188e-01	-9.942835234651e-05	1.000000	true	9.257143252111e-05	2.032892625937e-15
decreasing	0.397098549275	9	2	4.492010628561	1.165063250776	-1.829249968470e-08	9.314045690008e-01	1.963969288268e-08	1.000000	true	-1.829250095918e-08	1.274481205548e-15
decreasing	0.397098549275	9	3	4.492010648200	1.165063250776	2.436746972917e-15	9.314044962875e-01	0.000000000000e+00	1.000000	true	1.127863584469e-16	2.323960614471e-15
decreasing	0.396748374187	10	1	4.492010648200	1.163954041837	8.828840911017e-05	9.311894673533e-01	-9.481250830845e-05	1.000000	true	8.828840911368e-05	3.505916802531e-15
decreasing	0.396748374187	10	2	4.491915835692	1.163954037652	-1.492820023889e-08	9.315043849273e-01	1.602590441918e-08	1.000000	true	-1.492819243191e-08	7.806977360289e-15
decreasing	0.396748374187	10	3	4.491915851718	1.163954037652	6.076063625451e-15	9.315043316884e-01	0.000000000000e+00	1.000000	true	8.645779661212e-15	2.569716035760e-15
