sorted_index	source_event_index	event_time	x	z	s	next_r	next_x
94	1899	15654.412453523635	1.620762187946	1.390374548808	2.626870069877	3.227678458863	-1.796574089444
95	1145	9451.971797683003	1.622176852467	1.391297469519	2.631457740679	3.218726691292	-1.794081015811
96	2021	16657.792245653742	1.623528075376	1.392179038990	2.635843411534	3.210196854965	-1.791702222738
97	2128	17539.213960609559	1.625425198468	1.393417363033	2.642007075813	3.198253162214	-1.788366059344
98	1176	9706.330730865515	1.639021092871	1.402303717718	2.686390142875	3.113727204999	-1.764575644454
99	1507	12431.197486599036	1.641569358457	1.402926779420	2.694749958625	3.100165205798	-1.760728600835
100	2365	19499.151403932861	1.650243716768	1.408655393123	2.723304324733	3.047238363635	-1.745634086410
101	1711	14108.918913253645	1.650336366148	1.409716251193	2.723610121431	3.044714181333	-1.744910937937
102	1934	15941.864106792129	1.650797685830	1.410018862141	2.725132999540	3.041924555907	-1.744111394352
103	1290	10639.626583105332	1.651059857014	1.410190801536	2.725998651444	3.040340107089	-1.743657107085
104	2373	19564.381656792244	1.652343879111	1.411033017062	2.730240294836	3.032588590938	-1.741432913131
105	1356	11185.643566937457	1.656003375469	1.412463291349	2.742347179564	3.012462906647	-1.735644810048
106	1923	15851.060360328531	1.659798004968	1.415926156571	2.754929417296	2.987864077672	-1.728543918352
107	1728	14247.065216121688	1.662811874844	1.417906334871	2.764943331122	2.969911214435	-1.723343034464
108	1897	15638.447896673521	1.663178678720	1.418147415433	2.766163317349	2.967731238983	-1.722710433875
109	2019	16641.824123891765	1.664420220406	1.418033929110	2.770294670097	2.962145450484	-1.721088449350
110	1174	9690.344975456770	1.669391614863	1.422233313342	2.786868363773	2.930968424505	-1.712007133310
111	1709	14092.918159358511	1.673244576336	1.424769329031	2.799747412237	2.908320685605	-1.705379924124
112	1726	14231.046210748487	1.677493579501	1.427568182169	2.813984709265	2.883474892924	-1.698079766361
113	1895	15622.428326781090	1.677618536062	1.427650448088	2.814403952538	2.882746396855	-1.697865246966
114	1707	14076.882464451841	1.681046752045	1.429910162454	2.825918182560	2.862800918117	-1.691981358679
