direction	step_index	alpha	predicted_s	branch_points	branch_s_min	branch_s_max	used_s0	converged	predictor_only	broke	status	accepted_steps	total_trace_rows	final_s	map_value	first_derivative	second_derivative	correction_abs	state_jump	event_time	current_x	current_y	current_z	event_x	event_y	event_z	event_time_d1	event_time_d2	sciml_first_derivative	first_derivative_mismatch
decreasing	45	0.384492246123	4.488789368878	459	2.135878998822	4.844104271454	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.484766608535e-04	NaN	2.118676324708	0.000000000000	1.709445573393	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	44	0.384842421211	4.488789368878	453	2.133932986857	4.855848923036	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.255742985184e-04	NaN	2.118676324708	0.000000000000	1.709894050054	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	43	0.385192596298	4.488789368878	443	2.133537011420	4.804656665399	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	4.579075675897e-04	NaN	2.118676324708	0.000000000000	1.710319624353	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	42	0.385542771386	4.488789368878	450	2.131428232572	4.853417836194	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	6.208786837911e-04	NaN	2.118676324708	0.000000000000	1.710777531920	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	41	0.385892946473	4.488789368878	453	2.134168755356	4.828642843467	4.488789368878	false	true	false	predictor_only_cadence_skip	0	0	4.488789368878	NaN	NaN	NaN	0.000000000000e+00	2.181454762378e-04	NaN	2.118676324708	0.000000000000	1.711398410604	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	40	0.386243121561	4.490963347283	447	2.136664273921	4.868428519113	4.474387729911	true	false	false	ok	4	4	4.488789368878	1.130537005314	2.961274621539e-12	9.103598752342e-01	2.173978405206e-03	9.927662636745e-04	4.526007403798	2.118676324708	0.000000000000	1.711616556080	-1.063267137325	-0.000000000000	1.135636607703	-2.381135935100e+00	4.109774570498e+00	2.967894262720e-12	6.619641180920e-15
decreasing	39	0.386593296648	4.490963347283	460	2.145988688597	4.869207977414	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.426990369353e-04	NaN	2.119189313696	0.000000000000	1.712466513228	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	38	0.386943471736	4.490963347283	457	2.135392564159	4.793684390757	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.458011896598e-04	NaN	2.119189313696	0.000000000000	1.712909212265	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	37	0.387293646823	4.490963347283	460	2.132556398878	4.912831360144	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.276991004657e-04	NaN	2.119189313696	0.000000000000	1.713355013454	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	36	0.387643821911	4.490963347283	466	2.131940193792	4.910256101346	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.621307305428e-04	NaN	2.119189313696	0.000000000000	1.713782712555	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	35	0.387993996998	4.490963347283	448	2.144274883675	4.777143887138	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.449423875579e-04	NaN	2.119189313696	0.000000000000	1.714244843285	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	34	0.388344172086	4.490963347283	456	2.133093464251	4.856089177789	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.254407643847e-04	NaN	2.119189313696	0.000000000000	1.714689785673	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	33	0.388694347174	4.490963347283	444	2.130426590437	4.855812227679	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.381398986095e-04	NaN	2.119189313696	0.000000000000	1.715115226437	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	32	0.389044522261	4.490963347283	452	2.133878362922	4.772127774089	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.684775247881e-04	NaN	2.119189313696	0.000000000000	1.715553366336	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	31	0.389394697349	4.490963347283	461	2.137353069803	4.860025592256	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.352165296082e-04	NaN	2.119189313696	0.000000000000	1.716021843861	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	30	0.389744872436	4.490963347283	467	2.133751252357	4.793246076427	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.481361934556e-04	NaN	2.119189313696	0.000000000000	1.716457060390	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	29	0.390095047524	4.490963347283	473	2.131538147162	4.782153321102	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.451483359271e-04	NaN	2.119189313696	0.000000000000	1.716905196584	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	28	0.390445222611	4.490963347283	473	2.149868133498	4.816817231567	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.452905752768e-04	NaN	2.119189313696	0.000000000000	1.717350344920	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	27	0.390795397699	4.490963347283	457	2.140406392266	4.845957218235	4.490963347283	false	true	false	predictor_only_cadence_skip	0	0	4.490963347283	NaN	NaN	NaN	0.000000000000e+00	4.428364321012e-04	NaN	2.119189313696	0.000000000000	1.717795635495	NaN	NaN	NaN	NaN	NaN	NaN	NaN
