direction	step_index	alpha	predicted_s	branch_points	branch_s_min	branch_s_max	used_s0	local_dx	local_dz	local_damping	local_sigma_min	local_sigma_max	local_residual_norm	converged	predictor_only	broke	status	accepted_steps	total_trace_rows	final_s	map_value	first_derivative	second_derivative	correction_abs	state_jump	event_time	current_x	current_y	current_z	event_x	event_y	event_z	event_time_d1	event_time_d2	sciml_first_derivative	first_derivative_mismatch
decreasing	1113	0.010505252626	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.01085542771385693 to alpha=0.010505252626313157	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1112	0.010855427714	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.0112056028014007 to alpha=0.01085542771385693	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1111	0.011205602801	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.011555777888944472 to alpha=0.0112056028014007	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1110	0.011555777889	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.011905952976488244 to alpha=0.011555777888944472	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1109	0.011905952976	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.012256128064032016 to alpha=0.011905952976488244	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1108	0.012256128064	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.012606303151575788 to alpha=0.012256128064032016	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1107	0.012606303152	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.01295647823911956 to alpha=0.012606303151575788	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1106	0.012956478239	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.013306653326663332 to alpha=0.01295647823911956	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1105	0.013306653327	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.013656828414207104 to alpha=0.013306653326663332	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
decreasing	1104	0.013656828414	0.002839703798	0	NaN	NaN	0.002839703798	NaN	NaN	NaN	NaN	NaN	NaN	false	true	false	predictor_only_after_local_or_corrector_failure: Local return-shift correction failed from alpha=0.014007003501750876 to alpha=0.013656828414207104	0	0	0.002839703798	NaN	NaN	NaN	0.000000000000e+00	0.000000000000e+00	NaN	0.053288871244	0.000000000000	-3.579311438823	NaN	NaN	NaN	NaN	NaN	NaN	NaN
