delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	spectrum_delta_last	dimension_delta_last	runtime_seconds	status	error
-1.434673367	-33.065326633	0	-5.00002996475e-05	-7.69594943169e-05	-7.76754774074e-05	-0.00305214395358	-0.0104047829672	-0.0158625362875	100060.130783	5000.000000	false	20	0.000160252715035	0	0.236568	ok	none
-1.429648241	-33.065326633	0	-5.00001990572e-05	-7.50086674008e-05	-7.51882284032e-05	-0.00308714381202	-0.0104058743803	-0.0158348795038	100048.171104	5000.000000	false	20	0.000162007944392	0	0.250300	ok	none
-1.424623116	-33.065326633	0	-5.0000132431e-05	-7.27019422597e-05	-7.30281459252e-05	-0.00312520060624	-0.0104079680503	-0.0158061892918	100028.627359	5000.000000	false	20	0.000163935059586	0	0.248065	ok	none
-1.419597990	-33.065326633	0	-5.00000883219e-05	-7.02726413846e-05	-7.09513746028e-05	-0.0031647936227	-0.0104098028795	-0.015774397066	100015.036880	5000.000000	false	20	0.000165930937263	0	0.248394	ok	none
-1.414572864	-33.065326633	0	-5.00000586767e-05	-6.79963348319e-05	-6.86506368882e-05	-0.0032027165415	-0.0104094793547	-0.0157349338234	100032.386960	5000.000000	false	20	0.000167782740201	0	0.248234	ok	none
-1.409547739	-33.065326633	0	-5.00000389325e-05	-6.55342425479e-05	-6.65833102491e-05	-0.00324813387258	-0.0104111308625	-0.0157001165438	100009.703561	5000.000000	false	20	0.000170090460847	0	0.249039	ok	none
-1.404522613	-33.065326633	0	-5.00000252944e-05	-6.29956480474e-05	-6.45860411022e-05	-0.00329222456613	-0.0104108055829	-0.0156608053513	100096.303313	5000.000000	false	20	0.000175982612173	0	0.248526	ok	none
-1.399497487	-33.065326633	0	-5.00000165537e-05	-6.07497883167e-05	-6.22195180574e-05	-0.00334039010336	-0.0104094578939	-0.0156146784523	100009.943401	5000.000000	false	20	0.000174675480813	0	0.249386	ok	none
-1.394472362	-33.065326633	0	-5.00000101719e-05	-5.80284437623e-05	-6.04243814321e-05	-0.00339083130414	-0.0104081212429	-0.0155719624101	100089.409075	5000.000000	false	20	0.00018099399799	0	0.239821	ok	none
-1.389447236	-33.065326633	0	-5.00000060956e-05	-5.58788740217e-05	-5.79186901087e-05	-0.0034384015608	-0.0104020744536	-0.0155121342698	100040.111226	5000.000000	false	20	0.000179447460503	0	0.243983	ok	none
-1.384422111	-33.065326633	0	-5.00000030453e-05	-5.32923971815e-05	-5.59480558274e-05	-0.00349113018144	-0.0103967666051	-0.0154562365784	100056.959246	5000.000000	false	20	0.000181989136183	0	0.248923	ok	none
-1.379396985	-33.065326633	0	-5.00000009661e-05	-5.10062261907e-05	-5.36125060922e-05	-0.00354148366698	-0.0103873358193	-0.0153869727374	100019.560580	5000.000000	false	20	0.000184479160104	0	0.241407	ok	none
-1.374371859	-33.065326633	0	-4.83398742557e-05	-4.99999991071e-05	-5.16960035917e-05	-0.00358946194566	-0.0103750710496	-0.0153116554447	100093.438812	5000.000000	false	20	0.000190767429819	0	0.242589	ok	none
-1.369346734	-33.065326633	0	-4.58811507845e-05	-4.95424050385e-05	-4.99999977042e-05	-0.00363530436832	-0.010358848129	-0.0152234753337	100104.912693	5000.000000	false	20	0.000192871940276	0	0.242443	ok	none
-1.364321608	-33.065326633	0	-4.36563339824e-05	-4.71323221619e-05	-4.99999965866e-05	-0.00367756945697	-0.0103380590917	-0.0151206709388	100056.709105	5000.000000	false	20	0.000190558197073	0	0.242642	ok	none
-1.359296482	-33.065326633	0	-4.13745975685e-05	-4.47613280188e-05	-4.99999955897e-05	-0.00370981644482	-0.0103107596075	-0.0149991703404	100061.380428	5000.000000	false	20	0.000196072952747	0	0.240584	ok	none
-1.354271357	-33.065326633	0	-3.88212712672e-05	-4.26995706882e-05	-4.99999942321e-05	-0.00373515331215	-0.0102822479976	-0.014858522358	100102.840838	5000.000000	false	20	0.000196745092339	0	0.243153	ok	none
-1.349246231	-33.065326633	0	-3.68228120694e-05	-4.00599569092e-05	-4.99999928625e-05	-0.00375452414472	-0.0102222114051	-0.0147154911784	100005.618860	5000.000000	false	20	0.000192962656075	0	0.248855	ok	none
-1.344221106	-33.065326633	0	-3.42056835733e-05	-3.80284183601e-05	-4.99999913412e-05	-0.00373467224282	-0.0101233621488	-0.0145825515977	100097.686738	5000.000000	false	20	0.000195201753629	0	0.241446	ok	none
-1.339195980	-33.065326633	0	-3.19627587564e-05	-3.56398677617e-05	-4.99999889041e-05	-0.00368917907271	-0.0100023849146	-0.0144436316956	100061.741196	5000.000000	false	20	0.000191984290661	0	0.240329	ok	none
-1.334170854	-33.065326633	0	-2.99532450556e-05	-3.29492736779e-05	-4.99999874567e-05	-0.00355318600491	-0.00990959634622	-0.0142695136525	100052.666840	5000.000000	false	20	0.000183753544	0	0.235707	ok	none
-1.329145729	-33.065326633	0	-2.77263625531e-05	-3.05183714649e-05	-4.99999839048e-05	-0.00336882018216	-0.0096580735346	-0.0142195121792	100045.499919	5000.000000	false	20	0.000173086722398	0	0.240860	ok	none
-1.324120603	-33.065326633	0	-2.53854911698e-05	-2.81902860814e-05	-4.9999978732e-05	-0.00302846290413	-0.00944083401247	-0.0141837196446	100072.608589	5000.000000	false	20	0.000154311471761	0	0.228252	ok	none
-1.319095477	-33.065326633	0	-2.34339455993e-05	-2.54318121616e-05	-4.99999724704e-05	-0.00246605227728	-0.00930543146174	-0.0141802260555	100034.374594	5000.000000	false	20	0.000124443629809	0	0.235155	ok	none
-1.314070352	-33.065326633	0	-1.5392515153e-05	-2.86780696782e-05	-4.99999567576e-05	-0.00207260055584	-0.00930451580648	-0.0141797287189	80018.215296	5000.000000	true	16	0.000122876549011	0	0.195713	ok	none
-1.309045226	-33.065326633	0	-1.2672827502e-05	-2.66408075961e-05	-4.99999523374e-05	-0.000981480212364	-0.00930274731852	-0.0141691774473	95098.657396	5000.000000	true	19	4.98489603306e-05	0	0.219539	ok	none
-1.304020101	-33.065326633	0	-3.92858595292e-06	-3.02875966015e-05	-4.99999145784e-05	-0.00065181816946	-0.00928946451666	-0.014166602282	60019.971454	5000.000000	true	12	4.33056993774e-05	0	0.160682	ok	none
-1.298994975	-33.065326633	0	-4.32075208028e-06	-2.49703765515e-05	-4.9999920259e-05	-0.000608677372493	-0.00928626245205	-0.0141670744258	90009.099906	5000.000000	true	18	2.87376843542e-05	0	0.202950	ok	none
-1.293969849	-33.065326633	0	-2.52667254009e-06	-2.10758756976e-05	-4.99998455071e-05	-0.00247920542465	-0.00925237328781	-0.0141903584917	55064.082797	5000.000000	true	11	0.000139786010876	0	0.154979	ok	none
-1.288944724	-33.065326633	0	-8.6343944986e-06	-9.77046679793e-06	-4.999990629e-05	-0.00419656658725	-0.00926383204627	-0.0142029598897	100062.183412	5000.000000	false	20	0.000135876502822	0	0.241481	ok	none
-1.283919598	-33.065326633	0	-5.52872287894e-06	-6.37903487015e-06	-4.99999073226e-05	-0.00769498222282	-0.00968902718533	-0.0142165425794	100076.843469	5000.000000	false	20	0.000159786661934	1.31689761576	0.253025	ok	none
-1.278894472	-33.065326633	1.28235447792	1.47012654759e-06	-5.20666985137e-06	-4.99999239458e-05	-0.00930818681293	-0.0132132810713	-0.014434142436	100020.767020	5000.000000	false	20	0.000101495141395	0.526591606666	0.313779	ok	none
-1.273869347	-33.065326633	2.1967367881	9.83682903579e-06	0	-4.99999472933e-05	-0.00931384451405	-0.0142780997896	-0.0195679438922	100001.333449	5000.000000	false	20	0.000129744708809	0.0460497405837	0.295763	ok	none
-1.268844221	-33.065326633	2.60241716889	3.01208506617e-05	0	-4.99999870803e-05	-0.00930038743885	-0.0143046756513	-0.0249554090886	100047.682293	5000.000000	false	20	0.000219483466731	0.00149967096225	0.359346	ok	none
-1.263819095	-33.065326633	3.00284877682	7.64189888037e-05	0	-4.99999807151e-05	-0.00927380757617	-0.0143328874677	-0.0254031468389	100022.411004	5000.000000	true	20	8.74391717116e-05	0.000128181891968	0.400763	ok	none
-1.258793970	-33.065326633	1.81027016106	2.4003606103e-05	-2.96242009844e-05	-4.99999915507e-05	-0.00651565812853	-0.0111291661524	-0.0187266334215	100009.794442	5000.000000	false	20	0.000236741664965	0.0400991494388	0.312506	ok	none
