monotone_signs	monotone_bits	monotone_code	palette_code	palette_word	red	green	blue	hex	count
+ - - + + - +	1001101	77	205	11001101	123	85	240	#7b55f0	78824
+ - - + + + -	1001110	78	206	11001110	160	240	63	#a0f03f	61531
+ - - + + + +	1001111	79	207	11001111	173	41	240	#ad29f0	103842
+ - + - - - -	1010000	80	208	11010000	101	194	87	#65c257	34942
+ - + - - - +	1010001	81	209	11010001	194	69	183	#c245b7	62645
+ - + - - + -	1010010	82	210	11010010	51	194	93	#33c25d	57560
+ - + - - + +	1010011	83	211	11010011	194	33	112	#c22170	73065
+ - + - + - -	1010100	84	212	11010100	94	209	177	#5ed1b1	65518
+ - + - + - +	1010101	85	213	11010101	209	75	84	#d14b54	854299
+ - + - + + -	1010110	86	214	11010110	55	187	209	#37bbd1	76578
+ - + - + + +	1010111	87	215	11010111	209	97	36	#d16124	146115
+ - + + - - -	1011000	88	216	11011000	101	155	224	#659be0	33126
+ - + + - - +	1011001	89	217	11011001	224	192	80	#e0c050	74897
+ - + + - + -	1011010	90	218	11011010	59	62	224	#3b3ee0	83526
+ - + + - + +	1011011	91	219	11011011	188	224	38	#bce026	242471
+ - + + + - -	1011100	92	220	11011100	161	108	240	#a16cf0	55039
+ - + + + - +	1011101	93	221	11011101	145	240	85	#91f055	196779
+ - + + + + -	1011110	94	222	11011110	209	63	240	#d13ff0	114813
+ - + + + + +	1011111	95	223	11011111	41	240	49	#29f031	251285
+ + - - - - -	1100000	96	224	11100000	194	87	167	#c257a7	14622
+ + - - - - +	1100001	97	225	11100001	69	194	127	#45c27f	27429
+ + - - - + -	1100010	98	226	11100010	194	51	98	#c23362	30724
+ + - - - + +	1100011	99	227	11100011	33	194	175	#21c2af	55420
+ + - - + - -	1100100	100	228	11100100	209	105	94	#d1695e	32059
+ + - - + - +	1100101	101	229	11100101	75	168	209	#4ba8d1	63304
+ + - - + + -	1100110	102	230	11100110	209	134	55	#d18637	68654
+ + - - + + +	1100111	103	231	11100111	36	83	209	#2453d1	109831
+ + - + - - -	1101000	104	232	11101000	224	217	101	#e0d965	29241
+ + - + - - +	1101001	105	233	11101001	101	80	224	#6550e0	68763
+ + - + - + -	1101010	106	234	11101010	165	224	59	#a5e03b	87349
+ + - + - + +	1101011	107	235	11101011	144	38	224	#9026e0	134382
+ + - + + - -	1101100	108	236	11101100	137	240	108	#89f06c	64909
+ + - + + - +	1101101	109	237	11101101	238	85	240	#ee55f0	213226
+ + - + + + -	1101110	110	238	11101110	63	240	99	#3ff063	162287
+ + - + + + +	1101111	111	239	11101111	240	41	157	#f0299d	251583
+ + + - - - -	1110000	112	240	11110000	87	194	154	#57c29a	21221
+ + + - - - +	1110001	113	241	11110001	194	69	90	#c2455a	47591
+ + + - - + -	1110010	114	242	11110010	51	187	194	#33bbc2	51022
+ + + - - + +	1110011	115	243	11110011	194	74	33	#c24a21	114544
+ + + - + - -	1110100	116	244	11110100	94	155	209	#5e9bd1	48395
+ + + - + - +	1110101	117	245	11110101	209	166	75	#d1a64b	142522
+ + + - + + -	1110110	118	246	11110110	55	72	209	#3748d1	122228
+ + + - + + +	1110111	119	247	11110111	191	209	36	#bfd124	317965
+ + + + - - -	1111000	120	248	11111000	140	101	224	#8c65e0	38930
+ + + + - - +	1111001	121	249	11111001	149	224	80	#95e050	98448
+ + + + - + -	1111010	122	250	11111010	180	59	224	#b43be0	107575
+ + + + - + +	1111011	123	251	11111011	48	224	38	#30e026	253498
+ + + + + - -	1111100	124	252	11111100	240	108	219	#f06cdb	89175
+ + + + + - +	1111101	125	253	11111101	85	240	142	#55f08e	242867
+ + + + + + -	1111110	126	254	11111110	240	63	138	#f03f8a	208448
+ + + + + + +	1111111	127	255	11111111	41	240	198	#29f0c6	694842
