word	code	red	green	blue	hex	count
01001010	74	59	124	224	#3b7ce0	16895
01001011	75	224	191	38	#e0bf26	59162
01001100	76	112	108	240	#706cf0	32851
01001101	77	202	240	85	#caf055	27129
01001110	78	143	63	240	#8f3ff0	22910
01001111	79	108	240	41	#6cf029	25341
01010000	80	180	87	194	#b457c2	10131
01010001	81	69	194	80	#45c250	11063
01010010	82	194	51	151	#c23397	19533
01010011	83	33	194	115	#21c273	15350
01010100	84	209	94	126	#d15e7e	10152
01010101	85	75	209	200	#4bd1c8	47786
01010110	86	209	77	55	#d14d37	17720
01010111	87	36	148	209	#2494d1	7509
01011000	88	224	170	101	#e0aa65	14237
01011001	89	80	113	224	#5071e0	34407
01011010	90	224	222	59	#e0de3b	53223
01011011	91	75	38	224	#4b26e0	17730
01011100	92	186	240	108	#baf06c	17993
01011101	93	181	85	240	#b555f0	13383
01011110	94	93	240	63	#5df03f	13252
01011111	95	240	41	232	#f029e8	19676
01100000	96	87	194	114	#57c272	53854
01100001	97	194	69	136	#c24588	41706
01100010	98	51	194	147	#33c293	20305
01100011	99	194	33	52	#c22134	41077
01100100	100	94	198	209	#5ec6d1	28190
01100101	101	209	116	75	#d1744b	35064
01100110	102	55	130	209	#3782d1	355791
01100111	103	209	162	36	#d1a224	43151
01101000	104	101	109	224	#656de0	14884
01101001	105	203	224	80	#cbe050	52846
01101010	106	118	59	224	#763be0	18015
01101011	107	118	224	38	#76e026	17670
01101100	108	211	108	240	#d36cf0	30370
01101101	109	87	240	85	#57f055	29293
01101110	110	240	63	204	#f03fcc	28213
01101111	111	41	240	123	#29f07b	25663
01110000	112	194	87	127	#c2577f	62930
01110001	113	69	194	173	#45c2ad	85711
01110010	114	194	58	51	#c23a33	28593
01110011	115	33	152	194	#2198c2	39639
01110100	116	209	148	94	#d1945e	21281
01110101	117	75	118	209	#4b76d1	10636
01110110	118	209	192	55	#d1c037	22059
01110111	119	53	36	209	#3524d1	36382
01111000	120	186	224	101	#bae065	95179
01111001	121	156	80	224	#9c50e0	42941
01111010	122	103	224	59	#67e03b	13505
01111011	123	214	38	224	#d626e0	29730
01111100	124	108	240	128	#6cf080	57390
01111101	125	240	85	183	#f055b7	25192
01111110	126	63	240	165	#3ff0a5	59520
01111111	127	240	41	83	#f02953	106087
10000000	128	87	194	194	#57c2c2	106714
10000001	129	194	95	69	#c25f45	59031
10000010	130	51	134	194	#3386c2	25376
10000011	131	194	135	33	#c28721	57258
10000100	132	94	112	209	#5e70d1	29739
10000101	133	202	209	75	#cad14b	13708
10000110	134	96	55	209	#6037d1	43415
10000111	135	126	209	36	#7ed124	101701
10001000	136	186	101	224	#ba65e0	41740
10001001	137	95	224	80	#5fe050	22122
10001010	138	224	59	206	#e03bce	10744
10001011	139	38	224	98	#26e062	21370
10001100	140	240	108	170	#f06caa	39978
10001101	141	85	240	200	#55f0c8	28206
10001110	142	240	63	71	#f03f47	84727
10001111	143	41	207	240	#29cff0	62979
10010000	144	194	127	87	#c27f57	25920
10010001	145	69	121	194	#4579c2	28592
10010010	146	194	165	51	#c2a533	28367
10010011	147	34	33	194	#2221c2	30613
10010100	148	184	209	94	#b8d15e	17670
10010101	149	132	75	209	#844bd1	18192
10010110	150	110	209	55	#6ed137	53047
10010111	151	183	36	209	#b724d1	14969
10011000	152	101	224	109	#65e06d	43149
10011001	153	224	80	185	#e050b9	345452
10011010	154	59	224	139	#3be08b	34909
10011011	155	224	38	95	#e0265f	28164
10011100	156	108	240	227	#6cf0e3	41239
10011101	157	240	104	85	#f06855	20637
10011110	158	63	182	240	#3fb6f0	41727
10011111	159	240	148	41	#f09429	54106
10100000	160	87	114	194	#5772c2	19693
10100001	161	194	189	69	#c2bd45	12970
10100010	162	76	51	194	#4c33c2	13252
10100011	163	132	194	33	#84c221	18195
10100100	164	162	94	209	#a25ed1	17748
10100101	165	101	209	75	#65d14b	54324
10100110	166	209	55	207	#d137cf	34780
10100111	167	36	209	75	#24d14b	14200
10101000	168	224	101	170	#e065aa	7426
10101001	169	80	224	174	#50e0ae	17792
10101010	170	224	59	82	#e03b52	766164
10101011	171	38	211	224	#26d3e0	10180
10101100	172	240	145	108	#f0916c	15557
10101101	173	85	164	240	#55a4f0	19600
10101110	174	240	187	63	#f0bb3f	11279
10101111	175	41	58	240	#293af0	10452
10110000	176	180	194	87	#b4c257	25403
10110001	177	111	69	194	#6f45c2	22717
10110010	178	116	194	51	#74c233	26903
10110011	179	155	33	194	#9b21c2	33760
10110100	180	98	209	94	#62d15e	48571
10110101	181	209	75	185	#d14bb9	17180
10110110	182	55	209	115	#37d173	28659
10110111	183	209	36	105	#d12469	19216
10111000	184	101	224	201	#65e0c9	34778
10111001	185	224	83	80	#e05350	25672
10111010	186	59	186	224	#3bbae0	14927
10111011	187	224	121	38	#e07926	24640
10111100	188	108	153	240	#6c99f0	27417
10111101	189	240	219	85	#f0db55	16234
10111110	190	77	63	240	#4d3ff0	24871
10111111	191	182	240	41	#b6f029	44298
11000000	192	141	87	194	#8d57c2	125774
11000001	193	105	194	69	#69c245	57565
11000010	194	183	51	194	#b733c2	27431
11000011	195	33	194	54	#21c236	98084
11000100	196	209	94	170	#d15eaa	37640
11000101	197	75	209	149	#4bd195	16603
11000110	198	209	55	91	#d1375b	41782
11000111	199	36	209	205	#24d1cd	122017
11001000	200	224	124	101	#e07c65	36697
11001001	201	80	167	224	#50a7e0	28651
11001010	202	224	160	59	#e0a03b	17625
11001011	203	38	72	224	#2648e0	30858
11001100	204	236	240	108	#ecf06c	399537
11001101	205	123	85	240	#7b55f0	32726
11001110	206	160	240	63	#a0f03f	38391
11001111	207	173	41	240	#ad29f0	72912
11010000	208	101	194	87	#65c257	23633
11010001	209	194	69	183	#c245b7	20364
11010010	210	51	194	93	#33c25d	41654
11010011	211	194	33	112	#c22170	29922
11010100	212	94	209	177	#5ed1b1	14573
11010101	213	209	75	84	#d14b54	9999
11010110	214	55	187	209	#37bbd1	17245
11010111	215	209	97	36	#d16124	14288
11011000	216	101	155	224	#659be0	36520
11011001	217	224	192	80	#e0c050	28178
11011010	218	59	62	224	#3b3ee0	13934
11011011	219	188	224	38	#bce026	29156
11011100	220	161	108	240	#a16cf0	39388
11011101	221	145	240	85	#91f055	21913
11011110	222	209	63	240	#d13ff0	30735
11011111	223	41	240	49	#29f031	51888
11100000	224	194	87	167	#c257a7	125954
11100001	225	69	194	127	#45c27f	80743
11100010	226	194	51	98	#c23362	32574
11100011	227	33	194	175	#21c2af	106303
11100100	228	209	105	94	#d1695e	34369
11100101	229	75	168	209	#4ba8d1	14702
11100110	230	209	134	55	#d18637	43760
11100111	231	36	83	209	#2453d1	67195
11101000	232	224	217	101	#e0d965	27865
11101001	233	101	80	224	#6550e0	15483
11101010	234	165	224	59	#a5e03b	7259
11101011	235	144	38	224	#9026e0	13643
11101100	236	137	240	108	#89f06c	31793
11101101	237	238	85	240	#ee55f0	16103
11101110	238	63	240	99	#3ff063	34289
11101111	239	240	41	157	#f0299d	55104
11110000	240	87	194	154	#57c29a	163836
11110001	241	194	69	90	#c2455a	61007
11110010	242	51	187	194	#33bbc2	24043
11110011	243	194	74	33	#c24a21	71469
11110100	244	94	155	209	#5e9bd1	23796
11110101	245	209	166	75	#d1a64b	10518
11110110	246	55	72	209	#3748d1	25578
11110111	247	191	209	36	#bfd124	56973
11111000	248	140	101	224	#8c65e0	127105
11111001	249	149	224	80	#95e050	53719
11111010	250	180	59	224	#b43be0	19591
11111011	251	48	224	38	#30e026	49303
11111100	252	240	108	219	#f06cdb	121386
11111101	253	85	240	142	#55f08e	44689
11111110	254	240	63	138	#f03f8a	104263
11111111	255	41	240	198	#29f0c6	371951
