delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	runtime_seconds	status	error
-0.833333333	-36.666666667	0	-4.31227769887e-05	-4.56195226763e-05	-0.000135852908678	-0.0100722398452	-0.0153334855233	-0.0432927693335	35004.925454	5000.000000	true	7	0.492605	ok	
-0.722222222	-36.666666667	0	-4.31620809608e-05	-6.29356913584e-05	-0.000101841464681	-0.00982636037001	-0.0152910043423	-0.0445989223287	40030.170042	5000.000000	true	8	0.594400	ok	
-0.611111111	-36.666666667	0	-1.97627939691e-05	-4.45139756052e-05	-0.000165885029193	-0.010161207195	-0.015434523291	-0.045626278815	45001.586436	5000.000000	true	9	0.604005	ok	
-0.500000000	-36.666666667	0	-3.18231043259e-05	-4.26195824077e-05	-0.000266040696474	-0.0100447312602	-0.0154009386303	-0.0446494486344	50013.527671	5000.000000	true	10	0.531584	ok	
-1.500000000	-33.888888889	0	-5.0597302236e-05	-6.24613517306e-05	-6.51879316855e-05	-0.00267863862527	-0.00932328158512	-0.0142513514473	30046.090514	5000.000000	true	6	2.832246	ok	
-1.388888889	-33.888888889	3.00459542147	4.68111849551e-05	2.35919602581e-05	-2.74899363378e-05	-0.00933825311882	-0.014410487937	-0.0280472503233	30034.229979	5000.000000	true	6	0.114613	ok	
-1.277777778	-33.888888889	3.03003366875	0.000302251473067	3.19642335086e-06	-3.4663973166e-05	-0.00901601218018	-0.0149470427674	-0.0384530644706	35002.066932	5000.000000	true	7	0.388766	ok	
-1.166666667	-33.888888889	3.00409996818	9.84858460174e-05	-1.91726645482e-05	-4.21172464352e-05	-0.00907224969597	-0.0150664434596	-0.0410203431647	40022.920554	5000.000000	true	8	0.525372	ok	
-1.055555556	-33.888888889	3.00480983599	0.000123150325332	-1.1869663949e-05	-6.2297722183e-05	-0.0101839104944	-0.0153792540514	-0.0430236582669	35005.913085	5000.000000	true	7	0.460488	ok	
-0.944444444	-33.888888889	1.47745554507	1.45225102956e-05	-3.04164658793e-05	-6.09142476168e-05	-0.0102040859643	-0.015425052679	-0.0436142171925	45001.999639	5000.000000	true	9	0.604269	ok	
-0.833333333	-33.888888889	0	-5.67190039996e-05	-0.000100969280933	-0.000136472280557	-0.0103274052918	-0.0154398681211	-0.044333827592	45005.095766	5000.000000	true	9	0.685983	ok	
-0.722222222	-33.888888889	0	-2.06905771489e-05	-0.000118315079725	-0.000183292487139	-0.0100815154734	-0.0153915970674	-0.0440994750259	50000.475631	5000.000000	true	10	0.670377	ok	
-0.611111111	-33.888888889	0	-4.46111117836e-05	-4.60100185361e-05	-0.000220180720806	-0.0103336358372	-0.0154983723635	-0.0450280260071	65005.132328	5000.000000	true	13	0.706971	ok	
-0.500000000	-33.888888889	0	-4.49192721268e-05	-6.95124015075e-05	-0.000279747741541	-0.0105510663315	-0.015593244064	-0.0453460784922	30007.370121	5000.000000	true	6	0.223238	ok	
-1.500000000	-31.111111111	0	-4.4665396144e-05	-4.80202268431e-05	-7.30418818194e-05	-0.00538169176746	-0.0112001227964	-0.014996824917	65019.686745	5000.000000	true	13	2.852800	ok	
-1.388888889	-31.111111111	2.79145600018	4.34353577893e-05	2.1610980729e-05	-8.2185666043e-05	-0.00903286621396	-0.014528660315	-0.0283152255476	30056.368020	5000.000000	true	6	0.136474	ok	
-1.277777778	-31.111111111	3.00580531902	5.25987856394e-05	3.75469404575e-06	-4.84061563723e-07	-0.00962383254208	-0.0151704020448	-0.0421282323317	30012.674808	5000.000000	true	6	0.404373	ok	
-1.166666667	-31.111111111	2.9690009185	5.50177195382e-05	-1.54653744592e-06	-5.5181766159e-05	-0.0101877216151	-0.0153430076668	-0.0425434767778	35011.301559	5000.000000	true	7	0.608846	ok	
-1.055555556	-31.111111111	1.65792195009	3.31483240654e-05	-5.03833685152e-05	-5.61417815526e-05	-0.0102680024659	-0.0153997421593	-0.0426426859094	45002.676006	5000.000000	true	9	0.568546	ok	
-0.944444444	-31.111111111	2.09341495204	6.39630571407e-05	-4.63445787138e-05	-0.000188604479705	-0.0102325846608	-0.0154508914458	-0.04432165456	45004.497607	5000.000000	true	9	0.633095	ok	
-0.833333333	-31.111111111	0	-3.80478736786e-05	-4.16727534838e-05	-0.00019540761394	-0.0101418046915	-0.0154375170944	-0.0440790529868	60026.821769	5000.000000	true	12	0.792817	ok	
-0.722222222	-31.111111111	0	-4.19126185545e-05	-5.75549912546e-05	-0.000277612162525	-0.0104088584029	-0.0155162297857	-0.0439979948797	70030.325123	5000.000000	true	14	0.768518	ok	
-0.611111111	-31.111111111	0	-4.73087858149e-05	-8.02610738273e-05	-0.000389699057614	-0.0105963312441	-0.0155616924896	-0.0441223861313	30004.481954	5000.000000	true	6	0.289868	ok	
-0.500000000	-31.111111111	1.44428637452	2.07235772619e-05	-4.66446383466e-05	-0.000313789189197	-0.0107210468576	-0.0156108027474	-0.0456323981847	30002.293471	5000.000000	true	6	0.197447	ok	
-1.500000000	-28.333333333	3.02268599937	0.000237140674653	-9.28755240785e-06	-1.3618168077e-05	-0.00944348761942	-0.0147922656234	-0.0322897481615	30012.100952	5000.000000	true	6	2.832248	ok	
-1.388888889	-28.333333333	3.0052745849	8.48746202248e-05	-2.95630764161e-06	-3.02730278369e-05	-0.00979134581545	-0.015165985367	-0.0404600934767	30016.976915	5000.000000	true	6	0.359072	ok	
-1.277777778	-28.333333333	3.01053732204	9.8012434151e-05	7.68480241185e-06	-4.40589104692e-07	-0.00998893713536	-0.0153332863108	-0.0425132486962	35000.186381	5000.000000	true	7	0.488138	ok	
-1.166666667	-28.333333333	1.55508701464	2.62911785822e-05	-4.73640670536e-05	-7.46248598131e-05	-0.0101651434298	-0.0153908769866	-0.042903207387	45013.144843	5000.000000	true	9	0.537630	ok	
-1.055555556	-28.333333333	0	-1.6691654629e-05	-4.12902621264e-05	-0.000109776803083	-0.0101255852605	-0.0153602269808	-0.0431357058471	50023.150181	5000.000000	true	10	0.649315	ok	
-0.944444444	-28.333333333	0	-8.26582443355e-06	-4.97307341778e-05	-0.000181656891657	-0.01042979406	-0.0154753491507	-0.0437826640118	65012.167511	5000.000000	true	13	0.875864	ok	
-0.833333333	-28.333333333	1.80182900384	3.66073038726e-05	-4.56547514463e-05	-0.000344576754978	-0.0105603095962	-0.0156011295967	-0.0441920617057	30014.227604	5000.000000	true	6	0.406351	ok	
-0.722222222	-28.333333333	2.14805394883	9.70207028573e-05	-4.57155799079e-05	-0.00034652991936	-0.0106379016036	-0.0156609763455	-0.0455590474641	30007.246006	5000.000000	true	6	0.365245	ok	
-0.611111111	-28.333333333	0	-1.3234471731e-05	-4.49656903778e-05	-0.000336951254063	-0.0106239353905	-0.0156510106489	-0.0449549005251	60007.935803	5000.000000	true	12	0.577348	ok	
-0.500000000	-28.333333333	0	-4.04752520663e-05	-5.26812817229e-05	-0.000329069828611	-0.0106919704108	-0.0156491957609	-0.0446419281035	70036.199049	5000.000000	true	14	0.272618	ok	
-1.500000000	-25.555555556	3.01858209036	0.000215349633045	-1.35133614502e-06	-2.52487340837e-05	-0.0101576065548	-0.0150268379262	-0.0348768505351	40022.192984	5000.000000	true	8	2.836940	ok	
-1.388888889	-25.555555556	3.00670616427	0.000161791952351	-2.87683552424e-05	-6.48225417639e-05	-0.0101699052698	-0.0153747608474	-0.0416189117072	35002.753494	5000.000000	true	7	0.433532	ok	
-1.277777778	-25.555555556	2.53426820926	6.00706055336e-05	-3.12086888725e-05	-5.40214000397e-05	-0.0102632999134	-0.015413501017	-0.0431360364728	45008.152863	5000.000000	true	9	0.629604	ok	
-1.166666667	-25.555555556	0	-1.76322286084e-05	-4.58195327809e-05	-7.29748359941e-05	-0.0102923235303	-0.0154393123919	-0.0432943936914	55016.511313	5000.000000	true	11	0.775221	ok	
-1.055555556	-25.555555556	0	-1.7957037204e-05	-4.20948750724e-05	-0.00018558558892	-0.0104867383248	-0.0155019157607	-0.0427108829623	70035.555206	5000.000000	true	14	0.892233	ok	
-0.944444444	-25.555555556	1.9368715195	4.61599428038e-05	-4.92703021095e-05	-0.000238025611648	-0.0108803401173	-0.0155971080078	-0.0432723829553	30000.151033	5000.000000	true	6	0.374734	ok	
-0.833333333	-25.555555556	1.70515630432	3.44199556646e-05	-4.88118101669e-05	-0.000274314958469	-0.010885236299	-0.015628980833	-0.0441931772715	30006.897081	5000.000000	true	6	0.385445	ok	
-0.722222222	-25.555555556	0	-4.81711534951e-05	-4.89375387072e-05	-0.000297637414703	-0.010861987988	-0.0156535715586	-0.0445915821164	30007.993816	5000.000000	true	6	0.323543	ok	
-0.611111111	-25.555555556	2.02954837671	5.55307841081e-05	-4.62040853924e-05	-0.000315641661388	-0.011137968675	-0.0157303952466	-0.0432045498935	65001.694413	5000.000000	true	13	0.533137	ok	
-0.500000000	-25.555555556	2.16611050427	0.00010540556678	-4.6717667846e-05	-0.0003533063679	-0.0112272503317	-0.0157393812126	-0.0431550906359	65008.678301	5000.000000	true	13	0.201603	ok	
-1.500000000	-22.777777778	3.01081306934	0.000106559626892	3.86496099383e-05	-3.25181212839e-05	-0.0104217509353	-0.0153594121673	-0.0398499943203	35005.698097	5000.000000	true	7	2.845260	ok	
-1.388888889	-22.777777778	2.13312335941	5.99782289036e-05	-4.85117944577e-05	-8.61339023962e-05	-0.0101651630267	-0.0153929989771	-0.0419799452515	45007.021323	5000.000000	true	9	0.561906	ok	
-1.277777778	-22.777777778	0	-9.93800653523e-07	-4.41387280614e-05	-9.22269058801e-05	-0.0103340491951	-0.0153770558416	-0.0419456648155	60021.252683	5000.000000	true	12	0.745822	ok	
-1.166666667	-22.777777778	0	-2.52532252963e-05	-4.39236324794e-05	-0.000147601556076	-0.0104720372738	-0.015449292764	-0.0425610899688	55011.901353	5000.000000	true	11	0.691214	ok	
-1.055555556	-22.777777778	1.69824824677	3.35097039373e-05	-4.79911035829e-05	-0.000232340930928	-0.0108088732484	-0.0155958334103	-0.0432761235851	30000.247543	5000.000000	true	6	0.400971	ok	
-0.944444444	-22.777777778	1.50714822682	2.43129424983e-05	-4.7940505778e-05	-0.000283930695611	-0.0108140438531	-0.0156077647072	-0.043588382443	30003.079656	5000.000000	true	6	0.412446	ok	
-0.833333333	-22.777777778	0	-2.2091345104e-05	-6.92839667374e-05	-0.00030058899834	-0.0108056127627	-0.0156132834454	-0.0433006772978	60043.663914	5000.000000	true	12	0.731411	ok	
-0.722222222	-22.777777778	0	-3.04889388686e-05	-4.37018021176e-05	-0.000319920183608	-0.0108831979618	-0.0156315853913	-0.0432986230707	60023.549398	5000.000000	true	12	0.575486	ok	
-0.611111111	-22.777777778	0	-2.60249626859e-05	-4.35767227755e-05	-0.000360470465222	-0.0109035739125	-0.0156692082054	-0.0435658228877	50008.314388	5000.000000	true	10	0.313139	ok	
-0.500000000	-22.777777778	1.28787288087	1.30604176437e-05	-4.53686974757e-05	-0.000480659828783	-0.0112133735453	-0.0158053951638	-0.0438050134347	45008.895917	5000.000000	true	9	0.100028	ok	
-1.500000000	-20.000000000	1.9089350234	4.88897394078e-05	-5.37879365953e-05	-6.67457695753e-05	-0.0105122700374	-0.0154249621185	-0.0415528324397	35010.823760	5000.000000	true	7	2.897067	ok	
-1.388888889	-20.000000000	0	-1.28165315535e-07	-4.41289786208e-05	-6.29160655913e-05	-0.010686056996	-0.015468113802	-0.0409829076137	50031.362670	5000.000000	true	10	0.611480	ok	
-1.277777778	-20.000000000	2.00479835104	4.46709817561e-05	-4.40196841793e-05	-0.000135733624198	-0.0109037278124	-0.0155465826683	-0.0413269696708	40000.248013	5000.000000	true	8	0.503504	ok	
-1.166666667	-20.000000000	2.00955029765	4.93445123934e-05	-4.76234070143e-05	-0.000180214841742	-0.0108105565656	-0.0156013513559	-0.0432345197536	30008.849681	5000.000000	true	6	0.404974	ok	
-1.055555556	-20.000000000	2.01427244545	4.70750629359e-05	-4.4699542262e-05	-0.000166441040744	-0.0107827140464	-0.0155967456757	-0.0429380091211	40004.336615	5000.000000	true	8	0.528371	ok	
-0.944444444	-20.000000000	1.33535179501	1.44998422103e-05	-4.32377056753e-05	-0.000279659850151	-0.0110516997496	-0.0157045712181	-0.0424040570503	55000.235940	5000.000000	true	11	0.706472	ok	
