time	time_seconds	lambda1_nat_per_timeunit	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
1700000	1700	0.000212575311827	0.306681348188	0.330696549415	181	1694253.24517	1694.25324517	75
1710000	1710	0.000213571402787	0.308118403676	0.332863298308	183	1709352.64974	1709.35264974	76
1720000	1720	0.000213505049607	0.308022676273	0.331572255847	184	1717841.17298	1717.84117298	76
1730000	1730	0.000212680843369	0.306833598021	0.331572255847	184	1717841.17298	1717.84117298	76
1740000	1740	0.000212126847453	0.30603435086	0.333539973146	185	1732003.45077	1732.00345077	77
1750000	1750	0.000215167921953	0.31042169396	0.331972123175	186	1742015.52695	1742.01552695	77
1760000	1760	0.000212420860977	0.306458522713	0.334336591587	187	1753989.09452	1753.98909452	78
1770000	1770	0.000212930541417	0.307193836156	0.333286010082	188	1761350.80277	1761.35080277	78
1780000	1780	0.00021273172205	0.306907000441	0.331931122876	189	1770368.14401	1770.36814401	78
1790000	1790	0.000212382457159	0.306403117715	0.333958717658	190	1784001.83528	1784.00183528	79
1800000	1800	0.000211467917206	0.30508371546	0.331548940394	191	1798793.31154	1798.79331154	79
1810000	1810	0.000211332771014	0.304888740719	0.334541458596	192	1807100.47447	1807.10047447	80
1820000	1820	0.000212785330829	0.306984341561	0.334541458596	192	1807100.47447	1807.10047447	80
1830000	1830	0.000210837474275	0.304174178571	0.331098968455	194	1829552.8848	1829.5528848	80
1840000	1840	0.000211789264006	0.305547320896	0.331098968455	194	1829552.8848	1829.5528848	80
1850000	1850	0.000212651135348	0.306790738406	0.333474159042	195	1841055.10483	1841.05510483	81
1860000	1860	0.000211399525633	0.304985047276	0.331298382115	196	1854971.8617	1854.9718617	81
1870000	1870	0.000212111047646	0.306011556556	0.333723206996	197	1866057.86121	1866.05786121	82
1880000	1880	0.000212728506546	0.306902361449	0.333723206996	197	1866057.86121	1866.05786121	82
1890000	1890	0.000211287287971	0.304823122558	0.334743570217	199	1886723.91717	1886.72391717	83
1900000	1900	0.000212394836283	0.306420977016	0.334743570217	199	1886723.91717	1886.72391717	83
1910000	1910	0.000212111644248	0.306012417272	0.332535870459	200	1901075.56234	1901.07556234	83
1920000	1920	0.00021257627739	0.306682741201	0.334670196019	201	1913539.58699	1913.53958699	84
1930000	1930	0.000212726904399	0.30690005004	0.336563939478	202	1927254.63701	1927.25463701	85
1940000	1940	0.000211915127786	0.305728903946	0.335607301343	203	1934583.2664	1934.5832664	85
1950000	1950	0.000213430776174	0.307915522359	0.33434493849	204	1943717.78462	1943.71778462	85
1960000	1960	0.000212013086735	0.305870228836	0.336410345797	205	1956337.53113	1956.33753113	86
1970000	1970	0.000212021015543	0.305881667688	0.33526296581	206	1964862.16687	1964.86216687	86
1980000	1980	0.000210508243192	0.303699198519	0.334216746622	207	1972839.78151	1972.83978151	86
1990000	1990	0.00021143506062	0.305036313426	0.336023679793	209	1988697.32919	1988.69732919	87
2000000	2000	0.000211051499087	0.304482951105	0.334891443773	210	1997237.77928	1997.23777928	87
2010000	2010	0.000209942284588	0.302882692848	0.334891443773	210	1997237.77928	1997.23777928	87
2020000	2020	0.000210977182897	0.304375735506	0.332846388319	211	2011320.75655	2011.32075655	87
2030000	2030	0.000210076654426	0.303076547547	0.334377937407	213	2028757.86041	2028.75786041	88
2040000	2040	0.00020974862127	0.30260329574	0.333371238146	214	2036696.16484	2036.69616484	88
2050000	2050	0.000209148059885	0.301736868807	0.332568333869	215	2043422.63029	2043.42263029	88
2060000	2060	0.00021134447114	0.304905620433	0.331368194988	216	2052627.49157	2052.62749157	88
2070000	2070	0.000209018861836	0.301550475423	0.333722680351	217	2063108.03895	2063.10803895	89
2080000	2080	0.000210301269301	0.303400598314	0.332725347889	218	2071093.96811	2071.09396811	89
2090000	2090	0.000210362102204	0.303488361641	0.334240979064	220	2088468.33134	2088.46833134	90
2100000	2100	0.000211709494611	0.305432237984	0.333299488512	221	2096162.00706	2096.16200706	90
2110000	2110	0.00021219840755	0.306137590257	0.336109541886	222	2103524.17426	2103.52417426	91
2120000	2120	0.000212507934657	0.30658414348	0.335317123089	223	2110283.25938	2110.28325938	91
2130000	2130	0.000210993213146	0.304398862267	0.333321640431	224	2124697.50843	2124.69750843	91
2140000	2140	0.000211176143901	0.30466277556	0.335969357459	225	2132903.53313	2132.90353313	92
2150000	2150	0.000211175433758	0.304661751041	0.334004013648	226	2147234.64886	2147.23464886	92
2160000	2160	0.000211077099757	0.304519885064	0.336938611313	227	2153456.11414	2153.45611414	93
2170000	2170	0.000210854596639	0.30419888092	0.335154044507	229	2168487.77321	2168.48777321	93
2180000	2180	0.0002116315797	0.305319830528	0.334380997749	230	2175276.89733	2175.27689733	93
2190000	2190	0.000210366577539	0.303494818184	0.332452622828	231	2189663.25815	2189.66325815	93
2200000	2200	0.000210604828424	0.303838541555	0.335037523108	232	2197906.53171	2197.90653171	94
2210000	2210	0.000210815837491	0.30414296329	0.334183313937	233	2205296.44232	2205.29644232	94
2220000	2220	0.000210483696284	0.303663784816	0.336703860195	234	2213840.81589	2213.84081589	95
2230000	2230	0.000210297935541	0.303395788714	0.335761567928	235	2221819.94078	2221.81994078	95
2240000	2240	0.000210113450849	0.303129633564	0.333839184426	237	2238143.39686	2238.14339686	95
2250000	2250	0.000210006885771	0.302975892654	0.332897935888	238	2246230.0188	2246.2300188	95
2260000	2260	0.000211232710989	0.304744384618	0.335637297218	239	2253104.97825	2253.10497825	96
2270000	2270	0.000211323239834	0.304874990132	0.334533146248	240	2262293.45664	2262.29345664	96
2280000	2280	0.000211711256276	0.305434779529	0.336793097189	241	2272270.40437	2272.27040437	97
2290000	2290	0.000212433047069	0.306476103528	0.3358247584	242	2280572.10942	2280.57210942	97
2300000	2300	0.000210860124169	0.304206855459	0.337418813977	243	2294942.85502	2294.94285502	98
2310000	2310	0.000211231515939	0.304742660524	0.336497012983	244	2302979.52734	2302.97952734	98
2320000	2320	0.000210924300248	0.304299441971	0.335253878361	245	2313265.52094	2313.26552094	98
2330000	2330	0.000211018040477	0.304434680534	0.33688710664	246	2327285.24443	2327.28524443	99
2340000	2340	0.000211742497382	0.305479850919	0.336184712353	247	2333896.99337	2333.89699337	99
2350000	2350	0.000211535772349	0.305181609739	0.334825351861	248	2345116.25597	2345.11625597	99
2360000	2360	0.00021136641692	0.304937281501	0.337381688534	249	2352601.27251	2352.60127251	100
2370000	2370	0.000211929532327	0.305749685306	0.336421752551	250	2361056.2403	2361.0562403	100
2380000	2380	0.000210260979202	0.303342471987	0.33465274145	251	2375274.65507	2375.27465507	100
2390000	2390	0.000210761159131	0.30406407909	0.33360531596	252	2384474.22906	2384.47422906	100
2400000	2400	0.000210884568696	0.304242121457	0.335783147949	253	2394439.05698	2394.43905698	101
2410000	2410	0.000212031375978	0.305896614637	0.335098310376	254	2401072.985	2401.072985	101
2420000	2420	0.000210933556832	0.304312796398	0.336584394526	255	2415873.49256	2415.87349256	102
2430000	2430	0.000210585645076	0.303810865834	0.335639385414	256	2424414.30498	2424.41430498	102
2440000	2440	0.000208896227475	0.301373551438	0.337212492748	257	2438496.76061	2438.49676061	103
2450000	2450	0.000210509453984	0.303700945323	0.336143437909	258	2447990.4631	2447.9904631	103
2460000	2460	0.00021018398805	0.303231397234	0.335289215256	259	2455964.98729	2455.96498729	103
2470000	2470	0.000210299623245	0.303398223557	0.337696679808	260	2463865.94751	2463.86594751	104
2480000	2480	0.000209838754525	0.30273333054	0.336111385198	262	2478954.61221	2478.95461221	104
2490000	2490	0.000211285367831	0.304820352382	0.335412930791	263	2485844.81763	2485.84481763	104
2500000	2500	0.000211988753793	0.305835123821	0.337524073681	264	2495773.03232	2495.77303232	105
2510000	2510	0.000211210614421	0.304712506008	0.335907138172	265	2509508.12784	2509.50812784	105
2520000	2520	0.000211850858368	0.305636182776	0.335907138172	265	2509508.12784	2509.50812784	105
2530000	2530	0.000211105226967	0.304560464051	0.334268042599	266	2523536.54698	2523.53654698	105
2540000	2540	0.000211640197247	0.305332263021	0.336615892387	267	2531528.53183	2531.52853183	106
2550000	2550	0.00021149437539	0.305121886551	0.337795855162	269	2549937.16847	2549.93716847	107
2560000	2560	0.000211361577873	0.304930300232	0.337201241362	270	2556156.51084	2556.15651084	107
2570000	2570	0.000211956418314	0.305788473586	0.339650377039	271	2563160.83823	2563.16083823	108
2580000	2580	0.000212327203169	0.306323403057	0.338133617035	273	2578091.7204	2578.0917204	108
2590000	2590	0.000212420393507	0.306457848296	0.337299191575	274	2586180.22494	2586.18022494	108
2600000	2600	0.000212915024813	0.307171450428	0.339759098465	275	2592937.76744	2592.93776744	109
2610000	2610	0.000212604753255	0.306723823191	0.338790710013	276	2602054.5777	2602.0545777	109
2620000	2620	0.00021270869298	0.306873776516	0.340132017751	278	2618982.14467	2618.98214467	110
2630000	2630	0.000213557847315	0.308098847265	0.340132017751	278	2618982.14467	2618.98214467	110
2640000	2640	0.00021458179356	0.309576089435	0.33890222606	279	2630185.20779	2630.18520779	110
2650000	2650	0.000212486123065	0.306552676004	0.337274868858	280	2644574.08526	2644.57408526	110
2660000	2660	0.000213218321786	0.307609015467	0.339496644878	281	2652854.01533	2652.85401533	111
2670000	2670	0.000213991999298	0.308725196177	0.338756063917	282	2660354.65405	2660.35465405	111
2680000	2680	0.000213567425407	0.30811266553	0.337449476293	283	2672352.30738	2672.35230738	111
2690000	2690	0.000214088418239	0.308864299305	0.33871229123	285	2689774.68166	2689.77468166	112
2700000	2700	0.000214091430984	0.308868645778	0.33871229123	285	2689774.68166	2689.77468166	112
2710000	2710	0.000212922613619	0.307182398762	0.337132157759	286	2704074.93861	2704.07493861	112
2720000	2720	0.000212992854086	0.307283734335	0.339351426336	287	2712074.3266	2712.0743266	113
2730000	2730	0.000214084777418	0.30885904671	0.338401404955	288	2721383.30261	2721.38330261	113
2740000	2740	0.000213276615045	0.307693114863	0.336785909639	289	2736129.12326	2736.12912326	113
2750000	2750	0.000213757864348	0.308387410847	0.338651190417	290	2746834.39137	2746.83439137	114
2760000	2760	0.000214544225453	0.309521890113	0.341011640929	291	2753446.14286	2753.44614286	115
2770000	2770	0.000214313576178	0.309189133548	0.339833164886	292	2764686.77788	2764.68677788	115
2780000	2780	0.000215659319882	0.311130631316	0.34211240729	293	2771842.04815	2771.84204815	116
2790000	2790	0.000214607184904	0.3096127214	0.340452968034	295	2788736.50083	2788.73650083	116
2800000	2800	0.000216773398762	0.312737907391	0.340452968034	295	2788736.50083	2788.73650083	116
2810000	2810	0.000213880831661	0.308564815178	0.341781005395	296	2803532.88261	2803.53288261	117
2820000	2820	0.000215334027425	0.3106613335	0.340965708586	297	2811926.06576	2811.92606576	117
2830000	2830	0.000214140321722	0.308939180203	0.339439458141	298	2826255.19192	2826.25519192	117
2840000	2840	0.000214118827622	0.308908170771	0.341591939575	299	2834139.72311	2834.13972311	118
2850000	2850	0.000214481380074	0.309431223396	0.34091334525	300	2841469.1815	2841.4691815	118
2860000	2860	0.00021388180473	0.308566219021	0.34002084234	301	2850612.65025	2850.61265025	118
2870000	2870	0.000213263177795	0.307673729008	0.338722423719	302	2863222.38272	2863.22238272	118
2880000	2880	0.000213557335707	0.308098109171	0.340744454564	303	2872036.91481	2872.03691481	119
2890000	2890	0.000213863981959	0.308540506197	0.33999290317	304	2880069.11196	2880.06911196	119
2900000	2900	0.000214442997758	0.309375849418	0.33899620466	305	2890217.86476	2890.21786476	119
2910000	2910	0.000215537887799	0.310955441851	0.340780469787	306	2900925.67488	2900.92567488	120
2920000	2920	0.000215284789316	0.310590297925	0.339416274102	307	2914264.02708	2914.26402708	120
2930000	2930	0.000215251584641	0.310542393705	0.340920619553	308	2927263.10819	2927.26310819	121
2940000	2940	0.00021593107003	0.311522683907	0.339949504297	309	2937307.51846	2937.30751846	121
2950000	2950	0.000217426506292	0.313680142385	0.342149973696	310	2944218.62707	2944.21862707	122
2960000	2960	0.000216473591937	0.31230537757	0.341305033754	311	2953186.81466	2953.18681466	122
2970000	2970	0.000216439480214	0.312256164757	0.342564082072	313	2969809.05714	2969.80905714	123
2980000	2980	0.000217623552772	0.313964420364	0.342564082072	313	2969809.05714	2969.80905714	123
2990000	2990	0.00021751687512	0.313810517045	0.343410436317	315	2989927.91483	2989.92791483	124
3000000	3000	0.000217400411643	0.313642495764	0.34284271143	316	2996553.31186	2996.55331186	124
