time	time_seconds	lambda1_nat_per_timeunit	lambda1_nats_per_second	lambda1_bits_per_second	lz76_nats_per_second	lz76_bits_per_second	lz76_alphabet_units_per_second	lz76_alphabet_size	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
2890000	2890	0.000237161826584	0.237161826584	0.342152191101	0.246903801237	0.356206889621	0.0787447796849	23	299	2884363.29035	2884.36329035	125
2900000	2900	0.000239098656352	0.239098656352	0.344946445803	0.246352911219	0.355412123324	0.0785690848886	23	300	2892516.01184	2892.51601184	125
2910000	2910	0.000238039592454	0.238039592454	0.343418539569	0.247328525639	0.35681963741	0.0788802366092	23	301	2905844.48643	2905.84448643	126
2920000	2920	0.000237015002053	0.237015002053	0.341940368078	0.246291208716	0.35532310543	0.0785494061718	23	302	2919772.58166	2919.77258166	126
2930000	2930	0.000237366205374	0.237366205374	0.342447047368	0.246291208716	0.35532310543	0.0785494061718	23	302	2919772.58166	2919.77258166	126
2940000	2940	0.000237638805166	0.237638805166	0.342840325736	0.245511966982	0.354198897244	0.0783008833935	23	303	2930737.22943	2930.73722943	126
2950000	2950	0.000238566710063	0.238566710063	0.344179009529	0.246719278838	0.355940680071	0.0786859301428	23	304	2941239.99842	2941.23999842	127
2960000	2960	0.000236991581455	0.236991581455	0.341906579298	0.245673586384	0.354432064754	0.0783524285059	23	305	2955448.90841	2955.44890841	127
2970000	2970	0.000237379681503	0.237379681503	0.342466489313	0.245049498904	0.353531696841	0.0781533889167	23	306	2964677.9483	2964.6779483	127
2980000	2980	0.000237877979944	0.237877979944	0.343185382002	0.24609156551	0.355035081166	0.0784857341659	23	307	2977063.32126	2977.06332126	128
2990000	2990	0.000237281912315	0.237281912315	0.342325438189	0.24609156551	0.355035081166	0.0784857341659	23	307	2977063.32126	2977.06332126	128
3000000	3000	0.000237592258886	0.237592258886	0.342773173649	0.245098818891	0.353602850542	0.0781691184905	23	308	2990813.44016	2990.81344016	128
3010000	3010	0.000238180199211	0.238180199211	0.34362139224	0.246005097275	0.354910333872	0.078458156939	23	309	3004767.82241	3004.76782241	129
3020000	3020	0.000237965732044	0.237965732044	0.343311981521	0.246983103646	0.356321298814	0.0787700715222	23	310	3017766.4353	3017.7664353	130
3030000	3030	0.00023858704734	0.23858704734	0.344208350018	0.246983103646	0.356321298814	0.0787700715222	23	310	3017766.4353	3017.7664353	130
3040000	3040	0.000238774154961	0.238774154961	0.344478289254	0.245917684827	0.354784224366	0.0784302785753	23	311	3032534.28684	3032.53428684	130
3050000	3050	0.000236704813788	0.236704813788	0.341492861006	0.246835301001	0.356108064671	0.0787229329741	23	312	3046199.14742	3046.19914742	131
3060000	3060	0.000237365531437	0.237365531437	0.342446075082	0.246342261781	0.355396759433	0.0785656884741	23	313	3054007.35261	3054.00735261	131
3070000	3070	0.000237698596257	0.237698596257	0.342926586046	0.245804738232	0.354621276874	0.078394256632	23	314	3062393.94659	3062.39394659	131
3080000	3080	0.000235967048415	0.235967048415	0.340428490561	0.24666246139	0.355858709821	0.0786678094118	23	315	3076734.82816	3076.73482816	132
3090000	3090	0.000236013054191	0.236013054191	0.340494862866	0.246166008001	0.355142478979	0.0785094760344	23	316	3084648.78271	3084.64878271	132
3100000	3100	0.000235702116903	0.235702116903	0.340046275183	0.245264452499	0.353841809326	0.0782219438494	23	318	3099404.4311	3099.4044311	132
3110000	3110	0.000235424558054	0.235424558054	0.339645842408	0.246667263041	0.355865637139	0.0786693407973	23	319	3106828.10588	3106.82810588	133
3120000	3120	0.000235545252357	0.235545252357	0.33981996748	0.246123771856	0.355081545102	0.0784960057033	23	320	3115387.39348	3115.38739348	133
3130000	3130	0.000234420810155	0.234420810155	0.338197740292	0.245150340861	0.353677181032	0.0781855503402	23	321	3129443.78828	3129.44378828	133
3140000	3140	0.000234697758355	0.234697758355	0.338597292086	0.24449692153	0.352734496203	0.0779771559735	23	322	3139502.83459	3139.50283459	133
3150000	3150	0.000234699752379	0.234699752379	0.338600168855	0.245840078621	0.354672262278	0.0784055277065	23	323	3147525.30496	3147.52530496	134
3160000	3160	0.000235026658467	0.235026658467	0.339071794647	0.245454557268	0.354116072534	0.0782825737714	23	324	3154168.78905	3154.16878905	134
3170000	3170	0.00023427451484	0.23427451484	0.337986680767	0.244442935326	0.352656610576	0.0779599382083	23	325	3168903.14954	3168.90314954	134
3180000	3180	0.000236978482348	0.236978482348	0.341887681281	0.244442935326	0.352656610576	0.0779599382083	23	325	3168903.14954	3168.90314954	134
3190000	3190	0.000234973566409	0.234973566409	0.338995198998	0.245319818484	0.353921685558	0.0782396016671	23	326	3182824.46882	3182.82446882	135
3200000	3200	0.000235434536447	0.235434536447	0.339660238187	0.24623293826	0.355239038931	0.078530822034	23	328	3197908.51726	3197.90851726	136
3210000	3210	0.0002363485176	0.2363485176	0.340978834263	0.2454555923	0.35411756577	0.0772345609618	24	329	3209721.93042	3209.72193042	136
3220000	3220	0.000236352135692	0.236352135692	0.340984054066	0.2454555923	0.35411756577	0.0772345609618	24	329	3209721.93042	3209.72193042	136
3230000	3230	0.000235380701028	0.235380701028	0.339582570095	0.246335263506	0.355386663056	0.0775113565269	24	330	3223458.73316	3223.45873316	137
