time	time_seconds	lambda1_nats_per_second	binary_sign_lz76_nats_per_second	n_symbols	binary_lz76_phrase_count	mean_event_interval_seconds
4780000	4780	0.225302626681	0.120915660305	501	93	9.54368334375
4790000	4790	0.225492312596	0.120785685222	502	93	9.53797972399
4800000	4800	0.226345166235	0.120577019811	503	93	9.5385422484
4810000	4810	0.22550827802	0.120311637628	504	93	9.54366095144
4820000	4820	0.225470551495	0.121275518004	506	94	9.53785572015
4830000	4830	0.225348472012	0.121275518004	506	94	9.53785572015
4840000	4840	0.22445469994	0.120953827405	507	94	9.54738673351
4850000	4850	0.224217680544	0.120665909732	509	94	9.53858918332
4860000	4860	0.225018751555	0.120665909732	509	94	9.53858918332
4870000	4870	0.225281845203	0.12034794558	510	94	9.54804389522
4880000	4880	0.224867037361	0.120011100549	512	94	9.54342895273
4890000	4890	0.224953580201	0.121081386316	513	95	9.54404862015
4900000	4900	0.225367742522	0.121081386316	513	95	9.54404862015
4910000	4910	0.225116553041	0.120798320629	514	95	9.55078101923
4920000	4920	0.224992079488	0.120467119684	516	95	9.54585383895
4930000	4930	0.225246340423	0.120263583844	517	95	9.54647240652
4940000	4940	0.225621487962	0.120263583844	517	95	9.54647240652
4950000	4950	0.225539231808	0.119984925981	518	95	9.55312487257
4960000	4960	0.225610391653	0.1197420195	519	95	9.55700826426
4970000	4970	0.226992802797	0.120836937298	520	96	9.55463649764
4980000	4980	0.225470586577	0.120524164215	521	96	9.5639824104
4990000	4990	0.225588583933	0.120362447793	522	96	9.56141586988
5000000	5000	0.225272454562	0.120063756862	523	96	9.56980110061
5010000	5010	0.225289496699	0.119940979239	524	96	9.56423335844
5020000	5020	0.225245008771	0.119764038368	525	96	9.56303015898
5030000	5030	0.224584862756	0.119470315619	527	96	9.55595726805
5040000	5040	0.225312135135	0.119324805055	528	96	9.55237837948
5050000	5050	0.225830265853	0.119324805055	528	96	9.55237837948
5060000	5060	0.224887273269	0.120113495462	530	97	9.55808374368
5070000	5070	0.224703976763	0.119962899449	531	97	9.5549301936
5080000	5080	0.224597848889	0.119827570608	532	97	9.55060336126
5090000	5090	0.225132711293	0.119657629014	533	97	9.54907957873
5100000	5100	0.22477152294	0.119387340133	534	97	9.55562763802
5110000	5110	0.224992071142	0.119207191614	535	97	9.55502589475
5120000	5120	0.224847443453	0.118960212905	536	97	9.5598408013
5130000	5130	0.225148296151	0.120033519922	537	98	9.55704197106
5140000	5140	0.225326930561	0.119811748977	538	98	9.5597636723
5150000	5150	0.225469183822	0.119811748977	538	98	9.5597636723
5160000	5160	0.225763629659	0.119336319847	540	98	9.56794452649
5170000	5170	0.225931126175	0.119336319847	540	98	9.56794452649
5180000	5180	0.225046409859	0.120181363358	542	99	9.56781715648
5190000	5190	0.225418224121	0.120028244274	543	99	9.56517994086
5200000	5200	0.225510557845	0.119799349918	545	99	9.55386161271
5210000	5210	0.226671635225	0.119799349918	545	99	9.55386161271
5220000	5220	0.225873295109	0.119497654417	546	99	9.56322169765
5230000	5230	0.225856261749	0.119217397419	547	99	9.57095675159
5240000	5240	0.225748730855	0.120301260573	548	100	9.56581964617
5250000	5250	0.225709166363	0.120127374129	549	100	9.56498148653
5260000	5260	0.225316884852	0.119974354459	550	100	9.56252587431
5270000	5270	0.225501227245	0.119672029595	552	100	9.55744385642
5280000	5280	0.225385125499	0.119542836903	553	100	9.55320913724
5290000	5290	0.225762412949	0.119423530748	554	100	9.54822242556
5300000	5300	0.225648636406	0.120297967823	556	101	9.54460943091
5310000	5310	0.225855193034	0.120297967823	556	101	9.54460943091
5320000	5320	0.22548618453	0.119999946958	557	101	9.553850561
5330000	5330	0.225762519234	0.11985312584	558	101	9.55112044111
5340000	5340	0.225960377775	0.119658797408	559	101	9.55222142906
5350000	5350	0.226015908812	0.119443638242	560	101	9.55503880565
5360000	5360	0.225715540413	0.120380482735	562	102	9.54584797796
5370000	5370	0.226463944283	0.120380482735	562	102	9.54584797796
5380000	5380	0.226416680415	0.119986364812	564	102	9.5485958142
5390000	5390	0.226340975439	0.119870694427	565	102	9.54356127916
5400000	5400	0.226642156865	0.119697836286	566	102	9.54311991806
5410000	5410	0.226394110842	0.119406128008	567	102	9.55222111466
5420000	5420	0.225960809025	0.120431553889	568	103	9.54955537266
5430000	5430	0.226659965536	0.120230621952	569	103	9.55135206702
5440000	5440	0.226984903803	0.120053934012	570	103	9.55127070625
5450000	5450	0.226459419904	0.119935390628	571	103	9.54660364029
5460000	5460	0.226122793735	0.119673397515	573	103	9.53936090132
5470000	5470	0.226748151469	0.120687707047	574	104	9.53700325034
5480000	5480	0.226664862024	0.120579154602	575	104	9.53159897583
5490000	5490	0.226857891267	0.120437134366	576	104	9.52887625476
5500000	5500	0.227028692618	0.120282174099	577	104	9.527215876
5510000	5510	0.227166676837	0.121238253513	578	105	9.52905437783
5520000	5520	0.228525959643	0.121002754698	579	105	9.53370094029
5530000	5530	0.227284315658	0.120766176765	580	105	9.53849440597
5540000	5540	0.227667360571	0.120654072218	581	105	9.53350466943
5550000	5550	0.227759249188	0.120469298727	582	105	9.53429663301
5560000	5560	0.227853627454	0.120317386749	583	105	9.53252985773
5570000	5570	0.227410455677	0.120044282618	584	105	9.54042348517
5580000	5580	0.228130957303	0.121019218619	585	106	9.53992511775
5590000	5590	0.22741238853	0.120795370252	587	106	9.53014162549
5600000	5600	0.227644935815	0.120646858813	588	106	9.52818851422
5610000	5610	0.227351439013	0.120505857579	589	106	9.52567909299
5620000	5620	0.227721782596	0.121501270848	590	107	9.5231355374
5630000	5630	0.227392845742	0.121178124461	592	107	9.52131993778
5640000	5640	0.2274165152	0.121059447608	593	107	9.51709754104
5650000	5650	0.227176964468	0.120917402054	594	107	9.5147467917
5660000	5660	0.227624212666	0.120702616606	596	107	9.50469199292
5670000	5670	0.227647284038	0.12170537784	597	108	9.50103220169
5680000	5680	0.228019957074	0.121556571513	598	108	9.4992422519
5690000	5690	0.228765707919	0.121404662299	599	108	9.49773136611
5700000	5700	0.227603145705	0.121129842994	600	108	9.50589309352
5710000	5710	0.227769739371	0.1209905295	601	108	9.50347691233
5720000	5720	0.227809139558	0.120790575393	602	108	9.50586533713
5730000	5730	0.22804436708	0.120626732906	603	108	9.50545544602
5740000	5740	0.228194863215	0.120356898529	604	108	9.51345514814
5750000	5750	0.22877315225	0.120356898529	604	108	9.51345514814
5760000	5760	0.228492066665	0.121147008268	606	109	9.51234884981
5770000	5770	0.22892795323	0.120965357452	607	109	9.51338633254
5780000	5780	0.228912908162	0.120866542831	608	109	9.50794578456
5790000	5790	0.228535236782	0.120607399648	610	109	9.50200005901
5800000	5800	0.22885647355	0.121585962015	611	110	9.49885513355
5810000	5810	0.228888747062	0.121585962015	611	110	9.49885513355
5820000	5820	0.229258908246	0.12130624176	612	110	9.50762481014
5830000	5830	0.228549852009	0.121039099599	613	110	9.51548508612
5840000	5840	0.228496663743	0.120905753915	614	110	9.51288024404
