time_since_ttr1e6_seconds	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	alphabet_size	lz76_phrase_count	mean_event_interval_seconds
3880	0.311538575089	0.344303983229	408	23	154	9.50734120764
3890	0.308042508413	0.343233450658	409	23	154	9.51755069804
3900	0.309796898418	0.342668250121	410	23	154	9.5138589644
3910	0.310216139467	0.34359842827	412	23	155	9.5110434111
3920	0.310514261247	0.345129502284	413	23	156	9.51069241991
3930	0.310960128564	0.344611484065	414	23	156	9.50579661768
3940	0.311009701051	0.343828651957	415	23	156	9.5082870765
3950	0.311097696785	0.345499383745	416	23	157	9.50386474576
3960	0.31141694877	0.344907633365	417	23	157	9.50112129181
3970	0.309491910584	0.343795655939	418	23	157	9.51282358782
3980	0.309146031671	0.343226261492	419	23	157	9.50962699993
3990	0.309155853706	0.344498893885	421	23	158	9.49703206734
4000	0.309036485831	0.343911005602	422	23	158	9.49444947855
4010	0.309427833512	0.343911005602	422	23	158	9.49444947855
4020	0.308004778343	0.342821215399	423	23	158	9.50583487363
4030	0.307680788292	0.343837615005	425	23	159	9.50024194288
4040	0.30736336956	0.343194273407	426	23	159	9.49939538713
4050	0.307868344153	0.342548643822	427	23	159	9.49868799719
4060	0.308597356064	0.341828730681	428	23	159	9.50012051651
4070	0.308729150862	0.343151871826	430	23	160	9.48600836156
4080	0.309314085909	0.343151871826	430	23	160	9.48600836156
4090	0.309047290504	0.343866917053	432	23	161	9.48860360856
4100	0.309155302513	0.343295307297	433	23	161	9.48606557257
4110	0.309333273229	0.342737994869	434	23	161	9.48319977712
4120	0.309794838812	0.344225613181	435	23	162	9.48261532606
4130	0.308585388005	0.343313552449	436	23	162	9.48958561871
4140	0.309251961025	0.342650960543	437	23	162	9.48975434544
4150	0.309901442726	0.342650960543	437	23	162	9.48975434544
4160	0.309136383044	0.34371416242	438	23	163	9.50063542289
4170	0.309328942177	0.343090264247	439	23	163	9.49979169014
4180	0.30928526658	0.343963137073	441	23	164	9.4976698968
4190	0.308615109978	0.343421698824	442	23	164	9.49465260665
4200	0.309762111202	0.343421698824	442	23	164	9.49465260665
4210	0.309525895312	0.342344536178	443	23	164	9.50655243437
4220	0.309124098011	0.343227445356	445	23	165	9.50406011455
4230	0.30902878495	0.342639988477	446	23	165	9.50250529209
4240	0.309457407668	0.342639988477	446	23	165	9.50250529209
4250	0.310349404955	0.343266827846	448	23	166	9.50700528649
4260	0.310487129142	0.343266827846	448	23	166	9.50700528649
4270	0.309735112422	0.344020049258	450	23	167	9.50785321383
4280	0.311321633978	0.343316347926	451	23	167	9.50967071971
4290	0.310028504109	0.342798698608	452	23	167	9.50640404548
4300	0.310556882324	0.344153367336	453	23	168	9.50809280345
4310	0.311822276099	0.344153367336	453	23	168	9.50809280345
4320	0.31162696738	0.342663457451	455	23	168	9.51430695826
4330	0.311521816741	0.344189925278	456	23	169	9.51100764205
4340	0.311020219636	0.343682228368	457	23	169	9.50761552518
4350	0.311584723171	0.343090326159	458	23	169	9.50661487654
4360	0.3107183358	0.342213858992	459	23	169	9.51358370286
4370	0.311945356114	0.341660078009	460	23	169	9.51166477029
4380	0.312678876505	0.342778953714	461	24	170	9.51939913168
4390	0.314217649444	0.342778953714	461	24	170	9.51939913168
4400	0.311954604053	0.343432484046	463	24	171	9.52260694069
4410	0.31182771512	0.342972493357	464	24	171	9.51817276182
4420	0.312027262132	0.342435880767	465	24	171	9.51592234436
4430	0.310900458333	0.34345700488	466	24	172	9.52596583091
4440	0.311161035038	0.342854565347	467	24	172	9.52559231273
4450	0.311571712796	0.342854565347	467	24	172	9.52559231273
4460	0.311162389509	0.343479501575	469	24	173	9.52938020225
4470	0.311648367328	0.343479501575	469	24	173	9.52938020225
4480	0.310303835148	0.342526861647	470	24	173	9.53885388397
4490	0.310793193678	0.342037602576	471	24	173	9.53550999209
4500	0.309925387012	0.343063274876	473	24	174	9.52807896333
4510	0.310753011362	0.342550877984	474	24	174	9.52546495197
4520	0.310946258248	0.342095192879	475	24	174	9.52132866779
4530	0.310220754448	0.343054806719	476	24	175	9.53245232367
4540	0.310605787663	0.342481393443	477	24	175	9.531638135
4550	0.31098326939	0.343855968893	478	24	176	9.53104469197
4560	0.311680891265	0.343038796148	479	24	176	9.53703338937
4570	0.311164249589	0.344515227062	480	24	177	9.53344191821
4580	0.310365224959	0.344000755975	481	24	177	9.53106180259
4590	0.310317929207	0.343043180535	482	24	177	9.5410451748
4600	0.310252450353	0.342570671681	483	24	177	9.53762275809
4610	0.309670467839	0.342154763307	484	24	177	9.53267570276
4620	0.310381730007	0.341646558011	485	24	177	9.53035228068
4630	0.310791121589	0.343071006485	486	24	178	9.52793569606
4640	0.310740312008	0.342474617855	487	24	178	9.52809397632
4650	0.31027135624	0.341544334151	488	24	178	9.5376287045
4660	0.310321871332	0.342869270422	489	24	179	9.53776282619
4670	0.309386446585	0.341942474997	490	24	179	9.54724490796
4680	0.310092680473	0.341360726567	491	24	179	9.54717892214
4690	0.309974244089	0.341360726567	491	24	179	9.54717892214
4700	0.30989370339	0.342332902035	492	24	180	9.55693019528
4710	0.309373987127	0.341470869727	494	24	180	9.54851191256
4720	0.309527525375	0.340988241116	495	24	180	9.54582073848
4730	0.309174575866	0.342469184624	496	24	181	9.54117826477
4740	0.310119472836	0.341988052649	497	24	181	9.53847122135
4750	0.309775917955	0.341049953622	498	24	181	9.54859208268
4760	0.311471257665	0.342471144649	499	24	182	9.54542378663
4770	0.31080103124	0.341742489046	500	24	182	9.54972116205
