time	time_seconds	lambda1_nats_per_second	full_sscs_lz76_nats_per_second	full_sscs_lz76_bits_per_second	n_symbols_total	n_symbols_discarded	n_symbols_used	alphabet_size	lz76_phrase_count	mean_event_interval_seconds
1290000	1290	0.248983367905	0.218239448609	0.314852970235	136	106	30	10	18	9.35082287828
1300000	1300	0.249721998297	0.225773743845	0.325722660607	137	106	31	10	19	9.32217271667
1310000	1310	0.250009498572	0.220846920639	0.318614757202	138	106	32	11	19	9.31767889871
1320000	1320	0.248311093207	0.227672891415	0.328462551389	139	106	33	11	20	9.30763200938
1330000	1330	0.249705173646	0.224769933634	0.324274468595	140	106	34	11	20	9.22867968515
1340000	1340	0.254741918012	0.220044926738	0.317457724578	141	106	35	11	20	9.23278484
1350000	1350	0.247246084251	0.22322128306	0.322040238092	142	106	36	12	21	9.36463592886
1360000	1360	0.250892175093	0.231020215634	0.33329171944	143	106	37	12	22	9.29369867694
1370000	1370	0.248031419811	0.23364663153	0.337080836628	145	106	39	12	23	9.24713522421
1380000	1380	0.248108218339	0.228963074961	0.330323892793	146	106	40	13	23	9.26396401026
1390000	1390	0.246332856196	0.235393887335	0.339601593914	147	106	41	13	24	9.23472698275
1400000	1400	0.248939361935	0.235393887335	0.339601593914	147	106	41	13	24	9.23472698275
1410000	1410	0.248597164064	0.23467317136	0.338561820551	149	106	43	14	25	9.31825415167
1420000	1420	0.248799037531	0.231401713755	0.333842104887	150	106	44	14	25	9.29166734186
1430000	1430	0.248381718679	0.238513836581	0.344102729219	151	106	45	14	26	9.22128890136
1440000	1440	0.247984484867	0.241270834171	0.34808023597	153	106	47	14	27	9.1672370087
1450000	1450	0.248093579744	0.241270834171	0.34808023597	153	106	47	14	27	9.1672370087
1460000	1460	0.245194993791	0.234831386357	0.338790076542	154	106	48	14	27	9.27282593021
1470000	1470	0.245146660177	0.237724417253	0.342963837868	156	106	50	14	28	9.21543065857
1480000	1480	0.245781590634	0.235681338825	0.340016298753	157	106	51	14	28	9.1591866278
1490000	1490	0.245584194264	0.232885399829	0.335982611429	158	106	52	14	28	9.13579285392
1500000	1500	0.249393535316	0.238027254282	0.343400739349	159	106	53	14	29	9.12678627404
1510000	1510	0.246268312927	0.232992143931	0.336136610616	160	106	54	14	29	9.19443950774
1520000	1520	0.246171285844	0.238295247144	0.343787371323	161	106	55	14	30	9.17273058204
1530000	1530	0.245024089349	0.234854074669	0.338822808857	162	106	56	14	30	9.18203530764
1540000	1540	0.245759253832	0.232285096305	0.335116556511	163	106	57	14	30	9.16081898393
1550000	1550	0.246310310557	0.236890665261	0.341760988005	164	106	58	14	31	9.16134360596
1560000	1560	0.247759508994	0.233375128696	0.336689140837	165	106	59	14	31	9.18021958948
1570000	1570	0.246437602026	0.235260997169	0.339409873931	166	106	60	14	32	9.28182086898
1580000	1580	0.244688638909	0.237658587976	0.342868866298	167	106	61	14	33	9.357605749
1590000	1590	0.24740318736	0.237658587976	0.342868866298	167	106	61	14	33	9.357605749
1600000	1600	0.245504627884	0.240615014293	0.347134087885	168	106	62	15	34	9.40617629393
1610000	1610	0.244827643251	0.242365923953	0.349660116567	170	106	64	15	35	9.38411287
1620000	1620	0.244906597837	0.240107848041	0.346402401647	171	106	65	15	35	9.36140575922
1630000	1630	0.245694074256	0.244665332377	0.352977461698	172	106	66	15	36	9.34037609954
1640000	1640	0.246180422791	0.241934100881	0.349037127563	173	106	67	15	36	9.33823639212
1650000	1650	0.24625719349	0.238963092251	0.344750868146	174	106	68	15	36	9.34812568478
1660000	1660	0.249288984191	0.243861298936	0.35181748664	175	106	69	15	37	9.31046836118
1670000	1670	0.244836624199	0.239302645021	0.345240739243	176	106	70	15	37	9.38407178565
1680000	1680	0.24526797093	0.237117196176	0.342087803032	177	106	71	15	37	9.36834861186
1690000	1690	0.248492331819	0.241604129353	0.348561079276	178	106	72	15	38	9.34226309225
1700000	1700	0.246642118957	0.237606483658	0.342793695656	179	106	73	16	38	9.39953241889
