time	time_seconds	lambda1_bits_per_second	lz76_measurement_window_bits_per_second	n_symbols	lz76_phrase_count	alphabet_size	lz76_elapsed_seconds	lz76_mean_event_interval_seconds
6470000	6470	0.312714825885	0.343567697294	682	236	25	6466.31277838	9.48139703575
6480000	6480	0.312251097203	0.343567697294	682	236	25	6466.31277838	9.48139703575
6490000	6490	0.312105338151	0.343990407984	684	237	25	6488.64327092	9.48632057152
6500000	6500	0.312422573824	0.343561954755	685	237	25	6498.18913664	9.48640749874
6510000	6510	0.313067365628	0.344634412975	686	238	25	6506.75420076	9.48506443259
6520000	6520	0.313654185241	0.344313043584	687	238	25	6514.28000924	9.48221253164
6530000	6530	0.313136019796	0.345142846956	689	239	25	6528.82741494	9.47580176334
6540000	6540	0.313194263687	0.344784706266	690	239	25	6537.05955886	9.47399936067
6550000	6550	0.313126961159	0.344474152335	691	239	25	6544.40253038	9.47091538405
6560000	6560	0.313356177543	0.345310145123	693	240	25	6558.77274994	9.46431854248
6570000	6570	0.313045343676	0.344997119692	694	240	25	6566.17089047	9.46134134073
6580000	6580	0.312931037443	0.34461941616	695	240	25	6574.8141108	9.4601641882
6590000	6590	0.312118879293	0.345398508361	696	241	25	6588.76436177	9.46661546231
6600000	6600	0.312907365012	0.344913588241	697	241	25	6599.4749278	9.46840018336
6610000	6610	0.311795313718	0.345998195721	698	242	25	6607.53197276	9.46637818447
6620000	6620	0.312771569106	0.345501131754	699	242	25	6618.48475161	9.4685046518
6630000	6630	0.313154478084	0.346537076018	700	243	25	6627.41293534	9.46773276477
6640000	6640	0.312659111254	0.346237415114	701	243	25	6634.59425178	9.46447111524
6650000	6650	0.31336692081	0.345869847989	702	243	25	6643.08995968	9.46309111066
6660000	6660	0.313589217261	0.346887624539	703	244	25	6652.30112362	9.46273275053
6670000	6670	0.314032998149	0.346399451254	704	244	25	6663.12058692	9.4646599246
6680000	6680	0.314143384511	0.347129202381	706	245	25	6679.25215034	9.4606970968
6690000	6690	0.314517888498	0.348236518692	707	246	25	6686.63167301	9.45775342717
6700000	6700	0.314575237982	0.3479014187	708	246	25	6694.51413571	9.45552844027
6710000	6710	0.314418623725	0.347588599684	709	246	25	6701.98012582	9.45272232133
6720000	6720	0.315478555346	0.34722394823	710	246	25	6710.45909886	9.45135084346
6730000	6730	0.313841146416	0.347974966093	711	247	25	6724.63696579	9.45799854541
6740000	6740	0.313726327085	0.347561040681	712	247	25	6734.08663083	9.45798684105
6750000	6750	0.313390374666	0.346892856622	713	247	25	6748.49956442	9.46493627548
6760000	6760	0.313505394024	0.346547418796	714	247	25	6756.66762532	9.46311992342
6770000	6770	0.313534273517	0.346547418796	714	247	25	6756.66762532	9.46311992342
6780000	6780	0.313750260062	0.347266556577	715	248	25	6771.41583178	9.47051165284
6790000	6790	0.31422545001	0.346767816371	716	248	25	6782.59688969	9.47290068392
6800000	6800	0.313395530623	0.347501527943	717	249	25	6797.01039546	9.47979134653
6810000	6810	0.313765824642	0.347148249977	718	249	25	6805.36966146	9.47823072627
6820000	6820	0.31317289333	0.346489270933	719	249	25	6819.7555895	9.48505645271
6830000	6830	0.313248481458	0.34753452277	720	250	25	6827.99295785	9.48332355257
6840000	6840	0.313322469796	0.347233166481	721	250	25	6835.36047655	9.48038901047
6850000	6850	0.313297345085	0.348290690907	722	251	25	6843.30553178	9.47826250939
6860000	6860	0.313529347578	0.347618526718	724	251	25	6859.41954869	9.47433639322
6870000	6870	0.313764416165	0.347618526718	724	251	25	6859.41954869	9.47433639322
6880000	6880	0.312743880936	0.346971646861	725	251	25	6873.64848105	9.48089445662
6890000	6890	0.312905009131	0.348022645151	726	252	25	6881.63290332	9.47883320017
6900000	6900	0.313080995955	0.347293374515	728	252	25	6898.96331215	9.47659795625
6910000	6910	0.312994784582	0.347293374515	728	252	25	6898.96331215	9.47659795625
6920000	6920	0.312317104872	0.346641875989	729	252	25	6913.36929289	9.4833597982
6930000	6930	0.31319713611	0.3476464371	730	253	25	6922.18634966	9.48244705433
6940000	6940	0.312595564391	0.347080845161	731	253	25	6934.90613307	9.48687569503
6950000	6950	0.312824451172	0.348152468476	732	254	25	6942.32549751	9.48405122611
6960000	6960	0.312770295378	0.347762147187	733	254	25	6951.55595324	9.48370525681
6970000	6970	0.313598296753	0.347248802781	734	254	25	6963.27125928	9.48674558485
6980000	6980	0.313717384285	0.347928306611	736	255	25	6979.91009255	9.48357349531
6990000	6990	0.314232461186	0.347928306611	736	255	25	6979.91009255	9.48357349531
7000000	7000	0.313806484058	0.348561495456	738	256	25	6997.42841751	9.48161032183
7010000	7010	0.313521573153	0.348236839396	739	256	25	7005.38813209	9.47955092299
7020000	7020	0.313855360387	0.347977562211	740	256	25	7012.0430708	9.47573387946
7030000	7030	0.313712596422	0.348655093588	742	257	25	7028.62461172	9.47253990798
7040000	7040	0.3135800016	0.348311688378	743	257	25	7036.98787816	9.47104694234
7050000	7050	0.312931395914	0.348311688378	743	257	25	7036.98787816	9.47104694234
7060000	7060	0.312384164114	0.347340509385	745	257	25	7059.53312064	9.47588338341
7070000	7070	0.31247219391	0.347105211462	746	257	25	7065.75152668	9.4715167918
7080000	7080	0.312757033628	0.348180755283	747	258	25	7072.76547107	9.4682268689
7090000	7090	0.312878871261	0.347598805675	749	258	25	7087.46984214	9.46257655826
7100000	7100	0.312889312101	0.347308402437	750	258	25	7094.82596257	9.45976795009
7110000	7110	0.313132355226	0.348070593026	752	259	25	7109.58800361	9.4542393665
7120000	7120	0.313396674564	0.348070593026	752	259	25	7109.58800361	9.4542393665
7130000	7130	0.312462331123	0.347448089202	753	259	25	7123.75501574	9.46049802887
7140000	7140	0.312441985178	0.348153439965	755	260	25	7139.62940347	9.45646278605
7150000	7150	0.312333881543	0.347842482052	756	260	25	7147.43931112	9.45428480307
7160000	7160	0.312113193633	0.347504074519	757	260	25	7155.82650602	9.45287517308
7170000	7170	0.311661506984	0.347504074519	757	260	25	7155.82650602	9.45287517308
7180000	7180	0.311653733032	0.346564782925	759	260	25	7178.07666034	9.45728150242
7190000	7190	0.31139554729	0.347632437932	760	261	25	7184.98057497	9.45392180917
7200000	7200	0.311345587544	0.347055758411	762	261	25	7199.77080161	9.44851811235
7210000	7210	0.311338854099	0.346744626689	763	261	25	7207.6552917	9.44646827221
7220000	7220	0.310716253756	0.346460656547	764	261	25	7214.9863971	9.44369947264
7230000	7230	0.311359697709	0.347415562933	765	262	25	7224.14607583	9.4433282037
7240000	7240	0.310958872417	0.346879312201	766	262	25	7236.73757463	9.44743808698
7250000	7250	0.311011752607	0.34651468942	767	262	25	7245.77560994	9.44690431544
7260000	7260	0.310723616523	0.347501126785	768	263	25	7254.20708996	9.44558214839
7270000	7270	0.311660503115	0.347159214971	769	263	25	7262.77383835	9.44443932165
7280000	7280	0.310681806953	0.347875255671	770	264	25	7276.80575876	9.4503970893
7290000	7290	0.311040293029	0.347562562068	771	264	25	7284.77476433	9.44847569952
7300000	7300	0.310946123045	0.346991255036	773	264	25	7299.61247921	9.4432244233
7310000	7310	0.311228673218	0.348031925257	774	265	25	7306.77303096	9.4402752338
7320000	7320	0.311187811428	0.347736694283	775	265	25	7314.39607715	9.43793042213
7330000	7330	0.311358480746	0.347406518803	776	265	25	7322.76674584	9.43655508485
7340000	7340	0.310446016551	0.348101957502	777	266	25	7337.13492461	9.44290209088
7350000	7350	0.310120969476	0.347787191467	778	266	25	7345.19462029	9.4411241906
7360000	7360	0.310961186429	0.347521428801	779	266	25	7352.23022252	9.43803622917
7370000	7370	0.310282992168	0.346928891247	780	266	25	7366.206528	9.44385452308
7380000	7380	0.31036927863	0.347830418075	781	267	25	7376.15398126	9.4444993358
7390000	7390	0.310991924772	0.347585532148	782	267	25	7382.76879657	9.44088081403
7400000	7400	0.310465723777	0.347042953813	783	267	25	7395.72972331	9.44537640269
7410000	7410	0.311078610358	0.348086194048	784	268	25	7402.59821356	9.44208955811
7420000	7420	0.310629140602	0.347495542012	786	268	25	7418.0154936	9.43767874504
7430000	7430	0.310619581912	0.347168210501	787	268	25	7426.42567854	9.43637316206
7440000	7440	0.310069370482	0.347168210501	787	268	25	7426.42567854	9.43637316206
7450000	7450	0.310009852932	0.346229583732	789	268	25	7449.39300543	9.44156274452
7460000	7460	0.309369582593	0.347214906447	790	269	25	7457.38627779	9.43972946556
7470000	7470	0.309831126173	0.346853704524	791	269	25	7466.56755037	9.43940271855
7480000	7480	0.309944468273	0.346452857667	792	269	25	7476.62163403	9.44017883085
7490000	7490	0.310040389622	0.347431356734	793	270	25	7484.69519126	9.43845547448
7500000	7500	0.310700561133	0.347163822121	794	270	25	7491.87714129	9.43561352807
7510000	7510	0.310524866629	0.346617414909	795	270	25	7505.10179712	9.44037961902
7520000	7520	0.309953532491	0.34731546169	796	271	25	7519.17366265	9.44619806866
7530000	7530	0.310186471195	0.346925183892	797	271	25	7529.04733922	9.44673442813
7540000	7540	0.309854488674	0.347898046474	798	272	25	7537.11223511	9.44500280089
7550000	7550	0.310482751052	0.347457407402	799	272	25	7548.08504468	9.44691494954
7560000	7560	0.310525325799	0.348468323549	800	273	25	7555.27134575	9.44408918219
7570000	7570	0.310925177591	0.348160830269	801	273	25	7563.35728524	9.44239361453
7580000	7580	0.310863541635	0.347658925962	802	273	25	7575.68971696	9.44599715332
7590000	7590	0.311296798937	0.348560492055	803	274	25	7585.18608077	9.44605987643
7600000	7600	0.31082647212	0.348243659902	804	274	25	7593.4998045	9.44465149813
7610000	7610	0.311059414449	0.34895963038	806	275	25	7608.40130691	9.43970385473
7620000	7620	0.311162661466	0.348653988008	807	275	25	7616.48203874	9.43801987452
7630000	7630	0.312276965923	0.348398763874	808	275	25	7623.47181783	9.43498987355
7640000	7640	0.311953075926	0.349224599268	809	276	25	7634.51048953	9.43697217494
7650000	7650	0.31183200477	0.350012480938	811	277	25	7647.74326816	9.43001636025
7660000	7660	0.311801635995	0.349706095918	812	277	25	7655.85181475	9.42838893442
7670000	7670	0.312095172904	0.349200833513	814	277	25	7669.74440954	9.42229042941
7680000	7680	0.31201707282	0.350122344397	815	278	25	7678.58001718	9.42157057323
7690000	7690	0.312309247266	0.350122344397	815	278	25	7678.58001718	9.42157057323
7700000	7700	0.312453752581	0.349372445919	817	278	25	7697.87509565	9.42212374009
7710000	7710	0.312416093507	0.350323495716	818	279	25	7705.99758568	9.42053494582
7720000	7720	0.312778963215	0.350084745651	819	279	25	7712.65761665	9.41716436709
7730000	7730	0.312441168468	0.350748393571	821	280	25	7728.46520465	9.41347771577
7740000	7740	0.311924928202	0.350441645219	822	280	25	7736.63324671	9.41196258724
7750000	7750	0.312486527117	0.350144599131	823	280	25	7744.59928969	9.41020569829
7760000	7760	0.312758721384	0.349825213425	824	280	25	7753.07223016	9.40906824049
7770000	7770	0.312686412216	0.350451755128	826	281	25	7769.65556635	9.40636267113
7780000	7780	0.312611748237	0.350159643699	827	281	25	7777.53798272	9.40451993074
7790000	7790	0.312239316306	0.349886200825	828	281	25	7785.01646716	9.40219380092
7800000	7800	0.312434920896	0.349569066258	829	281	25	7793.4789227	9.40106022039
7810000	7810	0.311870783505	0.348995643946	830	281	25	7807.68448586	9.40684877814
7820000	7820	0.311918584598	0.348645505397	831	281	25	7816.9257001	9.4066494586
7830000	7830	0.312356917922	0.348178591507	832	281	25	7828.80862664	9.40962575317
7840000	7840	0.312209216514	0.34916983273	833	282	25	7835.7648365	9.40668047599
7850000	7850	0.312268455246	0.348876022804	834	282	25	7843.76290959	9.40499149831
7860000	7860	0.312467099911	0.348644281554	835	282	25	7850.37494673	9.40164664279
7870000	7870	0.312910092454	0.348156533698	836	282	25	7862.77151307	9.40522908262
7880000	7880	0.313290265167	0.34911579226	837	283	25	7870.37074766	9.40307138311
