delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.38442211	-42.86432161	-43.35797422	0.8810928467	continued:5	1,1,1,-1,-1,1,1,-1	-1,-1,-1,-1,-1,-1,-1,-1	976.1885126,2749.327147,4441.073036,6262.695721,7953.711255,9774.433786,11465.47997,13286.25316	5640.795359,6152.062769,6600.651081,7087.81093,7631.884372,8248.595569,8960.183577,9800.63174	0.9860952387,0.9126363468,0.9792999109,-0.2718992421,-0.3719450233,0.01344153814,0.01897408964,-0.0006357751082	-0.7787620429,-0.791170847,-0.7951140437,-0.7940119469,-0.7923424273,-0.7903986589,-0.7880442632,-0.7847937883	ok
-1.37939698	-42.86432161	-43.62569026	0.8795092546	continued:5	1,1,1,-1,-1,1,1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1104.870232,2879.394609,4578.153068,6410.897366,8108.39147,9939.576644,11637.14608,13468.47309	5760.848755,6254.289253,6672.176066,7121.122486,7617.82948,8174.571618,8807.85101,9541.900052	0.9860542404,0.2053294867,0.2853663041,-0.01343932246,-0.01905063856,0.000836167703,0.001185434861,-5.21064146e-05	-0.7548136141,-0.7647169741,-0.7684556169,-0.7671345274,-0.7652018341,-0.7629885181,-0.760384554,-0.7571127766	ok
-1.37437186	-42.86432161	-43.88113650	0.8781323135	continued:5	1,-1,-1,1,1,-1,-1,1	-1,-1,-1,-1,-1,-1,-1,-1	1233.41494,3009.761037,4715.580724,6559.603241,8263.467229,10105.08825,11809.08137,13650.85843	5897.328385,6372.240999,6760.046134,7172.047691,7623.662511,8124.463541,8686.556421,9327.003919	0.9860285534,-0.9127476545,-0.981008433,0.4701008523,0.6108665089,-0.04223636269,-0.06008143776,0.003278275327	-0.7508511559,-0.7590948624,-0.7631488903,-0.7615807137,-0.7592811316,-0.7566914986,-0.7537040179,-0.7501129124	ok
-1.36934673	-42.86432161	-44.12661303	0.8768830900	continued:5	1,-1,-1,1,1,-1,-1,1	-1,-1,-1,-1,-1,-1,-1,-1	1357.094486,3129.407635,4842.359091,6697.841571,8407.962491,10259.97394,11970.31865,13822.60316	6043.98806,6500.32198,6859.848958,7237.601596,7648.014167,8098.663766,8598.453412,9159.43667	0.9860032296,-0.9070937278,-0.9779277236,0.4507312591,0.5912551725,-0.04783247759,-0.06831145119,0.004454413431	-0.7695426083,-0.7768105487,-0.7820576156,-0.7803475276,-0.7776524581,-0.7746584268,-0.7712765357,-0.767303252	ok
-1.36432161	-42.86432161	-44.36406030	0.8758405175	continued:5	1,-1,-1,1,1,-1,-1,1	1,-1,-1,-1,-1,-1,-1,-1	1479.462351,3247.338896,4967.480675,6834.590583,8550.845474,10413.19639,12129.81056,13992.603	635.7846339,5676.419929,6054.372674,6317.455972,6582.67021,6861.465529,7157.654829,7474.058819	0.9859790955,-0.8731148799,-0.9582714534,0.3040422237,0.4186418942,-0.03482208892,-0.04996444498,0.003787862184	0.9911797863,-0.9095456076,-0.9091924397,-0.9336405588,-0.9357410605,-0.933663276,-0.9306587114,-0.9273748563	ok
-1.35929648	-42.86432161	-44.59359198	0.8750045961	continued:5	1,1,1,-1,-1,1,1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1600.12355,3362.872042,5090.262197,6969.166298,8691.424969,10564.05515,12286.85861,14160.15564	6303.401573,6727.294513,7042.052812,7366.650833,7714.213478,8090.081677,8499.566473,8949.360834	0.9859549187,0.8662578671,0.948105326,-0.2966123022,-0.4103916247,0.03874960141,0.05582819991,-0.00483424697	-0.8330192477,-0.8387952513,-0.8491567886,-0.8480274936,-0.844964175,-0.8415215096,-0.8378057222,-0.8336523883	ok
-1.35427136	-42.86432161	-44.81478852	0.8745030433	continued:5	1,1,-1,-1,1,1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	83.41491467,1727.451742,3493.360873,5228.050506,7118.906706,8847.031734,10729.87347,12458.78625	6384.684286,6796.77715,7096.713829,7404.042828,7731.466656,8083.799816,8465.492257,8881.99224	0.9719257172,0.9859372314,-0.9200556809,-0.9852389089,0.8674739037,0.9525937918,-0.332095234,-0.4565412677	-0.8577095172,-0.8625505412,-0.8759172718,-0.8754011574,-0.8724222404,-0.8689728615,-0.865293063,-0.8612732004	ok
-1.34924623	-42.86432161	-45.02550332	0.8737948394	full	1,1,1,1,-1,-1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	110.5411075,1743.56125,3499.50322,5241.571945,7144.572477,8878.414646,10771.38644,12506.33113	6431.215409,6834.513469,7123.893367,7419.0379,7732.336451,8068.284434,8430.804559,8824.58806	0.9538813556,0.9859094555,0.9248937743,0.9853922942,-0.885619033,-0.9637223963,0.4315913905,0.5762964173	-0.8752662123,-0.8791396866,-0.8952023515,-0.8953037373,-0.8924900289,-0.8891064115,-0.8855084541,-0.881640845	ok
-1.34422111	-42.86432161	-41.25688309	0.8843422977	continued:5	1,1,1,-1,-1,1,1,-1	-1,-1,-1,-1,-1,-1,-1,-1	299.4279404,2016.343807,3788.107016,5729.828637,7465.608808,9364.16289,11105.57744,13011.05384	6451.775476,6848.626925,7130.513361,7417.07354,7720.464097,8044.980077,8394.211476,8772.372504	0.9919597604,0.9222039008,0.985372254,-0.8986113823,-0.9716150439,0.5329870958,0.6855392491,-0.1132525814	-0.8874828888,-0.8904550902,-0.9087673779,-0.9094100067,-0.9067780512,-0.9034862511,-0.8999797356,-0.8962486025	ok
-1.33919598	-42.86432161	-41.96026190	0.8818833174	continued:5	1,1,1,-1,-1,1,1,-1	-1,-1,-1,-1,-1,-1,-1,-1	430.047362,2165.501027,3927.239094,5860.705049,7604.699358,9516.663939,11263.57545,13179.11666	6455.279942,6847.364775,7123.82329,7404.2022,7700.4824,8016.826812,8356.605837,8723.718477	0.9888248192,0.9195768323,0.9835109974,-0.8370329009,-0.9335366193,0.3435957352,0.4755112167,-0.07054592933	-0.8959859215,-0.8981610956,-0.9182930434,-0.9193817674,-0.9169171719,-0.9137180604,-0.9102965118,-0.9066783641	ok
