delta_x	delta_ca	fast_success	gold_success	fast_mode	gold_mode	fast_s_pre	fast_s_img	fast_return_solves	fast_elapsed	gold_s_pre	gold_s_img	gold_return_solves	gold_elapsed	gamma_scs	fast_T_scs	gold_T_scs	match
-1.32	-40.60777777777778	true	true	fallback_local	fallback_global	0.1874541353453702	0.010989649722583355	13	0.071708708	0.19028734376599432	0.0025099171334826273	124	30.548384292	-15,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.38	-40.60777777777778	true	true	fallback_local	fallback_global	0.2133529733298729	0.013001542929981416	13	0.15854125	0.2143124981425284	0.010328142618394447	124	7.180090959	15,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.44	-40.60777777777778	true	true	fallback_local	fallback_global	0.23959015603321893	0.02183600277574014	13	0.085624166	0.24581845596091242	0.005721849611672307	124	45.660444334	15,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-1.5	-40.60777777777778	true	true	fallback_local	fallback_global	0.2756662822503197	0.013653652034831312	13	0.05744275	0.27772701233889463	0.008773327365254182	124	6.130157	15,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	true
-0.96	-39.772222222222226	true	true	fallback_global	fallback_global	0.07189021980726606	0.02832804383845645	124	61.964093334	0.07189021980726606	0.02832804383845645	124	61.964093334	13,13,-2,-2	0,-3,1,1,13	0,-3,1,1,13	true
-1.02	-39.772222222222226	true	true	fallback_global	fallback_global	0.08602533393552328	0.01861629849158374	124	44.750508208	0.08602533393552328	0.01861629849158374	124	44.750508208	-14,-13,-1,-13	0,0,13,0	0,0,13,0	true
-1.08	-39.772222222222226	true	true	fallback_local	fallback_global	0.10088626074244249	0.010509444496752991	13	0.1881685	0.10205994618235997	0.009232303879136119	124	9.1184135	-14,-1,-1,0,0,0	0,0,0,0,2,-1	0,0,0,1,2	false
-1.14	-39.772222222222226	true	true	fallback_local	fallback_global	0.11926003125537483	0.0009199073259216459	13	0.134859833	0.11921984334891485	0.0010823302073793895	124	8.903948334	-14,0,0,-1,-1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
-1.2	-39.772222222222226	true	true	fallback_local	fallback_global	0.1377702646520182	0.0015879153893151286	13	0.119488	0.1394375504475299	0.011273329689493863	124	60.505759167	14,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0	false
-1.26	-39.772222222222226	true	true	fallback_local	fallback_global	0.15786145313938854	0.004969001607121876	13	0.309664208	0.1592276377648533	2.3217000946842358e-5	124	54.735708375	14,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	false
