[column] mismatches=25
-1.2	-42.278888888888886	fallback_local	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.26	-42.278888888888886	fallback_local	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.08	-41.443333333333335	fallback_local	0,0,0,0,1,0	0,0,0,0,0,0,0,-1,-1
-1.14	-41.443333333333335	fallback_local	0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.2	-41.443333333333335	fallback_local	0,0,0,0,0,0,0,0,0	0,0,0,0,0,0
-1.26	-41.443333333333335	fallback_local	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.32	-41.443333333333335	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.38	-41.443333333333335	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.08	-40.60777777777778	fallback_local	0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.14	-40.60777777777778	fallback_local	0,0,0,0,0,0	0,0,0,0,0,0,0,0,0
-1.2	-40.60777777777778	fallback_local	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0
-1.26	-40.60777777777778	fallback_local	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.32	-40.60777777777778	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.38	-40.60777777777778	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.08	-39.772222222222226	fallback_local	0,0,0,0,2,-1	0,0,0,1,2
-1.14	-39.772222222222226	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.2	-39.772222222222226	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0
-1.26	-39.772222222222226	fallback_local	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.32	-39.772222222222226	fallback_local	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.08	-38.93666666666667	fallback_local	0,0,0,2,-4,2	0,0,0,2,-1,0,1
-1.2	-38.93666666666667	fallback_local	0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.08	-38.10111111111111	fallback_local	0,-1,0,7,-3	0,-1,0,-11,0
-1.14	-38.10111111111111	fallback_local	0,0,-1,0,1,-3	0,0,-1,0,1
-1.2	-38.10111111111111	fallback_local	0,0,0,0,0,-1,-4	0,0,0,0,0,0,0
-1.26	-38.10111111111111	fallback_local	0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
