time	time_seconds	lambda1_nat_per_timeunit	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	last_symbol_time	last_symbol_time_seconds	lz76_phrase_count
6590000	6590	0.00023034800169	0.332321919716	0.360791960886	687	6582435.75868	6582.43575868	252
6600000	6600	0.000229343078321	0.330872121756	0.360087619288	688	6596779.75845	6596.77975845	252
6610000	6610	0.0002293231169	0.330843323512	0.361162997251	689	6604705.19363	6604.70519363	253
6620000	6620	0.000229275035499	0.330773956714	0.360872017194	690	6611497.65538	6611.49765538	253
6630000	6630	0.000229230265766	0.330709367642	0.360096579836	692	6628668.73847	6628.66873847	253
6640000	6640	0.000229461498295	0.331042965665	0.360096579836	692	6628668.73847	6628.66873847	253
6650000	6650	0.000228961866888	0.330322149912	0.360548721775	694	6649456.74679	6649.45674679	254
6660000	6660	0.000229107477375	0.33053222144	0.360285544084	695	6655778.47335	6655.77847335	254
6670000	6670	0.000229090801027	0.330508162555	0.361351065332	696	6663742.88734	6663.74288734	255
6680000	6680	0.000229360289801	0.330896952672	0.360941143928	697	6672774.2908	6672.7742908	255
6690000	6690	0.000228915466615	0.330255208468	0.360334144995	698	6685478.62073	6685.47862073	255
6700000	6700	0.00022870494053	0.32995148353	0.359961921169	699	6693854.99651	6693.85499651	255
6710000	6710	0.000228253951144	0.329300843379	0.360678740255	700	6708213.63888	6708.21363888	256
6720000	6720	0.000228542916115	0.329717731709	0.360327815481	701	6716210.01303	6716.21001303	256
6730000	6730	0.000229000380282	0.330377712994	0.360051751986	702	6722821.80283	6722.82180283	256
6740000	6740	0.000228884837256	0.330211019644	0.359470985316	703	6735145.82245	6735.14582245	256
6750000	6750	0.000228903385887	0.330237779662	0.360464094041	704	6744288.72717	6744.28872717	257
6760000	6760	0.000229188704289	0.330649407106	0.360049741005	705	6753511.92079	6753.51192079	257
6770000	6770	0.000229066734239	0.330473441519	0.359514284774	706	6765032.34206	6765.03234206	257
6780000	6780	0.000229210053373	0.330680207324	0.360557352391	707	6773169.69477	6773.16969477	258
6790000	6790	0.000229250098315	0.330737979962	0.359836445327	708	6788201.31657	6788.20131657	258
6800000	6800	0.000229517019125	0.331123065292	0.359836445327	708	6788201.31657	6788.20131657	258
6810000	6810	0.000229746240685	0.331453762099	0.35922325664	709	6801251.15423	6801.25115423	258
6820000	6820	0.000229203777565	0.330671153247	0.359934586459	710	6815582.5331	6815.5825331	259
6830000	6830	0.000229133287303	0.330569457295	0.35959557064	711	6823470.55829	6823.47055829	259
6840000	6840	0.000229029336274	0.33041948766	0.358916197355	713	6839310.70567	6839.31070567	259
6850000	6850	0.000229532212137	0.331144984175	0.358916197355	713	6839310.70567	6839.31070567	259
6860000	6860	0.000229428677234	0.330995614883	0.359477568948	715	6857918.44939	6857.91844939	260
6870000	6870	0.000229401614201	0.33095657118	0.359135022295	716	6865919.35905	6865.91935905	260
6880000	6880	0.000229664291608	0.331335534572	0.358721479229	717	6875293.96222	6875.29396222	260
6890000	6890	0.000229278424864	0.330778846534	0.358080124947	718	6889068.21946	6889.06821946	260
6900000	6900	0.000229169412322	0.33062157468	0.359166542845	719	6896105.35006	6896.10535006	261
6910000	6910	0.00022933280708	0.330857303487	0.35881812824	720	6904260.02247	6904.26002247	261
6920000	6920	0.000229119501545	0.33054956865	0.358294934028	722	6917257.06014	6917.25706014	261
6930000	6930	0.000229140156237	0.330579367071	0.359266732023	723	6926433.64796	6926.43364796	262
6940000	6940	0.000229165562572	0.330616020664	0.358838774655	724	6936150.15493	6936.15015493	262
6950000	6950	0.0002291972048	0.330661670751	0.358500513515	725	6944150.00423	6944.15000423	262
6960000	6960	0.000229151688919	0.330596005214	0.359461394623	726	6953475.96843	6953.47596843	263
6970000	6970	0.000229184846213	0.330643841079	0.358744643277	727	6968824.44249	6968.82444249	263
6980000	6980	0.000229385585694	0.330933446932	0.358744643277	727	6968824.44249	6968.82444249	263
6990000	6990	0.000229029869043	0.330420256284	0.359199377118	729	6989379.04984	6989.37904984	264
7000000	7000	0.000228921275818	0.330263589377	0.358801578008	730	6998583.21286	6998.58321286	264
7010000	7010	0.000229168763981	0.330620639321	0.358354313741	731	7008773.13046	7008.77313046	264
7020000	7020	0.000228379869033	0.329482504492	0.359377723503	732	7016741.13955	7016.74113955	265
7030000	7030	0.000228941248881	0.330292404415	0.359034515438	733	7024902.2849	7024.9022849	265
