time	time_seconds	lambda1_nat_per_timeunit	lambda1_bits_per_second	lz76_bits_per_second	n_symbols	first_symbol_time	last_symbol_time	mean_event_interval_seconds	lz76_phrase_count
6090000	6090	0.000231031620088	0.333308172589	0.361196823878	635	2211.95160888	6076031.40187	9.58015686161	236
6100000	6100	0.000231186046545	0.333530962873	0.359975406939	637	2211.95160888	6099640.04188	9.58715108533	236
6110000	6110	0.000231442504854	0.333900954004	0.359975406939	637	2211.95160888	6099640.04188	9.58715108533	236
6120000	6120	0.000230551003071	0.332614788802	0.359217612069	638	2211.95160888	6114002.51161	9.59464766091	236
6130000	6130	0.000230740170512	0.332887699731	0.360354669763	639	2211.95160888	6122031.9115	9.5921942945	237
6140000	6140	0.000230703607276	0.332834950132	0.35984839273	640	2211.95160888	6132140.48973	9.59300240708	237
6150000	6150	0.000230774285724	0.332936917579	0.359397788445	641	2211.95160888	6141324.06235	9.59236267303	237
6160000	6160	0.000230894527887	0.333110390351	0.3588947603	642	2211.95160888	6151426.42427	9.59315830368	237
6170000	6170	0.000230877612077	0.333085985995	0.359542444012	644	2211.95160888	6169244.16601	9.59102988243	238
6180000	6180	0.000230031037352	0.331864636839	0.359163675831	645	2211.95160888	6177243.7286	9.58855865992	238
6190000	6190	0.000230770413167	0.332931330661	0.360216609498	646	2211.95160888	6186558.89903	9.5881348022	239
6200000	6200	0.000230760670795	0.332917275388	0.360216609498	646	2211.95160888	6186558.89903	9.5881348022	239
6210000	6210	0.000231733291195	0.334320470016	0.359446956224	647	2211.95160888	6201297.25318	9.59610727797	239
6220000	6220	0.000230776347885	0.332939892648	0.360181117969	648	2211.95160888	6216043.50838	9.60406732113	240
6230000	6230	0.000230906823376	0.333128128992	0.360181117969	648	2211.95160888	6216043.50838	9.60406732113	240
6240000	6240	0.000230444673441	0.332461387573	0.360663363978	650	2211.95160888	6236587.164	9.60612513466	241
6250000	6250	0.000230443296237	0.332459400687	0.360318168265	651	2211.95160888	6244055.77538	9.60283665196	241
6260000	6260	0.000230807861927	0.332985357801	0.359915685829	652	2211.95160888	6252531.0835	9.60110465728	241
6270000	6270	0.000229962537655	0.331765812666	0.359186547962	653	2211.95160888	6266715.01612	9.60813353453	241
6280000	6280	0.000230126994664	0.332003073977	0.358735465945	654	2211.95160888	6276087.68929	9.60777295204	241
6290000	6290	0.000229551379448	0.33117263676	0.359519212948	655	2211.95160888	6289882.82721	9.61417565077	242
6300000	6300	0.000229694663858	0.331379352466	0.359206985424	656	2211.95160888	6296843.32881	9.61012424	242
6310000	6310	0.000229600717203	0.331243816094	0.358835795608	657	2211.95160888	6304849.09732	9.60767857578	242
6320000	6320	0.000230803964235	0.33297973462	0.358544380781	658	2211.95160888	6311465.0539	9.60312496544	242
6330000	6330	0.000230140836501	0.332023043526	0.359313134982	659	2211.95160888	6325475.8797	9.60982359892	243
6340000	6340	0.000229591059952	0.331229883625	0.358592093705	660	2211.95160888	6339685.16536	9.61680305577	243
6350000	6350	0.000230153780152	0.332041717268	0.359768001139	661	2211.95160888	6346459.63549	9.61249649073	244
6360000	6360	0.000230117948921	0.331990023728	0.359381970216	662	2211.95160888	6354767.36043	9.61052255495	244
6370000	6370	0.000230009737735	0.331833907987	0.360193907848	664	2211.95160888	6369408.75051	9.6036150813	245
6380000	6380	0.000230283315916	0.332228597872	0.359739359614	665	2211.95160888	6378944.87467	9.60351343835	245
6390000	6390	0.0002301116855	0.331980987522	0.359739359614	665	2211.95160888	6378944.87467	9.60351343835	245
6400000	6400	0.000229721103076	0.331417496196	0.360483884252	666	2211.95160888	6393240.02213	9.6105685271	246
6410000	6410	0.000229745735008	0.331453032562	0.359709169556	668	2211.95160888	6409987.38658	9.6068597226	246
6420000	6420	0.000229682433185	0.331361707335	0.360718269277	669	2211.95160888	6419526.72816	9.60675864753	247
6430000	6430	0.000230065960979	0.331915020982	0.360294778863	670	2211.95160888	6428559.06983	9.60590002724	247
6440000	6440	0.000230274264797	0.332215539867	0.360294778863	670	2211.95160888	6428559.06983	9.60590002724	247
6450000	6450	0.000230648455143	0.332755382423	0.361105451577	671	2211.95160888	6441581.13567	9.61099878218	248
6460000	6460	0.000229947269982	0.331743786069	0.360398928818	672	2211.95160888	6455695.3626	9.61771000148	248
6470000	6470	0.000229822157652	0.331563287131	0.360037228046	673	2211.95160888	6463668.47477	9.61526268328	248
6480000	6480	0.000229592622018	0.33123213721	0.360835183471	675	2211.95160888	6478354.50705	9.60852011193	249
6490000	6490	0.000229578122384	0.33121121866	0.360409964138	676	2211.95160888	6487482.78827	9.60780864691	249
6500000	6500	0.000229687963683	0.331369686158	0.359987839363	677	2211.95160888	6496574.5904	9.60704532366	249
6510000	6510	0.000229712017142	0.331404387964	0.361076575272	678	2211.95160888	6504481.97979	9.60453475359	250
6520000	6520	0.000229503907266	0.331104148877	0.36041605523	680	2211.95160888	6519370.01115	9.59817092716	250
6530000	6530	0.000229548615723	0.331168649547	0.360129795137	681	2211.95160888	6526034.04388	9.59385601805	250
6540000	6540	0.000229518084674	0.331124602553	0.359713369109	682	2211.95160888	6535069.61186	9.59303621182	250
6550000	6550	0.000229637670118	0.331297127881	0.360868290515	683	2211.95160888	6541691.85393	9.58868020868	251
6560000	6560	0.000229434095381	0.331003431618	0.360118673227	685	2211.95160888	6558268.29284	9.58487769186	251
6570000	6570	0.000229517681625	0.331124021077	0.361121538231	686	2211.95160888	6567589.26485	9.58449242809	252
6580000	6580	0.000229896727257	0.33167086833	0.361121538231	686	2211.95160888	6567589.26485	9.58449242809	252
6590000	6590	0.00023034800169	0.332321919716	0.360387894833	687	2211.95160888	6582435.75868	9.59216298407	252
6600000	6600	0.000229343078321	0.330872121756	0.359684841247	688	2211.95160888	6596779.75845	9.59907977706	252
6610000	6610	0.0002293231169	0.330843323512	0.360759633289	689	2211.95160888	6604705.19363	9.5966471541	253
6620000	6620	0.000229275035499	0.330773956714	0.360469613473	690	2211.95160888	6611497.65538	9.59257721883	253
6630000	6630	0.000229230265766	0.330709367642	0.359696237784	692	2211.95160888	6628668.73847	9.58966249908	253
6640000	6640	0.000229461498295	0.331042965665	0.359696237784	692	2211.95160888	6628668.73847	9.58966249908	253
6650000	6650	0.000228961866888	0.330322149912	0.360149003219	694	2211.95160888	6649456.74679	9.59198383143	254
6660000	6660	0.000229107477375	0.33053222144	0.359886750769	695	2211.95160888	6655778.47335	9.58727164516	254
6670000	6670	0.000229090801027	0.330508162555	0.360951696466	696	2211.95160888	6663742.88734	9.58493659817	255
6680000	6680	0.000229360289801	0.330896952672	0.360542810361	697	2211.95160888	6672774.2908	9.58414129194	255
6690000	6690	0.000228915466615	0.330255208468	0.359936995404	698	2211.95160888	6685478.62073	9.5886178897	255
6700000	6700	0.00022870494053	0.32995148353	0.359565770934	699	2211.95160888	6693854.99651	9.58688115315	255
6710000	6710	0.000228253951144	0.329300843379	0.360282283599	700	2211.95160888	6708213.63888	9.59370770711	256
6720000	6720	0.000228542916115	0.329717731709	0.359932337765	701	2211.95160888	6716210.01303	9.59142580203	256
6730000	6730	0.000229000380282	0.330377712994	0.359657192631	702	2211.95160888	6722821.80283	9.58717525139	256
6740000	6740	0.000228884837256	0.330211019644	0.359077574779	703	2211.95160888	6735145.82245	9.59107389009	256
6750000	6750	0.000228903385887	0.330237779662	0.360070164846	704	2211.95160888	6744288.72717	9.5904363806	257
6760000	6760	0.000229188704289	0.330649407106	0.359656829161	705	2211.95160888	6753511.92079	9.58991472895	257
6770000	6770	0.000229066734239	0.330473441519	0.359122479434	706	2211.95160888	6765032.34206	9.5926530361	257
6780000	6780	0.000229210053373	0.330680207324	0.36016499136	707	2211.95160888	6773169.69477	9.59059170419	258
6790000	6790	0.000229250098315	0.330737979962	0.359445327879	708	2211.95160888	6788201.31657	9.59828764492	258
6800000	6800	0.000229517019125	0.331123065292	0.359445327879	708	2211.95160888	6788201.31657	9.59828764492	258
6810000	6810	0.000229746240685	0.331453762099	0.358833297118	709	2211.95160888	6801251.15423	9.60316271557	258
6820000	6820	0.000229203777565	0.330671153247	0.359544324037	710	2211.95160888	6815582.5331	9.60983156769	259
6830000	6830	0.000229133287303	0.330569457295	0.359206253559	711	2211.95160888	6823470.55829	9.60740648828	259
6840000	6840	0.000229029336274	0.33041948766	0.358528762994	713	2211.95160888	6839310.70567	9.60266678941	259
6850000	6850	0.000229532212137	0.331144984175	0.358528762994	713	2211.95160888	6839310.70567	9.60266678941	259
6860000	6860	0.000229428677234	0.330995614883	0.359090624134	715	2211.95160888	6857918.44939	9.60182982883	260
6870000	6870	0.000229401614201	0.33095657118	0.358749013063	716	2211.95160888	6865919.35905	9.59959077964	260
6880000	6880	0.000229664291608	0.331335534572	0.358336456006	717	2211.95160888	6875293.96222	9.59927655113	260
6890000	6890	0.000229278424864	0.330778846534	0.357696255722	718	2211.95160888	6889068.21946	9.60509939728	260
6900000	6900	0.000229169412322	0.33062157468	0.358782087322	719	2211.95160888	6896105.35006	9.60152283907	261
6910000	6910	0.00022933280708	0.330857303487	0.358434603178	720	2211.95160888	6904260.02247	9.59951052971	261
6920000	6920	0.000229119501545	0.33054956865	0.35791313159	722	2211.95160888	6917257.06014	9.590908611	261
6930000	6930	0.000229140156237	0.330579367071	0.358884430399	723	2211.95160888	6926433.64796	9.59033475949	262
6940000	6940	0.000229165562572	0.330616020664	0.358457453759	724	2211.95160888	6936150.15493	9.59050927154	262
6950000	6950	0.0002291972048	0.330661670751	0.35812010367	725	2211.95160888	6944150.00423	9.58831222738	262
6960000	6960	0.000229151688919	0.330596005214	0.35908049487	726	2211.95160888	6953475.96843	9.58795036803	263
6970000	6970	0.000229184846213	0.330643841079	0.358364931778	727	2211.95160888	6968824.44249	9.59588497367	263
6980000	6980	0.000229385585694	0.330933446932	0.358364931778	727	2211.95160888	6968824.44249	9.59588497367	263
6990000	6990	0.000229029869043	0.330420256284	0.358820205207	729	2211.95160888	6989379.04984	9.59775700306	264
7000000	7000	0.000228921275818	0.330263589377	0.358423351226	730	2211.95160888	6998583.21286	9.59721709362	264
7010000	7010	0.000229168763981	0.330620639321	0.357977065645	731	2211.95160888	7008773.13046	9.59802901212	264
7020000	7020	0.000228379869033	0.329482504492	0.358999941171	732	2211.95160888	7016741.13955	9.59579916271	265
7030000	7030	0.000228941248881	0.330292404415	0.358657631855	733	2211.95160888	7024902.2849	9.59383925313	265
7040000	7040	0.000228894511513	0.330224976646	0.3581381704	735	2211.95160888	7038019.26512	9.58556854702	265
7050000	7050	0.000228569958352	0.329756745411	0.357811392549	736	2211.95160888	7045908.63357	9.58326079178	265
7060000	7060	0.000228803671895	0.330093922781	0.358869790967	737	2211.95160888	7053099.55097	9.58001032522	266
7070000	7070	0.000229339609409	0.330867117174	0.358510793819	738	2211.95160888	7061622.44738	9.57857597798	266
7080000	7080	0.000228953565392	0.330310173385	0.359199671584	740	2211.95160888	7077496.32833	9.57413312141	267
7090000	7090	0.000229017673954	0.33040266249	0.358855755643	741	2211.95160888	7085737.60817	9.57233196833	267
7100000	7100	0.000228830114797	0.330132071823	0.358555940012	742	2211.95160888	7093120.46766	9.56937721464	267
7110000	7110	0.00022888560178	0.33021212262	0.359248863674	744	2211.95160888	7108868.84306	9.56481412039	268
7120000	7120	0.000228750551293	0.33001728595	0.358897798976	745	2211.95160888	7117278.32089	9.56326124903	268
7130000	7130	0.000228447034801	0.329579404213	0.358897798976	745	2211.95160888	7117278.32089	9.56326124903	268
7140000	7140	0.000228338202278	0.329422392072	0.358251239992	746	2211.95160888	7131577.92421	9.56961875517	268
7150000	7150	0.000228187232815	0.329204589177	0.357563722363	748	2211.95160888	7148203.0306	9.56625311779	268
7160000	7160	0.000228050021336	0.329006634856	0.357181187769	749	2211.95160888	7157313.31489	9.5656435338	268
7170000	7170	0.000228156516189	0.329160274453	0.358159483053	750	2211.95160888	7165851.25799	9.56427143709	269
7180000	7180	0.000228104122919	0.329084686942	0.357833665014	751	2211.95160888	7173829.87461	9.56215723067	269
7190000	7190	0.000227921295593	0.328820922866	0.357496631793	752	2211.95160888	7182046.31766	9.56036533429	269
7200000	7200	0.000227954201934	0.328868396679	0.356829896311	754	2211.95160888	7198372.07921	9.55665355591	269
7210000	7210	0.000227879025859	0.328759940529	0.357870037646	755	2211.95160888	7205583.75446	9.55354350511	270
7220000	7220	0.000228451249142	0.329585484222	0.357602629247	756	2211.95160888	7212422.83117	9.54994818485	270
7230000	7230	0.000227865060248	0.328739792411	0.356941865653	758	2211.95160888	7228674.87181	9.54618615614	270
7240000	7240	0.000227892625539	0.32877956072	0.356607985632	759	2211.95160888	7236891.55378	9.54443219284	270
7250000	7250	0.000227769231681	0.328601541014	0.357643401627	760	2211.95160888	7244113.93844	9.54137284167	271
7260000	7260	0.000227832438963	0.328692729846	0.357313463868	761	2211.95160888	7252250.44124	9.53952432846	271
7270000	7270	0.000228260966345	0.329310964175	0.356605550999	762	2211.95160888	7268093.20196	9.54780716209	271
7280000	7280	0.000228018757673	0.328961530924	0.356605550999	762	2211.95160888	7268093.20196	9.54780716209	271
7290000	7290	0.000228161301111	0.329167177635	0.356073224457	763	2211.95160888	7280406.287	9.55143613568	271
7300000	7300	0.000228255271042	0.329302747589	0.356624888261	765	2211.95160888	7298864.6578	9.55059254737	272
7310000	7310	0.000228423684739	0.329545717194	0.357543596185	766	2211.95160888	7308322.5263	9.55047133947	273
7320000	7320	0.000228428792021	0.329553085445	0.357263127229	767	2211.95160888	7315507.02358	9.54738260048	273
7330000	7330	0.000228548763002	0.329726166985	0.356989612715	768	2211.95160888	7322558.30057	9.5441282255	273
7340000	7340	0.000228400577345	0.329512380271	0.357733746227	770	2211.95160888	7336984.66947	9.53806595301	274
7350000	7350	0.000228333852181	0.329416116209	0.357417804228	771	2211.95160888	7344914.22519	9.53597697868	274
7360000	7360	0.000228182839332	0.329198250721	0.357072016852	772	2211.95160888	7353470.31857	9.53470605313	274
7370000	7370	0.000227851286901	0.328719921672	0.357761279773	773	2211.95160888	7367531.14326	9.5405689011	275
7380000	7380	0.000227801428952	0.328647991856	0.357344952385	774	2211.95160888	7377558.00422	9.5411979982	275
7390000	7390	0.000228311053916	0.329383225264	0.3570064352	775	2211.95160888	7385996.71588	9.53977359725	275
7400000	7400	0.000228085899192	0.329058395661	0.357924277282	776	2211.95160888	7395288.39378	9.53945347377	276
7410000	7410	0.000227841802425	0.328706238465	0.357380015669	777	2211.95160888	7407992.78417	9.54353200072	276
7420000	7420	0.000228331449764	0.329412650254	0.35704858371	778	2211.95160888	7416312.0209	9.54195633113	276
7430000	7430	0.000228037746199	0.328988925576	0.35704858371	778	2211.95160888	7416312.0209	9.54195633113	276
7440000	7440	0.000227984826612	0.328912578751	0.357394219251	780	2211.95160888	7438870.18438	9.54641621665	277
7450000	7450	0.000228163549979	0.329170422066	0.357394219251	780	2211.95160888	7438870.18438	9.54641621665	277
7460000	7460	0.000227835372663	0.328696962279	0.356797323102	781	2211.95160888	7452756.60913	9.55198033016	277
7470000	7470	0.000227540784909	0.328271961989	0.357459258303	783	2211.95160888	7468697.66219	9.54793569128	278
7480000	7480	0.000228371962544	0.32947109784	0.357459258303	783	2211.95160888	7468697.66219	9.54793569128	278
7490000	7490	0.000227564240077	0.328305800643	0.356849329513	784	2211.95160888	7482904.27261	9.55388546743	278
7500000	7500	0.000227882021248	0.328764261962	0.356477979963	785	2211.95160888	7492141.54842	9.55348162859	278
7510000	7510	0.000227923097685	0.328823522734	0.355958914741	786	2211.95160888	7504508.24601	9.55706534319	278
7520000	7520	0.000227857054907	0.328728243146	0.356685731667	787	2211.95160888	7517597.68615	9.5615594587	279
7530000	7530	0.000227967239665	0.328887206149	0.356685731667	787	2211.95160888	7517597.68615	9.5615594587	279
7540000	7540	0.000227761128601	0.32858985074	0.356073079283	788	2211.95160888	7531974.29863	9.56767769634	279
7550000	7550	0.0002287865376	0.330069203218	0.35703648922	789	2211.95160888	7540017.13204	9.56574261476	280
7560000	7560	0.00022767788552	0.32846975636	0.356343332034	791	2211.95160888	7557570.13859	9.56374454048	280
7570000	7570	0.000228008858934	0.328947250063	0.357295750667	792	2211.95160888	7565785.62671	9.56204004438	281
7580000	7580	0.000227876200654	0.32875586462	0.357023609115	793	2211.95160888	7572994.02481	9.55906827424	281
7590000	7590	0.000228547788392	0.32972476092	0.356709297455	794	2211.95160888	7581107.45963	9.55724528124	281
7600000	7600	0.000228180767946	0.329195262342	0.357405976827	795	2211.95160888	7594695.74036	9.56232215208	282
7610000	7610	0.000228512127444	0.329673313047	0.357159319496	796	2211.95160888	7601381.32719	9.55870361708	282
7620000	7620	0.000227953020783	0.32886669264	0.356577155926	797	2211.95160888	7615230.74769	9.56409396493	282
7630000	7630	0.000227934275782	0.32883964932	0.357589629971	798	2211.95160888	7622037.31838	9.56063408629	283
7640000	7640	0.00022792558488	0.328827110998	0.356933618879	800	2211.95160888	7638925.45633	9.55783917988	283
7650000	7650	0.000228040356346	0.328992691222	0.356538120857	801	2211.95160888	7648837.33352	9.55828172739	283
7660000	7660	0.000228075262686	0.329043050426	0.357555521296	802	2211.95160888	7655462.2111	9.55461954993	284
7670000	7670	0.000228204574875	0.32922960848	0.357147372515	803	2211.95160888	7665648.04742	9.55540660326	284
7680000	7680	0.000228104988327	0.329085935461	0.356884949788	804	2211.95160888	7672722.02484	9.55231640502	284
7690000	7690	0.000228149615142	0.329150318346	0.357486473353	806	2211.95160888	7689656.40851	9.54962044336	285
7700000	7700	0.000228093406028	0.329069225736	0.357205945197	807	2211.95160888	7697130.9792	9.54704593994	285
7710000	7710	0.00022815716156	0.329161205526	0.356879865016	808	2211.95160888	7705598.63983	9.54570841167	285
7720000	7720	0.000227694577876	0.328493838339	0.356289733353	809	2211.95160888	7719795.37641	9.55146463465	285
7730000	7730	0.000227726934049	0.328540518429	0.357176871121	810	2211.95160888	7729075.91305	9.5511297422	286
7740000	7740	0.000228466239446	0.329607110659	0.357176871121	810	2211.95160888	7729075.91305	9.5511297422	286
7750000	7750	0.000228076366853	0.329044643403	0.356533971567	811	2211.95160888	7744446.84098	9.55831467824	286
7760000	7760	0.000227634145648	0.328406653063	0.355972296368	812	2211.95160888	7758101.40506	9.56336554063	286
7770000	7770	0.000227948691531	0.328860446848	0.355972296368	812	2211.95160888	7758101.40506	9.56336554063	286
