delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-39.44444444	-44.74393657	0.8489471241	continued:5	1,1,1,1,-1,-1,1,1	-1,1,1,1,1,1,1,1	762.8653225,2381.491131,3175.704274,6099.855609,8858.366219,11910.3383,14722.98594,17388.68784	6076.541183,6469.520616,6739.583141,7013.578129,7303.447128,7613.605461,7947.759686,8310.298907	0.984691387,0.9854837675,0.9583982314,0.9871284835,-0.9309798257,-0.9872249828,0.9313421644,0.9869297318	-2.898101713e-14,1.627829478e-13,2.719025498e-13,3.951103488e-13,5.367906532e-13,7.12275268e-13,9.182329758e-13,1.175986527e-12	ok
-1.38888889	-39.44444444	-45.37981332	0.8461537753	continued:5	1,1,1,-1,-1,-1,-1,-1	-1,1,1,1,1,1,1,1	1015.698657,1352.889432,3222.489702,5119.726559,12922.49211,20695.58632,28456.92611,36213.9066	5788.743073,6173.373905,6431.297683,6691.779168,6966.279257,7259.021697,7573.376591,7913.220029	0.9845157353,0.4756710892,0.985796411,-0.930490562,-0.9292882528,-0.928208024,-0.9274248403,-0.9269074214	-3.398467966e-14,1.462035191e-13,2.491001859e-13,3.656177731e-13,4.884833889e-13,6.288071247e-13,8.035168668e-13,1.013078468e-12	ok
-1.27777778	-39.44444444	-45.88781206	0.8433604264	continued:5	1,1,1,1,-1,-1,1,1	-1,1,1,1,1,1,1,1	1338.412139,1942.115038,9940.233066,12520.74158,15496.11057,18057.53966,21021.99496,23649.24946	5614.544557,5998.505192,6251.857756,6507.425393,6776.493995,7063.312038,7371.259345,7704.207934	0.9845256443,0.9408839154,0.9350417427,0.9861477338,-0.9350771682,-0.9861304602,0.9349865786,0.9861916203	-2.812046024e-14,1.481388717e-13,2.452413169e-13,3.537490983e-13,4.835394636e-13,6.212168284e-13,7.980709505e-13,1.001694101e-12	ok
-1.16666667	-39.44444444	-46.27776637	0.8405670775	full	1,-1,-1,-1,-1,-1,1,1	1,1,1,1,1,1,1,1	1703.345969,3359.367715,11225.39702,19115.72192,27076.2523,29746.16908,33000.55508,34846.25766	5503.577764,5888.301935,6138.516752,6390.795995,6656.287576,6939.300676,7243.283423,7572.189295	0.9846375044,-0.8850188073,-0.9244418524,-0.9333012604,-0.9363946311,-0.9858327835,0.9383567174,0.9848644838	5.119868085e-15,1.565897185e-13,2.506429712e-13,3.610508101e-13,4.755081837e-13,6.287844476e-13,8.008675707e-13,1.012061928e-12	ok
-1.05555556	-39.44444444	-43.51259217	0.7584077552	continued:5	1,1,1,1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	306.5082287,1029.37734,2001.595338,3637.673663,5243.775833,13185.62668,21210.52945,23532.52181	5430.500111,5816.50672,6064.153488,6313.80162,6576.451052,6856.485559,7157.445125,7483.397874	0.9849821631,0.9835738153,0.9828865592,0.9840602541,-0.906066179,-0.9337860692,-0.9382524513,-0.9850072957	1.073958386e-15,1.661627474e-13,2.610562417e-13,3.712744678e-13,4.949298517e-13,6.459868711e-13,8.236692976e-13,1.043478783e-12	ok
-0.94444444	-39.44444444	-44.99290675	0.7610733866	continued:5	1,1,1,1,1,1,-1,-1	1,1,1,1,1,1,1,1	489.9836977,1366.781667,2756.011473,3211.237533,11319.18445,15427.84217,20734.78569,21128.99238	5382.565543,5770.094107,6015.4841,6262.875456,6523.088259,6800.589857,7099.026701,7422.600522	0.9814364189,0.9824176386,0.9831990573,0.2248600192,0.9383260424,0.9865750871,-0.8811128054,-0.8718371073	2.437701995e-14,1.736338213e-13,2.730852041e-13,3.809463102e-13,5.003103795e-13,6.411152936e-13,8.158158481e-13,1.0216575e-12	ok
-0.83333333	-39.44444444	-46.02502219	0.7582800378	continued:5	1,1,1,-1,-1,-1,-1,1	1,1,1,1,1,1,1,1	678.3829268,1699.458131,4016.819599,8479.183852,9376.953254,10262.88568,11759.77887,15053.32328	5352.459639,5741.630722,5984.968407,6230.367744,6488.418353,6763.680157,7059.918358,7381.482339	0.9802094407,0.9819701827,0.9842053479,-0.9460510265,-0.976044064,-0.9794452105,-0.9818875713,0.9358688174	5.47449519e-14,2.029421724e-13,3.026158433e-13,4.067818949e-13,5.312541163e-13,6.652045015e-13,8.431049069e-13,1.053758877e-12	ok
-0.72222222	-39.44444444	-46.81709620	0.7610733866	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	965.8423709,2412.422938,6840.87518,17073.65209,17472.90745,17719.48327,17968.59556,18231.28881	5335.577198,5726.44716,5967.882224,6211.507474,6467.60905,6740.851251,7035.130652,7354.956715	0.9802576203,0.9824050704,-0.9395474137,-0.9074312367,-0.8926101799,-0.9330497933,-0.9389906378,-0.9384049576	1.100028946e-14,2.042663655e-13,2.980133221e-13,3.943437609e-13,5.035104798e-13,6.369631812e-13,8.183689492e-13,1.034235976e-12	ok
-0.61111111	-39.44444444	-47.35721626	0.7638667355	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1386.487399,10697.81876,11095.46921,11338.03742,11583.10365,11841.11301,12116.96179,12414.85785	5328.822535,5721.404747,5961.052309,6203.10409,6457.438808,6728.842429,7021.357508,7339.665883	0.9806336485,0.8073821303,0.797203368,0.8293960604,0.8344485733,0.8343522871,0.8335055568,0.8329451973	4.783217411e-14,2.015985995e-13,2.914439782e-13,3.939387461e-13,5.010561869e-13,6.497055431e-13,8.277604604e-13,1.049340765e-12	ok
-0.50000000	-39.44444444	-47.68479425	0.7610733866	full	1,1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	25.65563852,1757.430715,9230.867618,9968.440465,10498.33091,11149.12898,12063.32254,14490.61852	5330.012304,5724.285227,5962.232184,6202.912127,6455.646716,6725.36994,7016.28841,7333.26937	0.999140685,0.9807362631,-0.8944577134,-0.9176780748,-0.9324424373,-0.9404493149,-0.9532033521,-0.9816939778	6.859848655e-14,1.967422384e-13,2.879287713e-13,3.89469256e-13,5.023699027e-13,6.468592866e-13,8.02118037e-13,1.029579406e-12	ok
-1.50000000	-36.66666667	-45.75766025	0.8448683358	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,-1,1,1,1,1,1,1	980.3050338,2995.684155,4832.210594,12495.2109,20158.14783,27821.70662,35485.59415,43149.6246	415.38776,5114.971201,5509.205275,5771.066861,6036.708205,6317.876973,6619.276839,6944.989933	0.9842485961,0.9859195261,-0.9334081283,-0.9302250539,-0.923915305,-0.9076966423,-0.8653085879,-0.7690347328	6.520821854e-19,-2.87523562e-14,1.828822396e-13,3.005179764e-13,4.169283835e-13,5.536316261e-13,7.195961504e-13,9.403273798e-13	ok
-1.38888889	-36.66666667	-46.36392212	0.8467862965	continued:5	1,1,1,1,1,1,1,1	-1,1,1,1,1,1,1,1	1398.138523,9409.640674,17092.78499,24770.33059,32446.72192,40123.03964,47799.48657,55476.05772	5487.17168,5881.723957,6139.847892,6401.490072,6678.246545,6974.872872,7295.497669,7645.111108	0.9845287166,0.9374592532,0.9360999054,0.9352185972,0.9346862877,0.9343665541,0.9341644116,0.9340201202	-2.632697677e-14,1.806774084e-13,2.909347384e-13,4.052109158e-13,5.476477961e-13,7.124767655e-13,9.261626088e-13,1.201241192e-12	ok
-1.27777778	-36.66666667	-46.80025989	0.8454093555	full	1,1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	44.57141979,1836.476838,3528.653669,11245.80893,18961.85085,26677.19543,34392.11267,42106.77558	5402.636027,5797.820038,6052.689362,6310.905554,6583.882688,6876.440877,7192.77699,7537.965297	0.9949905546,0.9848019748,-0.06919456186,-0.08491776632,-0.1026386993,-0.1228922059,-0.1461638062,-0.1729683379	1.022160375e-14,1.883976598e-13,3.031451371e-13,4.135337471e-13,5.441273593e-13,7.224760375e-13,9.453946405e-13,1.217721081e-12	ok
-1.16666667	-36.66666667	-42.15667944	0.7586172545	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	210.0362661,864.7940666,1753.447353,3254.384846,3906.597863,11698.46722,19488.65382,27282.44369	5348.40202,5744.686836,5996.842078,6252.272866,6522.184861,6811.483136,7124.463054,7466.325044	0.9864832316,0.9844125597,0.98297612,0.9840520719,0.5722823014,0.9388575945,0.9391220606,0.9394508913	2.149185009e-14,1.967687883e-13,3.089934061e-13,4.170912323e-13,5.606296512e-13,7.381824876e-13,9.522007329e-13,1.192218792e-12	ok
-1.05555556	-36.66666667	-44.20049496	0.7558239056	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	363.0626272,1114.406699,2222.33993,10217.78725,11548.67205,19671.30795,20812.36809,22449.10477	5314.863774,5712.464432,5962.220395,6215.261694,6482.530038,6769.032193,7079.182388,7418.332379	0.9828762169,0.982902556,0.9827447781,0.9483767101,0.9821462088,0.9492126154,0.9806016453,0.9835796638	2.46303749e-15,2.012803903e-13,3.178211732e-13,4.335849369e-13,5.731845918e-13,7.400994721e-13,9.560071399e-13,1.201277968e-12	ok
-0.94444444	-36.66666667	-45.55417010	0.7530305567	continued:5	1,1,1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	534.7273797,1394.956955,2950.439655,7176.687525,15570.06195,16880.40099,26645.89455,27060.73951	5296.261917,5695.272298,5942.843172,6193.794791,6458.717917,6742.740742,7050.414589,7387.261597	0.9800813605,0.9820051868,0.9833272451,-0.9430630895,-0.948905699,-0.9812547321,-0.9307580663,-0.9167432705	6.513867579e-14,2.045086285e-13,3.090484089e-13,4.279106844e-13,5.719470953e-13,7.341617851e-13,9.477711231e-13,1.198818979e-12	ok
-0.83333333	-36.66666667	-46.58567100	0.7558239056	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	776.0206262,1902.348474,9835.409204,10940.97914,12214.96305,18578.57631,28585.51917,28996.41103	5288.865534,5689.305078,5934.848793,6183.974975,6446.792963,6728.580302,7034.045124,7368.897006	0.9795669235,0.9818154563,0.9495071069,0.978142968,0.9814951584,0.944735942,0.9208559374,0.9021880733	2.730127665e-14,2.050123538e-13,3.19821093e-13,4.377466949e-13,5.636948767e-13,7.142952738e-13,9.258457851e-13,1.196403009e-12	ok
-0.72222222	-36.66666667	-47.32186662	0.7530305567	continued:5	1,1,-1,-1,-1,-1,-1,1	1,1,1,1,1,1,1,1	1014.112257,2490.049842,8432.674647,9246.988751,9875.192302,10732.96969,12602.8807,18657.18987	5290.116777,5691.948351,5935.580246,6183.143539,6444.068247,6723.823911,7027.29935,7360.408643	0.9794473596,0.9822282932,-0.9227552049,-0.9459959525,-0.9577012835,-0.9646569289,-0.9808478832,0.9271099179	7.565612995e-15,2.026802243e-13,3.022166681e-13,4.164938084e-13,5.574027695e-13,7.192887209e-13,9.036078112e-13,1.17997565e-12	ok
-0.61111111	-36.66666667	-47.86812179	0.7558239056	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1447.701693,10000.94004,10409.24993,10653.73191,10902.51911,11165.05798,11447.11601,11753.96657	5298.185763,5701.324889,5943.105642,6189.399589,6448.631656,6726.535972,7028.212948,7359.799437	0.9799213924,0.7758973778,0.7600603252,0.794929484,0.8035066287,0.8049275358,0.8057344034,0.8072772657	2.182131173e-14,2.001035224e-13,3.002737276e-13,4.038753096e-13,5.425261494e-13,6.904084053e-13,8.990857571e-13,1.134611068e-12	ok
-0.50000000	-36.66666667	-48.19771112	0.7530305567	full	1,-1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	1838.945593,9118.544429,9530.16864,9773.783797,10022.22853,10284.28095,10566.00756,10872.97546	333.1790556,5047.632103,5451.954013,5691.633127,5937.236343,6194.974893,6471.190908,6771.237951	0.9801019733,-0.324427984,-0.332599198,-0.3381181554,-0.3407662583,-0.343393467,-0.3472515421,-0.3529172361	2.330753156e-19,2.975093976e-14,1.963955368e-13,3.068087606e-13,4.192674439e-13,5.400170628e-13,7.008293342e-13,9.033727978e-13	ok
