delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.38442211	-45.00000000	-40.43323262	0.8908100567	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	214.8444852,1901.020795,3069.35575,4432.044779,5552.164859,6815.791651,7920.869087,9151.928393	5004.512913,5766.743534,6147.764115,6982.020037,7520.852541,8418.730422,9135.995931,10100.55236	0.9931406393,0.9160193177,0.9858163108,0.9169584177,0.9853213375,0.9158330058,0.9832480186,0.9071807521	8.986753566e-15,1.135694589e-14,6.059129506e-15,1.03140409e-14,8.482529479e-15,1.326745091e-14,4.851259077e-15,1.194229936e-14	ok
-1.37939698	-45.00000000	-41.53672717	0.8897674842	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	357.9327755,2110.240779,3266.931598,4602.133554,5722.840006,6982.94244,8091.83768,9326.314341	5007.894482,5763.889632,6124.735804,6953.969407,7470.970085,8363.408765,9059.538265,10020.35066	0.9908526436,0.9157947375,0.9848296328,0.9107883901,0.9784154845,0.8822302816,0.9470491393,0.7702200007	1.126565295e-14,1.493618701e-14,1.178401276e-14,1.643430663e-14,1.314864411e-14,1.904153665e-14,7.085446586e-15,1.650363289e-14	ok
-1.37437186	-45.00000000	-42.07671582	0.8883116095	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,1,1,1,1,1	489.5444388,2264.923117,3423.294955,4757.593289,5882.630981,7147.278331,8261.373034,9502.3214	856.3058021,4428.81391,5038.727304,5773.398488,6613.617569,7590.147656,7919.188838,8739.354404	0.9881601952,-0.778058536,-0.8423825426,-0.4725493256,-0.508516999,-0.2249314973,-0.2416394345,-0.1010640865	1.852843124e-17,-1.881818557e-14,-3.999742289e-16,1.790713731e-14,3.712051582e-14,6.050933558e-14,6.196774313e-14,8.583801225e-14	ok
-1.36934673	-45.00000000	-42.46292841	0.8865213662	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,1,1,1,1,1	616.1895655,2389.768175,3551.919785,4889.612592,6019.62545,7290.233915,8409.781815,9657.781953	852.2879629,4456.098958,5058.178382,5769.546814,6580.56149,7520.761231,7814.402488,8625.309861	0.9869038504,0.8733687432,0.9375271394,0.6824572304,0.7345198675,0.3856289377,0.4149213447,0.1803699815	1.822023185e-17,-1.954635176e-14,-1.217869089e-15,1.839813092e-14,4.187211802e-14,6.769494131e-14,6.99396185e-14,9.613674999e-14	ok
-1.36432161	-45.00000000	-42.77977603	0.8849377741	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,1,1,1,1,1	743.6302709,2517.368726,3683.751851,5025.800256,6160.944062,7437.878031,8562.954229,9818.192568	848.3208503,4486.137661,5080.076513,5767.894069,6549.345081,7452.635154,7707.433293,8511.356518	0.9864162043,0.4192923554,0.4534499911,0.1668100887,0.1802458186,0.06950347803,0.07494398603,0.02974789382	1.791981636e-17,-2.200622118e-14,-4.185609663e-15,1.609561659e-14,4.184678749e-14,7.085708381e-14,7.39803684e-14,1.050657984e-13	ok
-1.35929648	-45.00000000	-43.05536791	0.8834818994	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	869.7876376,2641.742218,3812.474595,5159.161552,6299.491654,7582.903565,8713.54383,9976.125975	5027.859139,5757.626146,6033.997837,6845.236792,7270.692705,8138.17184,8739.459643,9679.180402	0.9862342296,-0.2776955182,-0.303555767,-0.1038738012,-0.112440692,-0.04234214887,-0.04573813752,-0.01784286236	1.528952541e-14,1.866016925e-14,1.68528579e-14,2.221655869e-14,1.878506481e-14,2.674368338e-14,2.334631965e-14,2.969721008e-14	ok
-1.35427136	-45.00000000	-43.30427982	0.8822326758	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,1,1,1,1,1	996.6856403,2769.009087,3944.131741,5295.584914,6441.133876,7731.126053,8867.358389,10137.37176	840.5346156,4556.234616,5132.843648,5772.711595,6493.917364,7321.794877,8285.891575,8598.882469	0.9861605984,-0.9019502264,-0.9719289885,-0.8249824434,-0.8873848731,-0.5815176693,-0.6270772193,-0.2950492911	1.733839711e-17,-2.283633889e-14,-5.387045339e-15,2.091195204e-14,5.054653365e-14,8.504338067e-14,1.262263615e-13,1.293642373e-13	ok
-1.34924623	-45.00000000	-43.53352967	0.8809834522	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,1,1,1,1,1	1115.842424,2879.776855,4059.316608,5415.63544,6566.431687,7863.098668,9004.949971,10282.48085	836.7134752,4597.427198,5164.767045,5780.170188,6470.657952,7260.087018,8175.649779,8439.449757	0.9861165844,0.9030901953,0.9691157721,0.8064562063,0.8682758165,0.5391755776,0.5826237807,0.2611717321	1.70571275e-17,-3.351690141e-14,-4.595312933e-15,2.685840175e-14,6.377895884e-14,1.043746204e-13,1.539722526e-13,1.5927434e-13	ok
-1.34422111	-45.00000000	-43.74948560	0.8800685971	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,1,1,1,1,1	1241.630067,3006.257392,4190.234629,5551.506681,6707.57633,8011.009368,9158.504545,10443.63648	832.9390226,4643.702148,5201.303365,5791.860138,6451.196805,7201.705067,8068.08458,9083.449605	0.9860917583,-0.7643075284,-0.8314314867,-0.4290045171,-0.4654852174,-0.184605863,-0.2004203336,-0.07557517095	1.678190905e-17,-4.149990279e-14,-9.941803619e-15,2.415001226e-14,6.443931647e-14,1.087595155e-13,1.615944247e-13,2.211674162e-13	ok
-1.33919598	-45.00000000	-43.95233463	0.8791537421	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,1,1,1,1,1	1357.269598,3113.848059,4302.276967,5668.577912,6829.945139,8140.232811,9293.395318,10586.21126	829.2103197,4696.033144,5243.363831,5808.643016,6436.359771,7147.481331,7964.140951,8916.196111	0.986063673,0.9146511792,0.981714251,0.8859025441,0.9520623316,0.7485594553,0.807172557,0.4472753343	1.651233289e-17,-3.976000448e-14,-1.077286277e-14,3.004956551e-14,7.823194707e-14,1.306987945e-13,1.910273224e-13,2.632350763e-13	ok
-1.33417085	-45.00000000	-44.14538860	0.8786521893	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,-1,-1,1,1,1,1,1	47.99052168,1486.358074,3248.036356,4440.941702,5812.369935,6979.061269,8296.298269,9455.151868	825.5264553,4755.646063,5292.099579,5831.614696,6427.202443,7098.472331,7864.980172,8753.109201	0.9658524993,0.9860483843,-0.9083298165,-0.9784267997,-0.8597709315,-0.9247243142,-0.6500576593,-0.7029332344	1.624870343e-17,-3.937942446e-14,-8.607614385e-15,3.797304086e-14,8.891231932e-14,1.472506474e-13,2.148209641e-13,2.929868018e-13	ok
