delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-36.66666667	-45.75766025	0.8448683358	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	980.3050338,2995.684155,4832.210594,12495.2109,20158.14783,27821.70662,35485.59415,43149.6246	415.3874562,5114.970836,5509.204901,5771.066483,6036.707822,6317.876585,6619.276444,6944.989529	0.9842485961,0.9859195261,-0.9334081283,-0.9302250539,-0.923915305,-0.9076966423,-0.8653085879,-0.7690347328	0.9937210757,-0.6412371474,-0.6433119725,-0.6531655509,-0.6537826325,-0.6532078343,-0.6529435389,-0.653378449	ok
-1.38888889	-36.66666667	-46.36392212	0.8467862965	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1398.138523,9409.640674,17092.78499,24770.33059,32446.72192,40123.03964,47799.48657,55476.05772	5487.171565,5881.723835,6139.847766,6401.489941,6678.246409,6974.872729,7295.497518,7645.110947	0.9845287166,0.9374592532,0.9360999054,0.9352185972,0.9346862877,0.9343665541,0.9341644116,0.9340201202	-0.4373873732,-0.4425274766,-0.4465960865,-0.4471267267,-0.4475708284,-0.4486816439,-0.4507393198,-0.4539775793	ok
-1.27777778	-36.66666667	-46.80025989	0.8454093555	full	1,1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	44.57141979,1836.476838,3528.653669,11245.80893,18961.85085,26677.19543,34392.11267,42106.77558	5402.635923,5797.819919,6052.689239,6310.905427,6583.882556,6876.440737,7192.776842,7537.965139	0.9949905546,0.9848019748,-0.06919456186,-0.08491776632,-0.1026386993,-0.1228922059,-0.1461638062,-0.1729683379	-0.2344127297,-0.2391020459,-0.2404338705,-0.2409273376,-0.2416747862,-0.2430006792,-0.2450852553,-0.2481298776	ok
-1.16666667	-36.66666667	-42.15667944	0.7586172545	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	210.0362661,864.7940666,1753.447353,3254.384846,3906.597863,11698.46722,19488.65382,27282.44369	5348.401916,5744.686719,5996.841958,6252.272742,6522.184732,6811.482999,7124.46291,7466.324891	0.9864832316,0.9844125597,0.98297612,0.9840520719,0.5722823014,0.9388575945,0.9391220606,0.9394508913	-0.1280162091,-0.1311687852,-0.1318483293,-0.1322412802,-0.132840269,-0.1338235697,-0.1353092352,-0.1374412361	ok
-1.05555556	-36.66666667	-44.20049496	0.7558239056	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	363.0626272,1114.406699,2222.33993,10217.78725,11548.67205,19671.30795,20812.36809,22449.10477	5314.863666,5712.464319,5962.220279,6215.261574,6482.529912,6769.032061,7079.182248,7418.332231	0.9828762169,0.982902556,0.9827447781,0.9483767101,0.9821462088,0.9492126154,0.9806016453,0.9835796638	-0.07254670934,-0.07456412237,-0.07498584413,-0.07526943228,-0.07568981479,-0.07635558932,-0.07734454303,-0.07875528304	ok
-0.94444444	-36.66666667	-45.55417010	0.7530305567	continued:5	1,1,1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	534.7273797,1394.956955,2950.439655,7176.687525,15570.06195,16880.40099,26645.89455,27060.73951	5296.261822,5695.272188,5942.84306,6193.794674,6458.717795,6742.740614,7050.414454,7387.261453	0.9800813605,0.9820051868,0.9833272451,-0.9430630895,-0.948905699,-0.9812547321,-0.9307580663,-0.9167432705	-0.04239529555,-0.04368667385,-0.04396361596,-0.04416044685,-0.04444556877,-0.04488797267,-0.04553939384,-0.04646712774	ok
-0.83333333	-36.66666667	-46.58567100	0.7558239056	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	776.0206262,1902.348474,9835.409204,10940.97914,12214.96305,18578.57631,28585.51917,28996.41103	5288.865434,5689.304971,5934.848684,6183.974862,6446.792846,6728.58018,7034.044994,7368.896868	0.9795669235,0.9818154563,0.9495071069,0.978142968,0.9814951584,0.944735942,0.9208559374,0.9021880733	-0.0253490515,-0.02618349824,-0.02636853261,-0.02650286834,-0.02669441893,-0.02698790963,-0.02741805113,-0.02803101183	ok
-0.72222222	-36.66666667	-47.32186662	0.7530305567	continued:5	1,1,-1,-1,-1,-1,-1,1	-1,-1,-1,-1,-1,-1,-1,-1	1014.112257,2490.049842,8432.674647,9246.988751,9875.192302,10732.96969,12602.8807,18657.18987	5290.116676,5691.948247,5935.58014,6183.14343,6444.068134,6723.823793,7027.299227,7360.408511	0.9794473596,0.9822282932,-0.9227552049,-0.9459959525,-0.9577012835,-0.9646569289,-0.9808478832,0.9271099179	-0.01541454862,-0.01595896559,-0.01608347207,-0.01617433136,-0.01630268894,-0.01649784249,-0.01678323347,-0.01719073307	ok
-0.61111111	-36.66666667	-47.86812179	0.7558239056	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1447.701693,10000.94004,10409.24993,10653.73191,10902.51911,11165.05798,11447.11601,11753.96657	5298.185664,5701.324788,5943.105541,6189.399485,6448.631548,6726.535861,7028.21283,7359.799314	0.9799213924,0.7758973778,0.7600603252,0.794929484,0.8035066287,0.8049275358,0.8057344034,0.8072772657	-0.009492034735,-0.009850108869,-0.009934279408,-0.009995309028,-0.01008125789,-0.01021138625,-0.01040159046,-0.01067398882	ok
-0.50000000	-36.66666667	-48.19771112	0.7530305567	full	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1838.945593,9118.544429,9530.16864,9773.783797,10022.22853,10284.28095,10566.00756,10872.97546	333.1788212,5047.631839,5451.953749,5691.632863,5937.236076,6194.974624,6471.190636,6771.237674	0.9801019733,-0.324427984,-0.332599198,-0.3381181554,-0.3407662583,-0.343393467,-0.3472515421,-0.3529172361	0.9942830036,-0.005396595573,-0.005613384693,-0.005665950881,-0.0057029099,-0.005755527218,-0.005835085453,-0.00595146208	ok
-1.50000000	-33.88888889	-46.44698323	0.8421071462	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1150.189276,8754.168356,16372.59619,23990.82193,31610.6785,39231.43897,46852.61023,54473.95797	5397.196706,5802.595401,6065.9894,6334.371354,6619.722192,6927.454395,7262.689827,7631.969548	0.9839892683,0.9436093906,0.9411367228,0.9398162379,0.9389243733,0.9376828408,0.9348389544,0.9274598791	-0.4176389219,-0.423785527,-0.4282805895,-0.4298521984,-0.4316741203,-0.4345004218,-0.4387023068,-0.4446863766	ok
