delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.39949749	-45.00000000	-43.78494061	0.8868758893	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1391.469343,3181.264922,4317.372587,5628.469529,6727.950583,7961.751842,9048.607493,10254.67723	4997.594969,5777.818566,6218.358355,7067.477159,7669.053412,8581.101798,9355.465861,10327.98188	0.9863169945,0.9124151222,0.9809108994,0.8881946085,0.954063994,0.7942735895,0.8511886497,0.5751084357	-0.9283894461,-0.9844131069,-0.922926049,-0.9847696915,-0.9728821434,-0.9848955254,-0.9426661984,-0.9847647637	ok
-1.39447236	-45.00000000	-43.95948961	0.8863743365	continued:5	1,1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	56.20258343,1518.37515,3312.226159,4452.605994,5767.896662,6872.392544,8112.102878,9204.333495	4999.395917,5773.737824,6194.577438,7038.816865,7619.953929,8527.641935,9284.020465,10254.39987	0.9677363228,0.9863019336,-0.9036322537,-0.9743060397,-0.8512711883,-0.9139634793,-0.6777692031,-0.725453589	-0.9288585844,-0.9843255198,-0.8974543548,-0.9847016481,-0.9752003524,-0.9848289602,-0.9454865421,-0.9847050553	ok
-1.38944724	-45.00000000	-44.12337473	0.8856661325	full	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	74.89106467,1532.477853,3320.188478,4464.855053,5784.408205,6893.944567,8139.644652,9237.278791	5001.691397,5770.036566,6171.043622,7010.317184,7570.534056,8473.497396,9210.845594,10178.58153	0.9767275654,0.9862775062,0.8404474239,0.9000483964,0.5944972239,0.6378212716,0.3193485167,0.3415604298	-0.9293329759,-0.9842324311,-0.8661048023,-0.9846299954,-0.9761278129,-0.9847570756,-0.9486792741,-0.9846397898	ok
-1.38442211	-45.00000000	-40.43323262	0.8908100567	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	214.8444852,1901.020795,3069.35575,4432.044779,5552.164859,6815.791651,7920.869087,9151.928393	5004.51266,5766.743263,6147.763976,6982.019813,7520.852383,8418.730157,9135.995646,10100.55189	0.9931406393,0.9160193177,0.9858163108,0.9169584177,0.9853213375,0.9158330058,0.9832480186,0.9071807521	-0.9298125284,-0.9841330823,-0.8291995706,-0.9845543847,-0.9748808822,-0.9846791877,-0.9522611388,-0.9845680966	ok
-1.37939698	-45.00000000	-41.53672717	0.8897674842	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	357.9327755,2110.240779,3266.931598,4602.133554,5722.840006,6982.94244,8091.83768,9326.314341	5007.894267,5763.889361,6124.73567,6953.969186,7470.969944,8363.408509,9059.538019,10020.35021	0.9908526436,0.9157947375,0.9848296328,0.9107883901,0.9784154845,0.8822302816,0.9470491393,0.7702200007	-0.9302970633,-0.9840265631,-0.7875414966,-0.9844743959,-0.9704394464,-0.9845944924,-0.956221104,-0.9844889421	ok
-1.37437186	-45.00000000	-42.07671582	0.8883116095	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	489.5444388,2264.923117,3423.294955,4757.593289,5882.630981,7147.278331,8261.373034,9502.3214	856.3051621,4428.813274,5038.726586,5773.39771,6613.616699,7590.146636,7919.187741,8739.353144	0.9881601952,-0.778058536,-0.8423825426,-0.4725493256,-0.508516999,-0.2249314973,-0.2416394345,-0.1010640865	0.9899710043,-0.9351964864,-0.9757564365,-0.9780911698,-0.9770043712,-0.9757958248,-0.7116538223,-0.9740736389	ok
-1.36934673	-45.00000000	-42.46292841	0.8865213662	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	616.1895655,2389.768175,3551.919785,4889.612592,6019.62545,7290.233915,8409.781815,9657.781953	852.2873256,4456.098321,5058.177675,5769.546047,6580.560629,7520.760225,7814.401408,8625.308625	0.9869038504,0.8733687432,0.9375271394,0.6824572304,0.7345198675,0.3856289377,0.4149213447,0.1803699815	0.9899802716,-0.9343967787,-0.9738194489,-0.9764057481,-0.9751911252,-0.9738021639,-0.6347757987,-0.9718930849	ok
-1.36432161	-45.00000000	-42.77977603	0.8849377741	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	743.6302709,2517.368726,3683.751851,5025.800256,6160.944062,7437.878031,8562.954229,9818.192568	848.3202156,4486.137034,5080.07582,5767.893313,6549.344231,7452.634163,7707.432228,8511.355306	0.9864162043,0.4192923554,0.4534499911,0.1668100887,0.1802458186,0.06950347803,0.07494398603,0.02974789382	0.9899895048,-0.9330934351,-0.9712733291,-0.9741261414,-0.9727763764,-0.9711816447,-0.5675040357,-0.9690476037	ok
-1.35929648	-45.00000000	-43.05536791	0.8834818994	continued:5	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	869.7876376,2641.742218,3812.474595,5159.161552,6299.491654,7582.903565,8713.54383,9976.125975	5027.85889,5757.625879,6033.99772,6845.236575,7270.692587,8138.171607,8739.459405,9679.18003	0.9862342296,-0.2776955182,-0.303555767,-0.1038738012,-0.112440692,-0.04234214887,-0.04573813752,-0.01784286236	-0.9322765891,-0.9835027173,-0.6050965519,-0.9840980543,-0.8945830291,-0.984165421,-0.9728974418,-0.9840688434	ok
-1.35427136	-45.00000000	-43.30427982	0.8822326758	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	996.6856403,2769.009087,3944.131741,5295.584914,6441.133876,7731.126053,8867.358389,10137.37176	840.533986,4556.233998,5132.842982,5772.710864,6493.916539,7321.793917,8285.890412,8598.881178	0.9861605984,-0.9019502264,-0.9719289885,-0.8249824434,-0.8873848731,-0.5815176693,-0.6270772193,-0.2950492911	0.9900078702,-0.9279916258,-0.9632473591,-0.966646206,-0.9650022395,-0.9629130277,-0.9601946206,-0.6629444268	ok
