delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-39.44444444	-44.74393657	0.8489471241	continued:5	1,1,1,1,-1,-1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	762.8653233,2381.491111,3175.704255,6099.855326,8858.365616,11910.33635,14722.9833,17388.68718	6076.541048,6469.520468,6739.58299,7013.577973,7303.446966,7613.605293,7947.75951,8310.29872	0.9846913925,0.9854837989,0.9583984328,0.9871288442,-0.9309832718,-0.987225807,0.9313450316,0.9869311335	-0.960523907,-0.9600050701,-0.9894364438,-0.9937456204,-0.9935159105,-0.9924758398,-0.9914014813,-0.990460197	ok
-1.38888889	-39.44444444	-45.37981332	0.8461537753	continued:5	1,1,1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1015.698649,1352.889426,3222.489685,5119.726542,12922.49206,20695.58624,28456.92603,36213.90661	5788.742941,6173.373763,6431.297537,6691.779017,6966.279101,7259.021535,7573.376421,7913.219851	0.9845157307,0.4756711283,0.985796624,-0.9304980723,-0.9292887684,-0.9282081778,-0.9274253172,-0.9269077329	-0.9597227463,-0.9546485917,-0.9891201579,-0.9943975867,-0.9943786436,-0.9932924704,-0.9920564581,-0.9909240548	ok
-1.27777778	-39.44444444	-45.88781206	0.8433604264	continued:5	1,1,1,1,-1,-1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1338.412179,1942.114927,9940.232761,12520.7435,15496.11384,18057.53577,21021.98688,23649.26717	5614.544427,5998.505054,6251.857615,6507.425247,6776.493843,7063.311881,7371.259181,7704.207761	0.9845257601,0.9408838833,0.9350546253,0.9861500995,-0.9350819521,-0.9861322096,0.9349912047,0.9861936052	-0.9590150767,-0.9512575981,-0.9887095289,-0.9945449486,-0.9946328386,-0.9935144962,-0.9921829122,-0.9909358468	ok
-1.16666667	-39.44444444	-46.27776637	0.8405670775	full	1,-1,-1,-1,-1,-1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1703.345956,3359.367637,11225.39696,19115.72184,27076.25223,29746.16882,33000.55471,34846.25755	5503.577646,5888.301801,6138.516615,6390.795853,6656.28743,6939.300523,7243.283264,7572.189127	0.9846376515,-0.9259165374,-0.9336799035,-0.9346046376,-0.936426768,-0.9858333964,0.9383946966,0.9848823907	-0.9583212639,-0.9481168162,-0.9882364732,-0.9945867989,-0.9947691333,-0.9936203053,-0.9922020892,-0.9908515065	ok
-1.05555556	-39.44444444	-43.51259217	0.7584077552	continued:5	1,1,1,1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	306.5082533,1029.37732,2001.595375,3637.673756,5243.776109,13185.62697,21210.52963,23532.52292	5430.499991,5816.506591,6064.153356,6313.801482,6576.45091,6856.48541,7157.44497,7483.39771	0.9849822105,0.9835737901,0.9828865556,0.9840604409,-0.9198214875,-0.9354354183,-0.9382764266,-0.9850089357	-0.9576265725,-0.9449075124,-0.987678088,-0.994574558,-0.9948589971,-0.9936833724,-0.9921809001,-0.9907282173	ok
-0.94444444	-39.44444444	-44.99290675	0.7610733866	continued:5	1,1,1,1,1,1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	489.9836523,1366.78172,2756.011465,3211.237117,11319.18418,15427.73962,20734.74373,21128.95124	5382.56543,5770.093982,6015.483971,6262.875322,6523.088121,6800.589713,7099.02655,7422.600363	0.9814363181,0.9824176203,0.9831991469,0.224859584,0.9383408254,0.9865753167,-0.9570602495,-0.9444796052	-0.956926667,-0.9414796746,-0.9869927164,-0.9945160503,-0.9949219092,-0.9937253107,-0.9921395118,-0.9905832867	ok
-0.83333333	-39.44444444	-46.02502219	0.7582800378	continued:5	1,1,1,-1,-1,-1,-1,1	-1,-1,-1,-1,-1,-1,-1,-1	678.3828846,1699.458139,4016.819092,8479.18208,9376.952156,10262.88587,11759.78398,15053.36391	5352.459531,5741.630599,5984.968281,6230.367614,6488.418217,6763.680016,7059.91821,7381.482183	0.9802093354,0.9819702556,0.9842058392,-0.9495580922,-0.9792955014,-0.9818968504,-0.9829702406,0.9364742291	-0.9562200704,-0.9376965869,-0.9861079184,-0.994404404,-0.9949634424,-0.9937541116,-0.9920857249,-0.9904233951	ok
-0.72222222	-39.44444444	-46.81709620	0.7610733866	continued:5	1,1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	965.8423426,2412.423043,6840.876249,17073.65284,17472.90816,17719.48398,17968.59622,18231.28946	5335.577083,5726.44704,5967.882102,6211.507347,6467.608919,6740.851114,7035.130508,7354.956564	0.9802576043,0.982405768,-0.9395631693,-0.9556653368,-0.9380521302,-0.9859900076,-0.9940358705,-0.9944235912	-0.9555063335,-0.9333689227,-0.9848902874,-0.9942219686,-0.9949835065,-0.9937727605,-0.9920228401,-0.990251339	ok
-0.61111111	-39.44444444	-47.35721626	0.7638667355	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1386.487367,10697.81895,11095.46938,11338.03758,11583.10376,11841.1131,12116.96188,12414.85795	5328.822427,5721.40463,5961.05219,6203.103967,6457.43868,6728.842295,7021.357368,7339.665735	0.980634021,0.9548791136,0.9317464944,0.9843281149,0.9939382863,0.9946757343,0.9933665542,0.9915141297	-0.9547854319,-0.9281686866,-0.9830754558,-0.9939374271,-0.9949786039,-0.9937819319,-0.9919521666,-0.990068195	ok
-0.50000000	-39.44444444	-47.68479425	0.7610733866	full	1,1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	25.65563807,1757.430682,9230.865418,9968.438812,10498.32981,11149.12914,12063.32556,14490.68453	5330.012202,5724.285114,5962.232068,6202.912006,6455.64659,6725.369809,7016.288274,7333.269225	0.9991406852,0.9807381411,-0.9523889372,-0.9729314387,-0.9830323937,-0.9816850912,-0.980289572,-0.9831892085	-0.9540575274,-0.9214404916,-0.98009469,-0.9934972938,-0.9949422119,-0.9937809864,-0.9918739966,-0.9898741671	ok
-1.50000000	-36.66666667	-45.75766025	0.8448683358	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	980.3050183,2995.684147,4832.21053,12495.21076,20158.14767,27821.70647,35485.59403,43149.62445	415.3874562,5114.970836,5509.204901,5771.066483,6036.707822,6317.876585,6619.276443,6944.989529	0.9842485806,0.9859197646,-0.9347351434,-0.933359539,-0.9326417933,-0.9323485221,-0.9322302441,-0.9321828213	0.9937210757,-0.9617497571,-0.9545785712,-0.9888191698,-0.993964979,-0.9938581659,-0.992730947,-0.9915032108	ok
-1.38888889	-36.66666667	-46.36392212	0.8467862965	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1398.138492,9409.640809,17092.78509,24770.3307,32446.722,40123.03974,47799.48662,55476.05789	5487.171565,5881.723835,6139.847766,6401.489941,6678.246408,6974.872729,7295.497518,7645.110947	0.984528744,0.9374666053,0.9361175049,0.9352497186,0.934735748,0.9344409571,0.9342744334,0.9341802256	-0.9610807648,-0.9513956285,-0.9883452072,-0.9940139615,-0.9939912224,-0.9928158763,-0.9914914684,-0.9902968313	ok
-1.27777778	-36.66666667	-46.80025989	0.8454093555	full	1,1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	44.57141878,1836.476844,3528.653661,11245.80894,18961.85094,26677.19525,34392.11266,42106.77563	5402.635923,5797.819919,6052.689238,6310.905427,6583.882555,6876.440737,7192.776841,7537.965139	0.9949905561,0.9848024403,-0.8117885667,-0.9370758619,-0.9368425798,-0.9366505182,-0.9364925838,-0.9363644613	-0.9604044977,-0.9479842019,-0.9877665218,-0.9940190407,-0.9940978057,-0.9928819839,-0.9914629164,-0.9901647641	ok
-1.16666667	-36.66666667	-42.15667944	0.7586172545	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	210.0362213,864.7941159,1753.447393,3254.384729,3906.597113,11698.46648,19488.65307,27282.44302	5348.401915,5744.686719,5996.841957,6252.272741,6522.184731,6811.482999,7124.46291,7466.324891	0.986483172,0.9844125392,0.9829761515,0.9840521078,0.5722808179,0.9388611144,0.9391297644,0.9394628707	-0.9597265682,-0.9443471823,-0.9870461616,-0.993964511,-0.9941626825,-0.9929126854,-0.9914014936,-0.9900002223	ok
-1.05555556	-36.66666667	-44.20049496	0.7558239056	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	363.0626354,1114.406703,2222.339865,10217.78719,11548.67202,19671.30784,20812.36812,22449.10541	5314.863666,5712.464318,5962.220278,6215.261572,6482.529911,6769.032059,7079.182247,7418.33223	0.9828762336,0.9829025827,0.982744787,0.9488956048,0.9824854843,0.9505584986,0.9816526546,0.9839094703	-0.9590433017,-0.9402620909,-0.9860940624,-0.9938490588,-0.9942000102,-0.9929242474,-0.9913220163,-0.9898156876	ok
-0.94444444	-36.66666667	-45.55417010	0.7530305567	continued:5	1,1,1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	534.7273839,1394.956872,2950.439673,7176.687529,15570.06104,16880.40163,26645.91497,27060.76059	5296.261822,5695.272188,5942.843058,6193.794672,6458.717792,6742.740612,7050.414451,7387.261451	0.9800813792,0.9820050574,0.983327385,-0.943084412,-0.9495603883,-0.9816915269,-0.9586500018,-0.943709793	-0.958353388,-0.9354168896,-0.984734297,-0.993654601,-0.9942126974,-0.9929227829,-0.9912304658,-0.9896161765	ok
-0.83333333	-36.66666667	-46.58567100	0.7558239056	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	776.0206048,1902.348465,9835.409477,10940.97906,12214.96215,18578.58741,28585.51952,28996.4112	5288.865435,5689.30497,5934.848681,6183.974859,6446.792842,6728.580175,7034.04499,7368.896863	0.979566888,0.9818156897,0.9516168727,0.9797945711,0.9821994551,0.9448029119,0.9578518488,0.9366861142	-0.9576564249,-0.929218083,-0.9825912028,-0.9933445929,-0.9941981134,-0.9929102853,-0.9911293296,-0.989403758	ok
