category_id	count	encoding	T_scs	gamma_scs
262	1	20579200994686083096576301742622	-1,0,-1,0,2,0	11,8,11,-1
263	1	20591871858289480804758867156120	-1,1,-8,-2,1	9,9,9,-9
264	1	20798982787846975841643904427896	1,0,10,-1,0	10,-10,0,9
265	1	20806832741506103926559471186940	-1,0,9,2,-1,0	9,-9,0,9
266	1	20845545291069809787654869976174	-1,0,10,1,-2	-11,-10,0,9
267	1	20858881490464434321634983510609	-1,0,9,5,0	-11,-5,0,9
268	1	22655211406517063713034515282949	-1,1,-9,-2,2	9,8,8,-9
269	1	23444463654780367749869284740673	-1,-8,-8,-8	-9,8,8,-9
270	1	24065336959245617576650003465200	1,0,-10,-7,0	10,3,9,-9
271	1	24735434352534694713995245202742	-1,0,-1,0,1,0	11,1,1,9
272	1	24736151078528067093276963038610	-1,0,9,5,1	10,1,0,9
273	1	26110670809427378785347385187623	-1,8,-10,-9	10,-10,-10,7
274	1	27073795376674202180586180106750	1,-1,1,-9,0	10,9,-10,0
275	1	27597349413086395633601805366813	-1,5,9,8	9,-9,-6,-9
276	1	28364660511158296412474692562098	-1,7,9,-9	9,9,-9,-8
277	1	30894382389744295110696096460675	-1,6,8,8	9,-8,7,-9
278	1	33083994271705963502947365434325	-1,7,8,-9	9,-9,7,8
279	1	33971289087112001152202611306593	-1,0,0,5,-1,0	11,1,2,9
280	1	35052033897391595192104519665445	1,0,1,0,2,0	10,3,4,8
281	1	35082735114530935718187315403793	-1,5,8,8	-9,-7,8,-9
282	1	35158315674499659894525199596493	-1,-8,8,8	9,8,8,-9
283	1	35460757534910187414927271589145	-1,0,7,2,-1,0	-11,2,3,9
284	1	36266930582500851199110360012099	-1,7,8,-9	9,8,-9,8
285	5	36294023132587805245258083293661	-1,8,8,-9	9,8,-9,8
286	5	36307582429680147664467997998444	-1,8,-9,8	9,-9,8,-9
287	1	36420539858480174066167419266758	-1,-8,-8,8	9,8,-9,-9
288	1	37491278984461846229716676987451	-1,7,9,8	9,-9,8,-9
289	1	38675001333064526244963720427268	-1,7,-9,8	9,8,-9,-9
290	1	38705030144609531288349180793950	-1,8,-9,8	9,-9,-9,-9
291	1	40086197606474463951989148645432	-1,-8,8,8	9,9,9,-9
292	3	41283353880362776119471994869695	-1,8,9,-9	9,9,-9,8
293	1	42543155355358678643253871085145	-1,6,9,8	9,9,9,-9
294	1	42577018514076019200205727005245	-1,8,9,8	9,9,9,-9
295	1	42743616411171829733663720711638	-1,-8,4,9	10,-10,-10,-6
296	1	46065262237230480926970950889120	-1,0,4,-9,0	-10,0,8,0
297	1	54793759901594248083944739706600	-1,0,5,-9,0	9,9,7,2
298	1	59718479321868173785438248117415	-1,0,5,-1,0	10,-1,6,9
299	1	60988101532092943351692305116389	1,-9,6,9	-10,7,-10,6
300	1	68416494776478759371920566868584	-1,-8,8,-9	9,-9,8,-9
301	1	68435100117262654223707662551676	-1,8,8,-9	9,-9,8,-9
302	1	70607621763742470180171700839612	-1,0,6,-9,0	-10,0,9,7
303	1	70806732602651666907250177235607	-1,0,7,-2,0	-10,0,7,9
304	1	71247589144465785198712777821279	-1,0,10,5,0	11,1,7,9
305	1	71389730032576038339054675301975	-1,0,9,-1,1	9,9,7,9
306	1	71829243367156943522446871211121	-1,4,7,9	9,9,-9,6
307	1	74230068772426272935952389271345	-1,1,-6,1,2	-10,7,7,9
308	1	76835357572585055873283185137950	-1,6,-9,7	9,-9,7,9
309	4	78658902179997612071908174435829	-1,8,9,-9	9,9,-9,-9
310	3	78680284538736354783584896758529	-1,-9,9,-9	9,9,-9,-9
311	1	78681009966777253457872133913243	-1,-9,-9,-9	9,9,9,-9
312	2	82316749777844003272694522033145	-1,8,9,-9	9,9,9,-9
313	1	84146222813899214121739547437073	1,-8,-6,4	-10,4,8,9
314	1	84365426483462958589696454798400	-1,-4,8,9	-10,2,8,-6
315	1	84562139035370094955610886793910	-1,-1,-1,-1,-1,-1	9,9,8,9
316	1	84693056413399999005561090307091	1,-8,8,9	-10,4,-9,-6
317	1	85123284200732567878703836701280	-1,6,8,9	9,8,-9,6
318	1	85359578420594337948733219409613	-1,7,-9,-8	9,-9,7,9
319	1	90179378022736788264728611578682	-1,5,8,9	9,9,-9,7
320	1	91215429548741135134914537920632	-1,0,8,-9,0	9,9,1,-2,0
321	1	91780431620323777133157102736278	-1,0,1,-2,0,1	11,0,3,0
322	1	91780511349672302374553642209220	1,0,1,-2,0,1	10,7,9,2
323	1	94831278991259761388180345816682	-1,-7,6,9	9,9,9,8
324	1	97957730061180930463649575495218	-1,1,2,3,2	-10,2,3,9
325	1	98112236000270655140325641890573	-1,7,-9,7	9,9,-9,9
326	1	98999327963677145342536952008586	1,0,5,3,2	10,3,0,-9,0
327	1	99105920338372434326581058253477	-1,0,9,-2,0	-11,0,9,9
328	1	99192463850930816557109102569876	1,1,9,9	10,2,-10,2
329	1	99451127220533868325395742345779	-1,0,9,3,1	-10,2,9,9
330	1	99888652220051133356867435260646	1,8,-10,3	10,9,9,9
331	1	99920204640097333213874682845007	-1,5,-9,-5	9,9,9,9
332	1	99920674701298349124745934543896	1,9,9,9	10,9,-9,-5
333	1	100202514661936421760306757513338	-1,7,-9,-6	9,9,9,9
334	1	100559498890104167132972541732975	-1,5,9,-8	9,-9,8,9
335	1	101823785577292787877302200361927	-1,2,7,-5,1	-10,1,9,9
336	1	105557402780422095422184429424992	-1,-6,-8,7	-10,9,9,9
337	1	106191507023515520397219823685953	-1,7,9,9	9,9,-9,7
338	1	106357697558921624497578509435421	-1,7,-9,7	-10,9,9,9
339	1	107726599047750354417139588210119	-1,0,9,-9,0	-10,-5,6,1
340	1	107726605686278795321047075632391	1,0,9,-9,0	10,8,-10,0
341	1	108426914706032049502985323861855	1,8,-10,9	10,9,-10,-2
342	1	108520703334593090282647356186751	1,8,-10,2	10,9,-10,9
343	1	109461251570471788290648206226751	1,0,0,0,0,0	10,-10,0,-10
344	1	109508653928064636309067331584356	1,0,0,2,0,0	10,10,0,-10
345	1	114837776901694427471146340741355	-1,0,9,-9,0	-10,0,9,7
346	1	117048254469196654934404205683125	-1,0,0,0,0,0,0	11,-1,10,9
347	1	118002665237267972568448580257950	-1,0,0,0,0,0,0	11,0,0,9,0
348	1	118976901651182875266585207567360	-1,3,9,9	-10,-2,2,8
349	1	120364652228763276025312434297552	-1,4,9,9	-10,-9,-3,8
350	1	120671645357214461107906367067897	-1,-8,8,8	9,-9,8,9
351	1	122750316458764345134934107838582	-1,8,8,9	9,9,-9,8
352	2	122768003729316397914493757196975	-1,8,-9,8	9,-9,8,9
353	1	122813378813622174082048952690825	-1,8,-9,8	9,9,8,9
354	1	125111606917833188561129666106282	-1,0,9,4,-2	-10,0,9,9
355	1	127927860555417170076533975843151	-1,9,-11,9	11,10,-11
356	1	127927860685972892640363869705496	-1,9,-11,9	11,-11,-11
357	1	128968074808113123219894314586615	-1,1,-10,-4,1	-11,-4,1,-10
358	1	132774891773695081575964459308342	-1,-6,-7,8	-10,8,9,9
359	1	136816491829479554378673577042110	-1,-9,9,9	-10,-9,-8,8
360	1	139688373576892909478227687395042	-1,0,-1,0,-2,0	-10,0,1,9,0
361	1	140927445429694819773125053306195	-1,6,9,9	9,9,-9,8
362	2	141134418854975627094404216790920	-1,8,9,9	9,9,-9,8
363	1	141134450035465261274877254624896	1,9,-9,8	-10,8,9,9
364	1	141223187137213535858897827506797	-1,-9,-9,8	-10,9,9,9
365	1	143533485529401069136417278531783	-1,7,9,8	9,9,9,9
366	1	150805945800319809231405206696637	-1,-1,1,-9,-1	10,10,-10,-1
367	1	158166975765814727508341662997451	-1,-7,7,9	9,-9,8,-9
368	1	164755618738004020595939498829777	-1,0,1,9,0	-10,0,2,7,-1
369	1	175172197362432426535027595845092	-1,0,1,9,0	-10,0,6,8
370	1	177476484290813620412683356514374	-1,7,8,9	9,-9,8,-9
371	1	177531034504961487272322684605019	1,-9,8,-9	-10,-8,8,9
372	1	177585558081722642589759256414023	-1,8,8,9	9,-9,8,-9
373	1	178052331656603142731812504753216	1,-8,3,-10	10,8,-10,2
374	1	180137690424585963652747396420941	-1,-8,6,-9	-10,9,9,9
375	1	182928181025475042719195749832712	1,-9,8,9	-10,9,-9,-9
376	1	186481857611972191813596375932826	-1,2,10,9	10,10,4,-9
