delta_x	delta_ca	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.289474	-20.000000	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.236842	-33.000000	35	266381771633273714	7	141224	-1,0,10,-11,0	11,10,2	ok
-1.236842	-32.315789	101	2398780970005435642570851271366940	94	146460340065091163	-1,0,-11,0,-11	11,-2,0,-11,0	ok
-1.236842	-31.631579	102	2733393773676285436143885399460134	88	73916409430941595	-1,-1,-2,1,-11	-11,-1,1,-11	ok
-1.236842	-30.947368	96	2224523351101539202167921067876835	82	35123307398983789	-1,1,9,10,10	-11,-10,1,10	ok
-1.236842	-30.263158	46	11066924130681440989890	80	32491315884349396	-1,2,-8,-4,4	10,10,10,-10	ok
-1.236842	-29.578947	48	4650720403524893558563145	75	30135017593845683	-1,6,-10,-5,5	10,10,9,-10	ok
-1.236842	-28.894737	20	31282544843925584	71	14735498308830058	-1,9,-10,-10	10,-10,-10,9	ok
-1.236842	-28.210526	19	14732314495311119	70	14732317585058792	-1,9,-10,9	-10,9,-10,9	ok
-1.236842	-27.526316	85	108520588184674867580222174740589	74	30124139508098357	1,9,9,-10,9	-10,9,9,-10	ok
-1.236842	-26.842105	83	99887480609913094787319783397708	68	14134177061995017	1,9,9,9,9	9,9,9,9	ok
-1.236842	-26.157895	83	99887480609913094787319783397708	68	14134177061995017	1,9,9,9,9	9,9,9,9	ok
-1.236842	-25.473684	82	99887480609913080653142721402689	68	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.236842	-24.789474	74	18771403874319079111379122357950	57	6127218708778185	-1,-9,-9,-9,-9	9,-9,-9,-9	ok
-1.236842	-24.105263	74	18771403874319079111379122357950	57	6127218708778185	-1,-9,-9,-9,-9	9,-9,-9,-9	ok
-1.236842	-23.421053	74	18771403874319079111379122357950	56	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.236842	-22.736842	70	17113432059335363421900214640502	52	2671081176279736	-1,8,-9,8,-9	-9,8,-9,8	ok
-1.236842	-22.052632	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.236842	-21.368421	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.236842	-20.684211	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.236842	-20.000000	64	3219630870954874081466514659729	50	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.184211	-33.000000	44	960316261508696958684	33	5819424764	-1,-1,5,11,-3	11,10,11,-2	ok
-1.184211	-32.315789	104	8847734023369006336141485258166955	26	890989769	-1,1,3,10,-11	11,-3,8,-2	ok
-1.184211	-31.631579	25	62124979153573349	96	55075635283609866437107	-1,-2,9,10	-11,-2,-2,-2,-5	ok
-1.184211	-30.947368	23	46915472359206005	86	66720926273439432	-1,-4,5,10	-11,10,10,10	ok
