delta_x	delta_ca	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-0.611111	-42.222222	30	5939583698530895609	27	3446948908	-1,-12,-14,-14	-14,-14,-14	ok
-0.611111	-39.444444	27	1862402202891664994	57	1862522156643875166	-1,12,-13,-13	-13,-13,-13,-13	ok
-0.611111	-36.666667	54	142315511012103471820664918283921429	53	533508221140224737	-1,-12,-12,-12,-12	-12,-12,-12,-12	ok
-0.611111	-33.888889	53	9455884669399191660884342385366419	49	137520068858324757	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.611111	-31.111111	48	489473977720914081937327972658195	45	31288144257776695	-1,-10,-10,-10,-10	10,-10,-10,-10	ok
-0.611111	-28.333333	45	99887480609913080653142721402689	41	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.611111	-25.555556	44	18771403874319079111379122357950	63	18771403874319177146876691612886	-1,-9,-9,-9,-9	-9,-9,-9,-9,-9	ok
-0.611111	-22.777778	40	3219630870954874081466514659729	62	3219630870954912145017215161919	-1,8,8,8,8	8,8,8,8,8	ok
-0.611111	-20.000000	56	124384776697171140630079328682461662975044243401923320030869	60	498768035658202821504918316513	-1,-8,-8,-8,-8,-8	-8,-8,-8,-8,-8	ok
-0.500000	-45.000000							error: T SSCS does not start with ±1: [-2, -3, -15, -15]
-0.500000	-42.222222	28	3361378628987190902	26	2592900051	-1,13,13,13	-14,13,13	ok
-0.500000	-39.444444	26	1009021255905833795	55	1009021288579133361	-1,12,12,12	12,12,12,12	ok
-0.500000	-36.666667	20	274761540684197919	52	274761556251461169	-1,11,11,11	11,11,11,11	ok
-0.500000	-33.888889	53	9455884669399191660884342385366419	49	137520068858324757	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.500000	-31.111111	48	489473977720914081937327972658195	44	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.500000	-28.333333	45	99887480609913080653142721402689	41	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.500000	-25.555556	44	18771403874319079111379122357950	63	18771403874319177146876691612886	-1,-9,-9,-9,-9	-9,-9,-9,-9,-9	ok
-0.500000	-22.777778	40	3219630870954874081466514659729	62	3219630870954912145017215161919	-1,8,8,8,8	8,8,8,8,8	ok
-0.500000	-20.000000	56	124384776697171140630079328682461662975044243401923320030869	60	498768035658202821504918316513	-1,-8,-8,-8,-8,-8	-8,-8,-8,-8,-8	ok
