delta_x	delta_ca	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.277778	-25.555556	24	14131091504650400	45	14134177061995017	-1,-9,9,9	9,9,9,9	ok
-1.277778	-22.777778	20	2671080006838320	38	2671081176279736	-1,8,-9,8	-9,8,-9,8	ok
-1.277778	-20.000000	19	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.166667	-45.000000	15	5364510721919	11	2380	1,-3,-2,-6	-18,-2,1	ok
-1.166667	-42.222222	7	9728	13	40156	1,0,0,1	15,-1,-1,1	ok
-1.166667	-39.444444	6	9590	9	1198	-1,0,0,1	-14,0,-1,0	ok
-1.166667	-36.666667	3	1174	14	108787	1,0,1,0	12,12,-1,0	ok
-1.166667	-33.888889	37	141520454936285777	22	752041131	-1,0,11,-11	11,11,-11,0	ok
-1.166667	-31.111111	33	66641966605480280	52	66720926273439432	-1,6,10,10	-11,10,10,10	ok
-1.166667	-28.333333	26	14732314495311119	46	14732317585058792	-1,9,-10,9	-10,9,-10,9	ok
-1.166667	-25.555556	25	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-1.166667	-22.777778	20	2671080006838320	38	2671081176279736	-1,8,-9,8	-9,8,-9,8	ok
-1.166667	-20.000000	19	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.055556	-45.000000	5	9314	12	29613	1,-2,-2,0	-17,-1,-2,-1	ok
-1.055556	-42.222222	8	27493	10	1682	1,0,-1,1	-15,0,0,-1	ok
-1.055556	-39.444444	9	72389	16	140159	-1,0,1,1	13,13,-1,0	ok
-1.055556	-36.666667	41	547877212015333276	58	548931685865374866	1,-1,0,12	12,-12,0,12	ok
-1.055556	-33.888889	14	514702014309	21	741298238	-1,-4,-8,4	11,11,11	ok
-1.055556	-31.111111	34	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-1.055556	-28.333333	31	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-1.055556	-25.555556	25	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-1.055556	-22.777778	21	5848780619532479	38	2671081176279736	-1,8,8,-9	-9,8,-9,8	ok
-1.055556	-20.000000	19	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.944444	-45.000000	11	2732194079	17	374513	1,1,-13,-1	16,-15,2	ok
-0.944444	-42.222222	2	89	29	6286288099	1,0,0,0	-15,2,14,-1	ok
-0.944444	-39.444444	12	3549663152	20	2924545	-1,0,13,-1	13,12,-1,-2	ok
-0.944444	-36.666667	39	454426601051659700	23	1033010307	-1,-11,-9,-12	12,-12,-12	ok
-0.944444	-33.888889	36	137520058369471127	55	137537054508265638	-1,-11,-11,-11	11,11,-11,-11	ok
-0.944444	-31.111111	34	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.944444	-28.333333	31	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.944444	-25.555556	25	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.944444	-22.777778	19	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.944444	-20.000000	19	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.833333	-45.000000	4	7379	31	39665473622	1,1,-2,0	-16,0,-16,-2	ok
-0.833333	-42.222222	47	6299157049446450077	19	1570850	-1,0,1,14	14,-14,-3,-1	ok
-0.833333	-39.444444	13	26963412530	60	1777327259257775915	-1,1,-13,2	-13,-2,-12,-13	ok
-0.833333	-36.666667	40	533508198414997652	57	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.833333	-33.888889	36	137520058369471127	54	137520069382767449	-1,-11,-11,-11	11,-11,-11,-11	ok
-0.833333	-31.111111	34	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.833333	-28.333333	31	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.833333	-25.555556	22	6127216826882384	42	6127218708778185	-1,-9,-9,-9	9,-9,-9,-9	ok
-0.833333	-22.777778	19	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.833333	-20.000000	16	998766650140877	34	998767320547562	-1,-8,-8,-8	8,-8,-8,-8	ok
-0.722222	-45.000000	48	11482848972625936126	18	1106297	1,-1,-3,-15	-16,15,-3,0	ok
-0.722222	-42.222222	45	5818052338901405759	25	1975846926	-1,-1,13,-14	-14,-1,13	ok
-0.722222	-39.444444	43	1862402202891664994	24	1930037360	-1,12,-13,-13	-13,-13,-13	ok
-0.722222	-36.666667	40	533508198414997652	57	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.722222	-33.888889	36	137520058369471127	53	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.722222	-31.111111	34	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.722222	-28.333333	29	30124135089904064	46	14732317585058792	-1,9,9,-10	-10,9,-10,9	ok
-0.722222	-25.555556	22	6127216826882384	41	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.722222	-22.777778	19	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.722222	-20.000000	16	998766650140877	33	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
-0.611111	-45.000000	49	17505000363921614390	62	11277341565956793520	-1,0,-15,-15	15,-1,2,-15	ok
-0.611111	-42.222222	46	5939583698530895609	28	3446948908	-1,-12,-14,-14	-14,-14,-14	ok
-0.611111	-39.444444	43	1862402202891664994	61	1862522156643875166	-1,12,-13,-13	-13,-13,-13,-13	ok
-0.611111	-36.666667	40	533508198414997652	57	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.611111	-33.888889	36	137520058369471127	53	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.611111	-31.111111	31	31288139504878815	49	31288144257776695	-1,-10,-10,-10	10,-10,-10,-10	ok
-0.611111	-28.333333	25	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.611111	-25.555556	22	6127216826882384	41	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.611111	-22.777778	19	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.611111	-20.000000	16	998766650140877	33	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
-0.500000	-45.000000							error: T SSCS does not start with ±1: [-2, -3, -15, -15]
-0.500000	-42.222222	44	3361378628987190902	27	2592900051	-1,13,13,13	-14,13,13	ok
-0.500000	-39.444444	42	1009021255905833795	59	1009021288579133361	-1,12,12,12	12,12,12,12	ok
-0.500000	-36.666667	38	274761540684197919	56	274761556251461169	-1,11,11,11	11,11,11,11	ok
-0.500000	-33.888889	36	137520058369471127	53	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.500000	-31.111111	31	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.500000	-28.333333	25	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.500000	-25.555556	22	6127216826882384	41	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.500000	-22.777778	19	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.500000	-20.000000	16	998766650140877	33	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
