category_id	count	encoding	T_scs	gamma_scs
5909	1	189971198869295506269138775955086589798514425101987676964207095220	-1,1,-9,1,10	-11,1,-11,7
5910	1	189971198869295527503896557219967881844841508010078341348540766810	-1,1,-9,1,10	-11,-2,1,10
5911	1	189971198869295547040616580556068638875681739219495814477172206347	-1,1,-9,1,10	10,10,10,10
5912	1	190103255139962452726275168825655870868317523333009232842764699014	-1,0,9,1,10	-11,-2,0,4,0
5913	1	190103255139962474379703024315051899215268839533516476710354120431	1,0,9,1,10	10,10,1,1,0
5914	1	190235408952576924038896916117450820078584701797285118396959927840	-1,0,-10,1,10	-11,0,9,10
5915	1	190235414694649522935137254234981935834409804286119173031150335605	-1,-1,-10,1,10	-11,-1,1,9
5916	1	190235420436722303113845980199448172374746025196869405550846895180	-1,1,-10,1,10	-11,10,-10,1
5917	1	190235420436722303113888400455292107095563867050761268316369667996	-1,1,-10,1,10	10,10,9,3
5918	1	190235420436722326439148189632522196645633429836294237720192082655	-1,1,-10,1,10	-11,-10,2,10
5919	1	190235420436722344165424468900252393742549842903659883740509892588	-1,1,-10,1,10	-11,-2,10,10
5920	1	190235420436722344171503707267419903529654944159278469855779543336	-1,1,-10,1,10	11,2,10,10
5921	1	190235431920868348772755678193049793514650436397395529173156390501	1,2,-10,1,10	10,9,-10,-1
5922	1	190235489341607567988105629206455872276375131299660192408402611476	1,7,-10,1,10	10,-10,-10,2
5923	1	190367648889304746069989309992772807386060454261056792580264515750	-1,0,10,1,10	-11,0,10,1
5924	1	190367648889304746069989572158518688486215399516399667439874735764	-1,0,10,1,10	-11,0,10,-1,0
5925	1	190367648889304746070621550183259371054262018023220890562864260014	-1,0,10,1,10	-11,0,10,4
5926	1	190367648889304755506692975203506942050855907132438034154399222789	-1,0,10,1,10	-11,0,10,9
5927	1	190367648889304767746149752773152720931245795248177441850669246279	1,0,10,1,10	10,-10,0,-3,0
5928	1	190367648889304781924918220075748152553406299780746397011390959775	-1,0,10,1,10	-11,10,8,10
5929	1	190367648889304787117592983990946679909766836381756310654883108535	-1,0,10,1,10	-11,0,10,10
