word	code	red	green	blue	hex	count
01111110	126	63	240	165	#3ff0a5	3669
01111111	127	240	41	83	#f02953	6825
10000000	128	87	194	194	#57c2c2	6553
10000001	129	194	95	69	#c25f45	3696
10000010	130	51	134	194	#3386c2	1557
10000011	131	194	135	33	#c28721	3566
10000100	132	94	112	209	#5e70d1	1857
10000101	133	202	209	75	#cad14b	838
10000110	134	96	55	209	#6037d1	2759
10000111	135	126	209	36	#7ed124	6232
10001000	136	186	101	224	#ba65e0	2599
10001001	137	95	224	80	#5fe050	1391
10001010	138	224	59	206	#e03bce	677
10001011	139	38	224	98	#26e062	1275
10001100	140	240	108	170	#f06caa	2516
10001101	141	85	240	200	#55f0c8	1800
10001110	142	240	63	71	#f03f47	5278
10001111	143	41	207	240	#29cff0	3863
10010000	144	194	127	87	#c27f57	1590
10010001	145	69	121	194	#4579c2	1816
10010010	146	194	165	51	#c2a533	1758
10010011	147	34	33	194	#2221c2	1837
10010100	148	184	209	94	#b8d15e	1100
10010101	149	132	75	209	#844bd1	1135
10010110	150	110	209	55	#6ed137	3358
10010111	151	183	36	209	#b724d1	959
10011000	152	101	224	109	#65e06d	2593
10011001	153	224	80	185	#e050b9	21631
10011010	154	59	224	139	#3be08b	2141
10011011	155	224	38	95	#e0265f	1705
10011100	156	108	240	227	#6cf0e3	2558
10011101	157	240	104	85	#f06855	1296
10011110	158	63	182	240	#3fb6f0	2551
10011111	159	240	148	41	#f09429	3342
10100000	160	87	114	194	#5772c2	1270
10100001	161	194	189	69	#c2bd45	837
10100010	162	76	51	194	#4c33c2	786
10100011	163	132	194	33	#84c221	1068
10100100	164	162	94	209	#a25ed1	1161
10100101	165	101	209	75	#65d14b	3423
10100110	166	209	55	207	#d137cf	2160
10100111	167	36	209	75	#24d14b	905
10101000	168	224	101	170	#e065aa	459
10101001	169	80	224	174	#50e0ae	1144
10101010	170	224	59	82	#e03b52	48054
10101011	171	38	211	224	#26d3e0	619
10101100	172	240	145	108	#f0916c	921
10101101	173	85	164	240	#55a4f0	1264
10101110	174	240	187	63	#f0bb3f	707
10101111	175	41	58	240	#293af0	649
10110000	176	180	194	87	#b4c257	1572
10110001	177	111	69	194	#6f45c2	1423
10110010	178	116	194	51	#74c233	1694
10110011	179	155	33	194	#9b21c2	2109
10110100	180	98	209	94	#62d15e	3054
10110101	181	209	75	185	#d14bb9	1046
10110110	182	55	209	115	#37d173	1766
10110111	183	209	36	105	#d12469	1264
10111000	184	101	224	201	#65e0c9	2237
10111001	185	224	83	80	#e05350	1628
10111010	186	59	186	224	#3bbae0	964
10111011	187	224	121	38	#e07926	1459
10111100	188	108	153	240	#6c99f0	1729
10111101	189	240	219	85	#f0db55	948
10111110	190	77	63	240	#4d3ff0	1510
10111111	191	182	240	41	#b6f029	2822
11000000	192	141	87	194	#8d57c2	7852
11000001	193	105	194	69	#69c245	3595
11000010	194	183	51	194	#b733c2	1645
11000011	195	33	194	54	#21c236	6245
11000100	196	209	94	170	#d15eaa	2276
11000101	197	75	209	149	#4bd195	1041
11000110	198	209	55	91	#d1375b	2547
11000111	199	36	209	205	#24d1cd	7679
11001000	200	224	124	101	#e07c65	2341
11001001	201	80	167	224	#50a7e0	1851
11001010	202	224	160	59	#e0a03b	1090
11001011	203	38	72	224	#2648e0	2014
11001100	204	236	240	108	#ecf06c	25052
11001101	205	123	85	240	#7b55f0	2042
11001110	206	160	240	63	#a0f03f	2435
11001111	207	173	41	240	#ad29f0	4503
11010000	208	101	194	87	#65c257	1436
11010001	209	194	69	183	#c245b7	1275
11010010	210	51	194	93	#33c25d	2652
11010011	211	194	33	112	#c22170	1856
11010100	212	94	209	177	#5ed1b1	930
11010101	213	209	75	84	#d14b54	631
11010110	214	55	187	209	#37bbd1	1023
11010111	215	209	97	36	#d16124	928
11011000	216	101	155	224	#659be0	2298
11011001	217	224	192	80	#e0c050	1835
11011010	218	59	62	224	#3b3ee0	860
11011011	219	188	224	38	#bce026	1740
11011100	220	161	108	240	#a16cf0	2443
11011101	221	145	240	85	#91f055	1433
11011110	222	209	63	240	#d13ff0	1918
11011111	223	41	240	49	#29f031	3249
11100000	224	194	87	167	#c257a7	7754
11100001	225	69	194	127	#45c27f	5087
11100010	226	194	51	98	#c23362	2043
11100011	227	33	194	175	#21c2af	6747
11100100	228	209	105	94	#d1695e	2151
11100101	229	75	168	209	#4ba8d1	869
11100110	230	209	134	55	#d18637	2708
11100111	231	36	83	209	#2453d1	4220
11101000	232	224	217	101	#e0d965	1794
11101001	233	101	80	224	#6550e0	956
11101010	234	165	224	59	#a5e03b	439
11101011	235	144	38	224	#9026e0	806
11101100	236	137	240	108	#89f06c	1915
11101101	237	238	85	240	#ee55f0	936
11101110	238	63	240	99	#3ff063	2180
11101111	239	240	41	157	#f0299d	3510
11110000	240	87	194	154	#57c29a	10283
11110001	241	194	69	90	#c2455a	3884
11110010	242	51	187	194	#33bbc2	1523
11110011	243	194	74	33	#c24a21	4423
11110100	244	94	155	209	#5e9bd1	1485
11110101	245	209	166	75	#d1a64b	698
11110110	246	55	72	209	#3748d1	1661
11110111	247	191	209	36	#bfd124	3485
11111000	248	140	101	224	#8c65e0	8025
11111001	249	149	224	80	#95e050	3325
11111010	250	180	59	224	#b43be0	1229
11111011	251	48	224	38	#30e026	3096
11111100	252	240	108	219	#f06cdb	7589
11111101	253	85	240	142	#55f08e	2843
11111110	254	240	63	138	#f03f8a	6551
11111111	255	41	240	198	#29f0c6	23141
