delta_x	success	mode	s_pre	s_img	residual	return_solves	elapsed_seconds	anchor_checked	anchor_match	anchor_s_pre	anchor_s_img	anchor_residual	s_diff	img_diff	fast_T_scs	anchor_T_scs	message
-1.0696202531645569	true	predict	0.08370328656598808	0.04017268466470467	2.2407151331206576e-5	6	0.00409725	false	false	NaN	NaN	NaN	NaN	NaN			
-1.0569620253164558	true	predict	0.08105590698932984	0.0396350311846052	3.005222735062707e-5	6	0.0041155	false	false	NaN	NaN	NaN	NaN	NaN			
-1.0443037974683544	true	predict	0.07853875028615585	0.039074970553174514	3.216408182191849e-5	6	0.004072334	false	false	NaN	NaN	NaN	NaN	NaN			
-1.0316455696202531	true	fallback_local	0.07619045056719741	0.0384848576943932	0.0013278595760674791	84	0.103028458	true	true	0.07619045056719741	0.0384848576943932	0.0	0.0	0.0	0,-5,-2,-12,0	0,-5,-2,-12,0	
-1.018987341772152	true	bootstrap_local	0.07414965254300879	0.03786258075378998	0.0007055826354642747	124	0.223877209	true	true	0.07414965254300879	0.03786258075378998	0.0	0.0	0.0	0,10,-3,2	0,10,-3,2	
-1.0063291139240507	true	seed	0.07333333333333333	0.038568163389254256	0.0010880539870316494	244	3.9746550010000004	true	false	0.07253333333333334	0.038592374359769845	2.4210970515588237e-5	0.0007999999999999952	2.4210970515588237e-5	0,12,-2,1,2	0,12,-2,-1,-3	
-0.9936708860759493	true	bootstrap_local	0.07055555555555555	0.041650623054062426	0.0030824596648081695	129	0.240487792	true	true	0.07055555555555555	0.041650623054062426	0.0	0.0	0.0	0,-13,-13,-2	0,-13,-13,-2	
-0.9810126582278481	true	predict	0.06817949141843645	0.044580701295961235	0.0001523814229093326	6	0.004405375	false	false	NaN	NaN	NaN	NaN	NaN			
-0.9683544303797469	true	predict	0.06579208874033096	0.04750194582778206	8.833710077982282e-6	6	0.004457084	false	false	NaN	NaN	NaN	NaN	NaN			
-0.9556962025316456	true	predict	0.06342629929364485	0.05040696068649666	1.622967310625778e-5	6	0.004258833	false	false	NaN	NaN	NaN	NaN	NaN			
-0.9430379746835443	true	predict	0.0610945296264201	0.053286607640263356	2.5367904947871944e-5	6	0.004192375	false	false	NaN	NaN	NaN	NaN	NaN			
-0.930379746835443	true	predict	0.05880345345559049	0.056135824540553686	3.043005347639488e-5	6	0.004209792	false	false	NaN	NaN	NaN	NaN	NaN			
-0.9177215189873418	true	predict	0.056557017188371604	0.05895132893821756	3.3712502626424834e-5	6	0.004420625	false	false	NaN	NaN	NaN	NaN	NaN			
-0.9050632911392406	true	predict	0.05435768340919352	0.0617306998029074	3.6133532974040594e-5	6	0.004197167	false	false	NaN	NaN	NaN	NaN	NaN			
-0.8924050632911392	true	predict	0.052207027726618525	0.064471948612155	3.8122055442263436e-5	6	0.0041865	false	false	NaN	NaN	NaN	NaN	NaN			
-0.879746835443038	true	predict	0.050106057171417515	0.06717329672824585	3.9900693156721956e-5	6	0.004170291	false	false	NaN	NaN	NaN	NaN	NaN			
-0.8670886075949367	true	predict	0.0480553929193738	0.06983305077207783	4.159407225889922e-5	68	0.078551251	true	true	0.0480553929193738	0.06983305077207783	0.0	0.0	0.0	-3,2,-12,-3	-3,2,-12,-3	
-0.8544303797468354	true	predict	0.046055383709083936	0.0724495266137506	4.327820215917211e-5	6	0.006529375	false	false	NaN	NaN	NaN	NaN	NaN			
-0.8417721518987342	true	predict	0.04410617588716781	0.07502100273605358	4.499971936980374e-5	6	0.005200708	false	false	NaN	NaN	NaN	NaN	NaN			
-0.8291139240506329	true	predict	0.04220776161374827	0.07754568908477186	4.6789773584729466e-5	6	0.005159958	false	false	NaN	NaN	NaN	NaN	NaN			
-0.8164556962025317	true	predict	0.0403600132894597	0.08002170465297041	4.8670780519691204e-5	6	0.004585209	false	false	NaN	NaN	NaN	NaN	NaN			
-0.8037974683544303	true	predict	0.03856270593992161	0.08244706464878214	5.0655572386856806e-5	6	0.004527917	false	false	NaN	NaN	NaN	NaN	NaN			
-0.7911392405063291	true	predict	0.03681553493167509	0.08481966286769638	5.276177689746142e-5	6	0.005585709	false	false	NaN	NaN	NaN	NaN	NaN			
-0.7784810126582279	true	predict	0.03511812719550536	0.0871372648790451	5.499620756550805e-5	6	0.004291167	false	false	NaN	NaN	NaN	NaN	NaN			
-0.7658227848101266	true	predict	0.0334700520304176	0.0893975035027745	5.736338761934412e-5	6	0.004718459	false	false	NaN	NaN	NaN	NaN	NaN			
-0.7531645569620253	true	predict	0.03187082764038417	0.09159786964463013	5.987248187376559e-5	6	0.004523667	false	false	NaN	NaN	NaN	NaN	NaN			
