idx	time	time_seconds	symbol	interval	interval_seconds
145	1471693.88832	1471.69388832	10	11259.8561945	11.2598561945
146	1484477.2995	1484.4772995	10	12783.4111753	12.7834111753
147	1497431.41146	1497.43141146	10	12954.1119641	12.9541119641
148	1510637.78889	1510.63778889	10	13206.3774324	13.2063774324
149	1522130.95948	1522.13095948	4	11493.1705825	11.4931705825
150	1535798.73884	1535.79873884	10	13667.779364	13.667779364
151	1546047.93156	1546.04793156	3	10249.1927153	10.2491927153
152	1554555.07597	1554.55507597	0	8507.14441263	8.50714441263
153	1567335.7581	1567.3357581	11	12780.6821349	12.7806821349
154	1575357.73381	1575.35773381	-1	8021.97570997	8.02197570997
155	1582803.35729	1582.80335729	-1	7445.62347878	7.44562347878
156	1595105.9782	1595.1059782	10	12302.6209118	12.3026209118
157	1604098.2663	1604.0982663	1	8992.2880974	8.9922880974
158	1614140.2214	1614.1402214	-3	10041.955094	10.041955094
159	1620757.84585	1620.75784585	-1	6617.62445421	6.61762445421
160	1628167.95164	1628.16795164	0	7410.10578683	7.41010578683
161	1641159.02944	1641.15902944	11	12991.0778041	12.9910778041
162	1653409.40119	1653.40940119	5	12250.3717512	12.2503717512
163	1667299.23829	1667.29923829	10	13889.8370953	13.8898370953
164	1677884.34197	1677.88434197	-4	10585.1036854	10.5851036854
165	1685473.50533	1685.47350533	0	7589.16335563	7.58916335563
166	1700004.17184	1700.00417184	-10	14530.6665109	14.5306665109
167	1711941.97536	1711.94197536	10	11937.8035227	11.9378035227
168	1724998.00018	1724.99800018	-11	13056.024817	13.056024817
169	1736653.23549	1736.65323549	10	11655.2353086	11.6552353086
170	1750130.23051	1750.13023051	-10	13476.9950205	13.4769950205
171	1760607.02586	1760.60702586	-4	10476.7953481	10.4767953481
172	1772117.47058	1772.11747058	-11	11510.4447264	11.5104447264
173	1784860.00475	1784.86000475	-10	12742.5341628	12.7425341628
174	1796307.23216	1796.30723216	10	11447.2274118	11.4472274118
175	1809518.92936	1809.51892936	10	13211.6972059	13.2116972059
176	1822118.7506	1822.1187506	6	12599.8212328	12.5998212328
177	1832766.80528	1832.76680528	-4	10648.0546853	10.6480546853
178	1840234.01407	1840.23401407	0	7467.20878613	7.46720878613
179	1852827.14824	1852.82714824	-11	12593.1341698	12.5931341698
180	1860973.03066	1860.97303066	0	8145.88242296	8.14588242296
181	1873742.57826	1873.74257826	-11	12769.5475953	12.7695475953
182	1881260.54359	1881.26054359	-1	7517.96533175	7.51796533175
183	1890085.57052	1890.08557052	2	8825.02693566	8.82502693566
