delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.459184	-43.469388	-45.382584	0.851547	continued[1]:5	2	89	185	35477	1,0,0,0	17,0,-1,1	ok
-1.459184	-42.959184	-45.085372	0.850298	continued[1]:5	2	89	22	957	1,0,0,0	-17,0,0,0	ok
-1.459184	-42.448980	-44.763245	0.849590	continued[1]:5	2	89	19	914	1,0,0,0	16,0,0,0	ok
-1.459184	-41.938776	-44.421928	0.849757	continued[1]:5	2	89	19	914	1,0,0,0	16,0,0,0	ok
-1.459184	-41.428571	-44.062392	0.850465	continued[1]:5	2	89	17	872	1,0,0,0	-16,0,0,0	ok
-1.459184	-40.918367	-46.286852	0.843347	full	2	89	15	831	1,0,0,0	15,0,0,0	ok
-1.459184	-40.408163	-45.946401	0.841763	continued[1]:5	2	89	15	831	1,0,0,0	15,0,0,0	ok
-1.459184	-39.897959	-45.577209	0.840927	continued[1]:5	2	89	13	791	1,0,0,0	-15,0,0,0	ok
-1.459184	-39.387755	-45.185073	0.840888	continued[1]:5	2	89	12	752	1,0,0,0	14,0,0,0	ok
-1.459184	-38.877551	-44.774962	0.841596	continued[1]:5	2	89	12	752	1,0,0,0	14,0,0,0	ok
-1.459184	-38.367347	-44.350940	0.843052	continued[1]:5	2	89	10	714	1,0,0,0	-14,0,0,0	ok
-1.459184	-37.857143	-45.996678	0.834543	continued[2]:5	2	89	16	835	1,0,0,0	13,-1,0,0	ok
-1.459184	-37.346939	-45.562825	0.834710	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.459184	-36.836735	-45.109513	0.835625	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.459184	-36.326531	-44.643162	0.837415	continued[1]:5	2	89	6	641	1,0,0,0	-13,0,0,0	ok
-1.459184	-35.816327	-44.603790	0.836667	continued[3]:5	1	77	6	641	-1,0,0,0	-13,0,0,0	ok
-1.459184	-35.306122	-47.727755	0.826003	full	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.459184	-34.795918	-47.318558	0.824420	continued[1]:5	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.459184	-34.285714	-46.865719	0.823584	continued[1]:5	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.459184	-33.775510	-46.376432	0.823623	continued[1]:5	1	77	3	572	-1,0,0,0	-12,0,0,0	ok
-1.459184	-33.265306	-45.858734	0.824538	continued[1]:5	1	77	534	98646825730	-1,0,0,0	-12,0,-3,4	ok
-1.459184	-32.755102	-45.322145	0.826456	continued[1]:5	1	77	18	881	-1,0,0,0	11,1,0,0	ok
-1.459184	-32.244898	-44.773967	0.829249	continued[1]:5	1	77	212	80579	-1,0,0,0	11,0,1,1	ok
-1.459184	-31.734694	-48.270681	0.818406	full	1	77	42	1304	-1,0,0,0	11,0,0,-1	ok
-1.459184	-31.224490	-47.830826	0.815613	continued[1]:5	1	77	2	539	-1,0,0,0	11,0,0,0	ok
-1.459184	-30.714286	-47.325199	0.813488	continued[1]:5	1	77	1	507	-1,0,0,0	-11,0,0,0	ok
-1.459184	-30.204082	-46.776114	0.813990	continued[1]:5	1	77	359	79121889	-1,0,0,0	-11,2,0,-3	ok
-1.459184	-29.693878	-46.196697	0.815780	continued[1]:5	6	464	339	12779020	-1,0,0,-1	10,8,4,1	ok
-1.459184	-29.183673	-45.594444	0.818239	continued[1]:5	59	5000702	63	1871	-1,0,0,2	10,-3,0,0	ok
-1.459184	-28.673469	-45.516541	0.817983	continued[3]:5	295	14735498308830077	622	9189996184890845	-1,0,0,-10	10,1,4,9	ok
-1.459184	-28.163265	-49.201181	0.802221	full	14	4370	590	2672850322573531	-1,0,-2,0	10,-1,0,-9	ok
-1.459184	-27.653061	-48.763668	0.803804	continued[1]:5	49	1792670	363	116227861	-1,0,3,1	10,0,-9,0	ok
