delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.166667	-28.333333	-47.695213	0.782747	continued[1]:5	32	31288139504878815	46	14732317585058792	-1,-10,-10,-10	-10,9,-10,9	ok
-1.166667	-25.555556	-47.157281	0.779954	continued[1]:5	28	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-1.166667	-22.777778	-46.519130	0.777161	continued[1]:5	23	2671080006838320	38	2671081176279736	-1,8,-9,8	-9,8,-9,8	ok
-1.166667	-20.000000	-50.865362	0.745585	full	22	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.055556	-45.000000	-45.872471	0.818794	continued[1]:5	10	9157059	12	29613	-1,-1,-1,2	-17,-1,-2,-1	ok
-1.055556	-42.222222	-46.846540	0.800115	full	7	27493	10	1682	1,0,-1,1	-15,0,0,-1	ok
-1.055556	-39.444444	-46.518336	0.797321	continued[1]:5	11	12763877	16	140159	-1,0,3,-2	13,13,-1,0	ok
-1.055556	-36.666667	-46.123457	0.794528	continued[1]:5	17	21701840279	58	548931685865374866	-1,1,12,2	12,-12,0,12	ok
-1.055556	-33.888889	-45.651123	0.791735	continued[1]:5	38	141885231769656650	21	741298238	-1,-11,11,-11	11,11,11	ok
-1.055556	-31.111111	-49.169879	0.767585	full	34	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-1.055556	-28.333333	-48.821040	0.764791	continued[1]:5	32	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-1.055556	-25.555556	-48.387138	0.761998	continued[1]:5	28	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-1.055556	-22.777778	-47.855244	0.759205	continued[1]:5	25	5848780619532479	38	2671081176279736	-1,8,8,-9	-9,8,-9,8	ok
-1.055556	-20.000000	-47.210507	0.756411	continued[1]:5	22	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.944444	-45.000000	-46.513057	0.795348	full	15	2732194079	17	374513	1,1,-13,-1	16,-15,2	ok
-0.944444	-42.222222	-46.218957	0.792555	continued[1]:5	49	7348228016614021364	29	6286288099	-1,0,5,14	-15,2,14,-1	ok
