time	lambda_hat	x	Ca	V
175.0	0.0005268906616726739	0.6678524235712494	0.884042090029255	-46.73677492494183
176.0	0.0005801346268684263	0.6677205928833173	0.8840295013115964	-46.74074343273509
177.0	0.0006322613035392855	0.6675887346096752	0.884016873256467	-46.74471194382434
178.0	0.0006832981597273062	0.6674568487772128	0.8840042058625752	-46.74868045910607
179.0	0.0007332040721585564	0.667324935412418	0.8839914991286405	-46.75264897948089
180.0	0.0007821081914620586	0.6671929945413788	0.8839787530533934	-46.75661750585353
181.0	0.0008299684584208985	0.667061026189786	0.883965967635575	-46.76058603913284
182.0	0.000876810632725665	0.6669290303829359	0.8839531428739377	-46.76455458023176
183.0	0.0009226917422009091	0.6667970071457325	0.883940278767244	-46.768523130067315
184.0	0.0009676348430221353	0.66666495650269	0.8839273753142671	-46.772491689560596
185.0	0.0010116311259858474	0.6665328784779354	0.8839144325137904	-46.77646025963676
186.0	0.0010547036421967345	0.6664007730952108	0.8839014503646074	-46.780428841224996
187.0	0.0010969049038796821	0.6662686403778758	0.8838884288655218	-46.78439743525855
188.0	0.0011382254626349066	0.6661364803489097	0.8838753680153468	-46.788366042674674
189.0	0.0011787157697955369	0.6660042930309141	0.8838622678129059	-46.79233466441464
190.0	0.0012183661023247412	0.6658720784461152	0.8838491282570317	-46.79630330142373
191.0	0.0012572250783581464	0.6657398366163657	0.8838359493465663	-46.8002719546512
192.0	0.0012953107578813523	0.6656075675631479	0.8838227310803615	-46.80424062505032
193.0	0.0013326130289703824	0.665475271307575	0.8838094734572778	-46.8082093135783
194.0	0.001369177666253779	0.6653429478703942	0.8837961764761851	-46.812178021196345
195.0	0.0014049941903882671	0.6652105972719882	0.8837828401359621	-46.8161467488696
196.0	0.001440106734326429	0.6650782195323779	0.8837694644354962	-46.82011549756716
197.0	0.0014745310289867677	0.6649458146712244	0.8837560493736836	-46.824084268262055
198.0	0.001508256399580325	0.6648133827078312	0.8837425949494288	-46.828053061931264
199.0	0.0015413245529357028	0.6646809236611463	0.8837291011616447	-46.83202187955567
200.0	0.0015737500152917558	0.6645484375497642	0.8837155680092528	-46.83599072212007
201.0	0.001605521717677209	0.6644159243919284	0.8837019954911823	-46.8399595906132
202.0	0.0016366792800236987	0.6642833842055332	0.8836883836063707	-46.84392848602765
203.0	0.0016672115488823407	0.6641508170081256	0.883674732353763	-46.847897409359945
204.0	0.0016971567595378094	0.6640182228169077	0.8836610417323123	-46.85186636161047
205.0	0.0017265036072558904	0.6638856016487386	0.8836473117409791	-46.855835343783504
206.0	0.0017552889701476263	0.6637529535201362	0.8836335423787315	-46.85980435688719
207.0	0.0017835015076333599	0.6636202784472797	0.8836197336445448	-46.86377340193355
208.0	0.001811176804450964	0.6634875764460109	0.8836058855374018	-46.86774247993846
209.0	0.0018383263080434442	0.6633548475318367	0.8835919980562922	-46.87171159192164
210.0	0.0018649386347096338	0.6632220917199309	0.8835780712002126	-46.875680738906674
211.0	0.0018910475873269714	0.6630893090251357	0.8835641049681667	-46.879649921920986
212.0	0.0019166637526227509	0.6629564994619644	0.883550099359165	-46.88361914199584
213.0	0.0019417756568131334	0.6628236630446026	0.8835360543722242	-46.887588400166315
214.0	0.00196641560236442	0.6626907997869104	0.8835219700063678	-46.89155769747134
215.0	0.001990572065663863	0.6625579097024239	0.8835078462606257	-46.89552703495365
216.0	0.00201427625424891	0.6624249928043576	0.8834936831340342	-46.899496413659804
217.0	0.0020375375120145274	0.6622920491056058	0.8834794806256353	-46.90346583464016
218.0	0.0020603442852448815	0.6621590786187443	0.8834652387344775	-46.90743529894889
219.0	0.00208272644345164	0.6620260813560326	0.8834509574596148	-46.91140480764397
220.0	0.0021046724857892406	0.6618930573294153	0.8834366368001073	-46.915374361787165
221.0	0.0021262113118728602	0.6617600065505239	0.8834222767550207	-46.91934396244404
222.0	0.0021473510941553706	0.6616269290306789	0.8834078773234263	-46.923313610683934
