time	lambda_hat	x	Ca	V
99003.0	0.00022516631056358253	0.2560747048315368	0.5014081893196988	-57.48876821463728
99004.0	0.00022520204674846337	0.2562566830814087	0.5013617003518342	-57.481172515957155
99005.0	0.00022523772178161146	0.25643911052133855	0.5013152942676894	-57.47356132350497
99006.0	0.00022527333614418783	0.25662198845846657	0.5012689712076488	-57.46593459855
99007.0	0.00022530889031207476	0.2568053182050221	0.5012227313125129	-57.458292302223754
99008.0	0.00022534438475608131	0.25698910107834316	0.5011765747234995	-57.4506343955195
99009.0	0.00022537981977637406	0.25717333840089596	0.5011305015822453	-57.44296083929182
99010.0	0.00022541519600049765	0.2573580315002947	0.5010845120308075	-57.43527159425614
99011.0	0.0002254505138842988	0.2575431817093213	0.5010386062116656	-57.427566620988294
99012.0	0.00022548577371497042	0.2577287903659452	0.5009927842677225	-57.419845879924026
99013.0	0.00022552097594054284	0.25791485881334336	0.5009470463423067	-57.41210933135856
99014.0	0.00022555612116664567	0.25810138839992	0.5009013925791734	-57.40435693544612
99015.0	0.00022559120966802735	0.25828838047932656	0.5008558231225064	-57.39658865219947
99016.0	0.00022562624187857894	0.2584758364104821	0.5008103381169196	-57.388804441489455
99017.0	0.00022566121806666942	0.25866375755759297	0.5007649377074586	-57.38100426304453
99018.0	0.00022569613897911516	0.2588521452901731	0.5007196220396024	-57.37318807645028
99019.0	0.00022573100487467985	0.2590410009830644	0.500674391259265	-57.36535584114899
99020.0	0.0002257658161690504	0.25923032601645674	0.5006292455127972	-57.35750751643913
99021.0	0.0002258005732734945	0.2594201217759085	0.5005841849469879	-57.349643061474914
99022.0	0.00022583527675290143	0.25961038965236694	0.5005392097090658	-57.341762435265835
99023.0	0.00022586992669359584	0.25980113104218844	0.5004943199467016	-57.333865596676176
99024.0	0.00022590452365241133	0.25999234734715926	0.5004495158080088	-57.32595250442454
99025.0	0.00022593906802348775	0.2601840399745158	0.5004047974415461	-57.31802311708339
99026.0	0.00022597356035248978	0.2603762103369654	0.5003601649963186	-57.310077393078565
99027.0	0.00022600800086863043	0.26056885985270706	0.5003156186217799	-57.3021152906888
99028.0	0.00022604238995383049	0.26076198994545197	0.5002711584678331	-57.294136768045284
99029.0	0.00022607672798593235	0.26095560204444435	0.5002267846848334	-57.286141783131136
99030.0	0.00022611101533883248	0.26114969758448225	0.500182497423589	-57.27813029378096
99031.0	0.00022614525238262115	0.26134427800593846	0.5001382968353631	-57.270102257680364
99032.0	0.00022617943963556744	0.2615393447547814	0.5000941830718758	-57.26205763236546
99033.0	0.00022621357745822602	0.2617348992825962	0.5000501562853055	-57.25399637522243
99034.0	0.00022624766605636095	0.2619309430466056	0.5000062166282907	-57.24591844348699
99035.0	0.00022628170593533034	0.262127477509691	0.4999623642539318	-57.237823794243965
99036.0	0.00022631569729456268	0.2623245041404139	0.49991859931579286	-57.22971238442676
99037.0	0.0002263496404813926	0.2625220244130367	0.49987492196790306	-57.22158417081691
99038.0	0.0002263835361374937	0.26272003980754405	0.4998313323647588	-57.21343911004357
99039.0	0.0002264173844514375	0.26291855180966434	0.49978783066132515	-57.20527715858308
