delta_ca	delta_x
-37.585170340681	-1.122244477272
-37.585170340681	-1.120240449905
-37.585170340681	-1.118236422539
-37.585170340681	-1.116232514381
-37.585170340681	-1.114228487015
-37.585170340681	-1.112224459648
-37.585170340681	-1.110220432281
-37.585170340681	-1.108216404915
-37.585170340681	-1.106212377548
-37.585170340681	-1.104208469391
-37.585170340681	-1.102204442024
-37.585170340681	-1.100200414658
-37.585170340681	-1.098196387291
-37.585170340681	-1.096192359924
-37.585170340681	-1.094188332558
-37.585170340681	-1.034068107605
-37.585170340681	-1.032064080238
-37.585170340681	-1.030060172081
-37.585170340681	-1.028056144714
-37.585170340681	-1.026052117348
-37.585170340681	-1.024048089981
-37.585170340681	-1.022044062614
-37.585170340681	-1.020040035248
-37.585170340681	-1.010020017624
-37.585170340681	-1.008015990257
-37.585170340681	-1.006012082100
-37.585170340681	-0.997995972633
-37.585170340681	-0.995992004871
-37.585170340681	-0.993987977505
-37.585170340681	-0.991983950138
-37.585170340681	-0.989979982376
-37.585170340681	-0.987975955009
-37.585170340681	-0.985971927643
-37.585170340681	-0.983967959881
-37.585170340681	-0.981963932514
-37.585170340681	-0.979959905148
-37.585170340681	-0.977955937386
-37.585170340681	-0.975951910019
-37.585170340681	-0.973947882652
-37.585170340681	-0.971943914890
-37.585170340681	-0.969939887524
-37.585170340681	-0.967935860157
-37.585170340681	-0.965931892395
-37.585170340681	-0.963927865028
-37.585170340681	-0.961923837662
-37.585170340681	-0.959919810295
-37.585170340681	-0.957915842533
-37.585170340681	-0.953907787800
-37.585170340681	-0.951903820038
-37.585170340681	-0.949899792671
-37.585170340681	-0.947895765305
-37.585170340681	-0.945891797543
-37.585170340681	-0.943887770176
-37.585170340681	-0.941883742809
-37.585170340681	-0.939879775047
-37.585170340681	-0.937875747681
-37.585170340681	-0.935871720314
-37.585170340681	-0.933867752552
-37.585170340681	-0.931863725185
-37.585170340681	-0.929859697819
-37.585170340681	-0.927855730057
-37.585170340681	-0.923847675323
-37.585170340681	-0.921843707561
-37.585170340681	-0.917835652828
-37.585170340681	-0.915831685066
-37.585170340681	-0.913827657700
-37.585170340681	-0.911823630333
-37.585170340681	-0.909819662571
-37.585170340681	-0.907815635204
-37.585170340681	-0.905811607838
-37.585170340681	-0.903807640076
-37.585170340681	-0.901803612709
-37.585170340681	-0.899799585342
-37.585170340681	-0.897795617580
-37.585170340681	-0.895791590214
-37.585170340681	-0.893787562847
-37.585170340681	-0.889779567719
-37.585170340681	-0.887775540352
-37.585170340681	-0.885771572590
-37.585170340681	-0.883767545223
-37.585170340681	-0.881763517857
-37.585170340681	-0.879759490490
-37.585170340681	-0.877755522728
-37.585170340681	-0.875751495361
-37.585170340681	-0.873747467995
-37.585170340681	-0.871743500233
-37.585170340681	-0.869739472866
-37.585170340681	-0.867735445499
-37.585170340681	-0.865731477737
-37.585170340681	-0.863727450371
-37.585170340681	-0.861723423004
-37.585170340681	-0.859719455242
-37.585170340681	-0.857715427876
-37.585170340681	-0.855711400509
-37.585170340681	-0.853707432747
-37.585170340681	-0.851703405380
-37.585170340681	-0.849699378014
-37.585170340681	-0.847695410252
-37.585170340681	-0.839679360390
-37.585170340681	-0.835671365261
-37.585170340681	-0.833667337894
-37.585170340681	-0.827655315399
-37.585170340681	-0.825651288033
-37.585170340681	-0.663326680660
-37.585170340681	-0.661322653294
-37.585170340681	-0.657314658165
-37.585170340681	-0.655310630798
