delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	T_scs	status
-1.349699	-39.989980	-44.400279	0.834270	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.347695	-39.989980	-44.812958	0.831939	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.345691	-39.989980	-45.216450	0.829814	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.343687	-39.989980	-45.611362	0.828358	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.341683	-39.989980	-45.991974	0.827109	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.339679	-39.989980	-46.357044	0.826608	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.337675	-39.989980	-46.699553	0.829067	full	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.335671	-39.989980	-44.421324	0.832692	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.333667	-39.989980	-44.836484	0.830361	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.331663	-39.989980	-45.241717	0.828237	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.329659	-39.989980	-45.637678	0.826781	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.327655	-39.989980	-46.018682	0.825531	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.325651	-39.989980	-46.383529	0.824823	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.323647	-39.989980	-46.727240	0.827489	full	294	3374964376952	-1,0,0,0,0,0,0	ok
-1.321643	-39.989980	-44.441114	0.831157	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.319639	-39.989980	-44.858327	0.828698	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.317635	-39.989980	-45.266331	0.826574	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.315631	-39.989980	-45.664242	0.824990	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.313627	-39.989980	-46.047752	0.823948	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.311623	-39.989980	-46.412209	0.823239	continued:5	295	3374966975014	1,0,0,0,0,0,0	ok
-1.309619	-39.989980	-46.754979	0.825905	full	294	3374964376952	-1,0,0,0,0,0,0	ok
